miliseconds,f
0,1.3621995438092822e-07
100,4.789093354616902e-07
200,5.565106461491651e-07
300,1.0288186241247963e-06
400,1.2924920607062604e-06
500,1.5836463444214298e-06
600,1.79888476111342e-06
700,1.889596483854062e-06
800,2.2628467271087094e-06
900,2.4163604713802993e-06
1000,2.9454142456253887e-06
1100,2.942128063664938e-06
1200,3.5093140268863923e-06
1300,3.7514188661934935e-06
1400,4.0345083650581215e-06
1500,4.1885192999195555e-06
1600,4.303627512035955e-06
1700,4.833895442807636e-06
1800,5.172499089305586e-06
1900,5.480992700051052e-06
2000,5.426205286004463e-06
2100,5.668514826718322e-06
2200,6.197847138854421e-06
2300,6.352081417898356e-06
2400,6.562853820483478e-06
2500,7.060585010136495e-06
2600,7.341486351974524e-06
2700,7.532803237672296e-06
2800,7.94953191916749e-06
2900,8.248133802443846e-06
3000,8.219773063340573e-06
3100,8.619699720341034e-06
3200,8.858917035588807e-06
3300,9.057288882358017e-06
3400,9.442505086512576e-06
3500,9.685292099852625e-06
3600,1.0012488468158047e-05
3700,1.0395490689760479e-05
3800,1.0772523422954518e-05
3900,1.1052375353722376e-05
4000,1.125895092398113e-05
4100,1.1272180163984148e-05
4200,1.1908570255763182e-05
4300,1.189934979405131e-05
4400,1.2155256125462225e-05
4500,1.2463178566026722e-05
4600,1.2829977926188947e-05
4700,1.312627058383868e-05
4800,1.3241851576195428e-05
4900,1.3686804713868563e-05
5000,1.3819406099309756e-05
