milliseconds,f
0,1.525337269669761e-07
100,4.2031968708806715e-07
200,6.404408077667361e-07
300,9.839230691636503e-07
400,1.260839583180197e-06
500,1.2694810498323624e-06
600,1.7094536311591697e-06
700,1.882690112958599e-06
800,2.2775454085436484e-06
900,2.6729091860462945e-06
1000,2.597865339376034e-06
1100,3.0989274146153116e-06
1200,3.3335835450223812e-06
1300,3.596521445372317e-06
1400,3.829455026143913e-06
1500,4.089743659552644e-06
1600,4.519940202922981e-06
1700,4.538379699416171e-06
1800,4.820597940687806e-06
1900,5.452636397443698e-06
2000,5.4025757251880105e-06
2100,5.8383509514719095e-06
2200,6.263153089315843e-06
2300,6.212825533985344e-06
2400,6.797285103263234e-06
2500,7.183265618417574e-06
2600,7.179302520380988e-06
2700,7.576756500531381e-06
2800,7.983010833346542e-06
2900,7.969282839170195e-06
3000,8.302192283930846e-06
3100,8.699176935914954e-06
3200,8.964742799774574e-06
3300,9.041071934122528e-06
3400,9.375046932495905e-06
3500,9.573157004881924e-06
3600,9.942625319517591e-06
3700,1.0348906848932208e-05
3800,1.0610855707993552e-05
3900,1.0935632419885821e-05
4000,1.1077130123244056e-05
4100,1.1239108468467354e-05
4200,1.1781295225404344e-05
4300,1.2125885966421493e-05
4400,1.23033854208005e-05
4500,1.2604095966475299e-05
4600,1.2994812872309533e-05
4700,1.3116819547360075e-05
4800,1.3438903723988458e-05
4900,1.3792261376141879e-05
5000,1.3852874811330288e-05
