milliseconds,f
0,-4.2037152973673396e-08
100,8.452019184795854e-08
200,7.501948080418784e-07
300,6.405340584032168e-07
400,9.17582827984097e-07
500,1.3546030508439834e-06
600,1.6525700493117197e-06
700,2.0190129770875396e-06
800,2.068388860293124e-06
900,2.350806868717462e-06
1000,2.7270819054982324e-06
1100,2.909579292173479e-06
1200,3.4811668219976287e-06
1300,3.808915845906482e-06
1400,3.9673626086284224e-06
1500,4.29908374761478e-06
1600,4.550183782569358e-06
1700,4.748646429119989e-06
1800,5.124864718273688e-06
1900,5.128989871190605e-06
2000,5.769936069154503e-06
2100,5.681731817224561e-06
2200,5.997990781425233e-06
2300,6.5195934869197004e-06
2400,6.857961301166264e-06
2500,6.792335693827955e-06
2600,7.200480789054748e-06
2700,7.575340257624131e-06
2800,7.684128574728494e-06
2900,8.10043512843109e-06
3000,8.443430146184102e-06
3100,8.793185417874895e-06
3200,9.053194608442362e-06
3300,9.272993176857417e-06
3400,9.497296130464863e-06
3500,9.703436418669549e-06
3600,1.0095340245931057e-05
3700,1.0177444141177023e-05
3800,1.0558995405190531e-05
3900,1.0975209424039146e-05
4000,1.1197106930988737e-05
4100,1.1286937028266736e-05
4200,1.1820361397401963e-05
4300,1.1913790366280103e-05
4400,1.2395352579610999e-05
4500,1.245735250376914e-05
4600,1.2832527876630223e-05
4700,1.309571552540382e-05
4800,1.3249726821373174e-05
4900,1.3837039095228978e-05
5000,1.4034249812678959e-05
