miliseconds,f
0,8.032829572698363e-08
100,1.209057404852568e-07
200,4.31703737719923e-07
300,9.905947140081503e-07
400,1.2369781056877957e-06
500,1.3511626676147544e-06
600,1.7307554326603894e-06
700,2.115965068350877e-06
800,2.3171598974020223e-06
900,2.3284532390645423e-06
1000,2.98312094321297e-06
1100,3.1937418030794273e-06
1200,3.2283136799409416e-06
1300,3.6228864117443412e-06
1400,3.858069567523859e-06
1500,4.032932182085333e-06
1600,4.424344409166698e-06
1700,4.777144094247226e-06
1800,5.107779501417861e-06
1900,5.249490877893126e-06
2000,5.745123503792391e-06
2100,5.897508919657499e-06
2200,5.980601046262984e-06
2300,6.401449359472172e-06
2400,6.594478450090842e-06
2500,7.096093441099084e-06
2600,7.2297679761855744e-06
2700,7.336392454746347e-06
2800,7.770912807182178e-06
2900,8.21993643630641e-06
3000,8.48827621281389e-06
3100,8.635815743749667e-06
3200,8.934624658983462e-06
3300,9.118150952193595e-06
3400,9.63751007397026e-06
3500,9.710829848174129e-06
3600,1.0220730133324942e-05
3700,1.0279505244862044e-05
3800,1.0788198481517093e-05
3900,1.1075549677289491e-05
4000,1.1352636994433774e-05
4100,1.1625921121696479e-05
4200,1.1601147590818911e-05
4300,1.2021151108757882e-05
4400,1.2415879260309207e-05
4500,1.251898997193229e-05
4600,1.2933191461516153e-05
4700,1.329590324902423e-05
4800,1.3342204791356562e-05
4900,1.3721685399007375e-05
5000,1.4106250595194564e-05
