miliseconds,x_0,y_0,y_1,L_0,v_0,z_a,m_0_0,m_1_0,m_2_0,m_3_0,m_4_0,m_5_0,m_6_0,m_7_0,m_8_0
0,0.9301681462762267,0.00409508180518193,7.54721092111802e-05,0.019328390626977852,0.9917373724155877,-143069.02008877715,1.0052019233954816,-0.004464036867175194,0.009637766059363837,-0.029222694149542972,0.023888953170273498,0.06204514571870391,-0.0662317825844517,-0.1560880280386344,0.0046261536135900555
100,1.742382990526192,0.020634009806332676,1.5689197942751733e-05,0.08256250599776754,0.905037566589992,-43418.941500276116,0.9115997000164395,0.18817782704002411,0.013452806182727609,0.0016942246104667226,-0.05281667670786819,0.012004468165839733,0.137343580471226,0.1324978630215951,0.24177974703981098
200,2.275496641145597,0.030179324031689565,0.00014044856479521339,0.1525669765126893,0.8133809352807843,-163643.93303280955,0.8302075813790345,0.3380203460247062,0.06429811393798007,0.00635898933156426,-0.014199522636447996,0.10599836542484785,-0.15027897530798162,0.10886884887050914,-0.08492422308164048
300,3.8435579348765185,0.061155967031374346,5.724457166793556e-05,0.2712389541546854,0.7532788496017433,415042.0757299472,0.7427099039913723,0.45034360907275467,0.14873477920397024,0.020778535496264208,-0.04583217665865389,0.09163279498368167,-0.11339582724013832,0.09139688443286277,0.06725132019324512
400,4.830646207989972,0.08543154746215381,5.38970309784427e-05,0.41183249347184525,0.6796274752164407,56819.45607398324,0.6633848593980106,0.5331881658669857,0.22416978226428133,0.08044617228987211,0.04414866535062087,-0.04418188669915506,-0.08765022870883432,0.06499344531088083,0.10340888548171534
500,4.872154146845152,0.13552664669876205,0.00021797085278487253,0.5373048011587047,0.605684111616118,-161709.64639305114,0.599021804287067,0.6066437284524677,0.2946600679902591,0.12504690900000776,0.03241954410709836,0.00854408817451414,-0.060752176559479065,-0.02788077069623419,0.18598893605173752
600,6.340047513102098,0.15657004728137164,0.0002830524427975814,0.7198782340028526,0.5456932530117181,-367296.8531764121,0.5455867982864706,0.6530256972124517,0.4016598718058977,0.15376603489555912,0.010450660734327974,0.03846465111287566,-0.057740913937316694,-0.00381903094670093,0.20616255784808216
700,6.956799430268883,0.19633605659215142,0.000569473356021162,0.8513963367698762,0.4861988482973595,25183.2389856108,0.4852032427501471,0.6983493502329579,0.48270848374386566,0.22465978128068767,0.08677635673609467,0.0844347993839126,0.10701031486737594,0.05360817664183279,-0.04798554600021039
800,7.172760309807061,0.22941865972284847,0.0008651360720842961,0.9754843193612205,0.44073024800069543,-208098.64600494222,0.4466504165264786,0.7192240688731121,0.5675167799057217,0.2775834851445327,0.09455101651948307,0.06196754274089551,-0.021201833149423477,-0.1558392797965261,-0.013302656039321898
900,7.784454426464984,0.2808123030593367,0.001004180930067347,1.157107946279844,0.41920570599146845,352991.1225695228,0.3981166081975479,0.7281764416822819,0.6530885741201632,0.4144064189354382,0.13604096145395064,0.0040266899955596555,-0.07267527749287023,-0.18275224247729688,-0.18335861805163214
