miliseconds,x_0,y_0,y_1,L_0,v_0,z_a,m_0_0,m_1_0,m_2_0,m_3_0,m_4_0,m_5_0,m_6_0,m_7_0,m_8_0
0,0.8446156538174033,-0.00280191768389709,8.332483627092556e-05,0.03581478365492841,1.0073992338620172,35778.420796454,1.0089059808572434,0.0037066078051606697,-0.0008646149932126582,0.01228370285323691,0.033573565767034026,0.05290465213863936,-0.14863419493998553,0.012914697531156875,-0.1396798995624338
100,2.3854401871149,0.004023472048954341,-0.00010419340827709405,0.07497067047662147,0.912732741303532,413188.431820359,0.9005404127360486,0.1829707150473162,0.024827888539070378,0.02031126832842282,-0.057476644991383385,-0.002641292564035555,0.12752206534430469,0.06389682823963976,0.15487469726331043
200,2.4002426549282534,0.03478883679788737,6.57539134690231e-05,0.174135015581091,0.8083638177720407,427138.2905104952,0.8273892082749305,0.32729782982309935,0.05253533383481841,0.021030856185156772,-0.05802288982111722,-0.07521545995681,-0.12791962361569045,0.19630793110101846,0.0740025180194473
300,3.664952850408926,0.057008144130092246,9.248887352760423e-05,0.2796547894250719,0.733914642089703,-432272.65542817174,0.7310370700216817,0.4547983814095568,0.1318712441539613,0.035875929740295014,0.056738588597056466,0.00984826898382216,0.07837640109363787,-0.09261049124311682,0.18732000659992645
400,3.9939666007056034,0.0857759417639587,6.87073780693089e-05,0.438182325025581,0.6781458284510037,-67095.26363040363,0.6753450825498133,0.526260003011668,0.21561744081677023,0.05974759962244294,-0.03475095339084029,0.07849306346800146,-0.11861374096389365,-0.03870256633417221,-0.22220276004964196
500,5.1091172735228625,0.11944523295611856,0.00033975437837097594,0.5961623404248915,0.602122360911159,-37949.59835963916,0.5988771632074389,0.6153663498520706,0.3143220353986126,0.12576202734917896,0.0381221823241354,0.005604934068400425,-0.07145692133455983,0.0899694096312007,-0.05225242929002559
600,6.033144634617172,0.16833515161420312,0.0003473210795024542,0.7340639210995286,0.5523873960948034,-436716.4564158992,0.5387856461458557,0.6590324720033527,0.3878757087655944,0.16937536542300355,0.03190299053659029,-0.09386912513513923,-0.1423805702019297,0.05061082159240691,0.08242572981806896
700,6.372867449315464,0.21143997867595013,0.00046175163700089544,0.8633452066457832,0.5019904786885161,-334875.57586155576,0.4903510728198406,0.6958345821230834,0.4847539354053513,0.22275720266727242,0.1276215480905609,-0.02728547569245668,-0.15538789011460585,0.14195319320837868,0.023201325178514996
800,6.952833071743523,0.23898105504844203,0.0008290615288261856,1.0307767858875208,0.4443282057586707,-401244.21573548723,0.45747917782284336,0.7111147558933095,0.5633088640056884,0.2896617014976926,0.07369614995832136,0.1467051049707443,0.17191344379266188,-0.03456904788767205,0.21050807148345077
900,8.437682083687134,0.27318572850587725,0.0010590814130955412,1.1676736107406491,0.40723139080133147,-167214.5646972018,0.4170321169707019,0.7276515674600674,0.6671901809515721,0.4064707231018231,0.12196508534902853,0.07498640605779784,0.13196003494654884,0.09457658557394032,0.009188282882107228
