milliseconds,x,I,y,z
0,195.71145873440773,0.0,809.3283707826724,130.93683536430285
100,196.2320633393174,0.0,576.3817811642233,363.7791425037168
200,197.16651531911015,0.0,279.27070541382597,859.4177350791978
300,194.0544764720234,0.0,98.65475120651395,1150.615889853492
400,200.3287662838421,0.0,24.401395303340312,1212.4382983212292
500,209.48713662641094,0.0,17.592143505322756,1200.4885062875799
600,205.75772870319108,0.0,14.043578320734628,1125.4999425511655
700,213.86498500561964,0.0,-12.823239535002488,1072.0733846143278
800,223.18836454721134,0.0,-7.00180122731156,1061.0720542622466
900,220.84685525113443,0.0,1.9878372427328201,958.4548330536841
1000,226.61035076926717,0.0,-13.079317896097127,915.6101690514542
1100,223.50391260214502,0.0,-6.669966318990601,879.1233550529645
1200,229.67024823183124,0.0,5.288125142774009,871.6826721833047
1300,232.64538951604885,0.0,10.199636683554075,842.3352157688882
1400,236.0960433277239,0.0,-3.1304810298291796,765.460246001019
1500,242.0660925170326,0.0,-2.8221356828584003,725.5559719579365
1600,255.21060822426585,0.0,10.030635512407361,681.1328990803233
1700,255.81011164872913,0.0,-6.955437661989424,647.6259681069063
1800,256.0569059786865,0.0,-6.244277345870514,621.1798761805794
1900,265.4509863315,0.0,-7.193059633263357,581.498092049354
2000,262.1010253707371,0.0,2.442980142441731,546.2149528949769
2100,278.89648796224606,0.0,-1.2385744174356155,559.0688656622369
2200,275.7776326677431,0.0,-9.263554968098173,500.12324638098426
2300,282.10634465257397,0.0,-6.432690040725963,519.9637402589428
2400,289.74723146950373,0.0,9.008888702092536,493.56974023646404
2500,287.8051252051375,0.0,-4.357422403770411,417.8203855946199
2600,292.8268931371908,0.0,-5.915721392980471,442.24440340189363
2700,296.65082708738197,0.0,9.199973947366479,390.29679444339007
2800,309.1249524566937,0.0,-2.1738630244806587,407.8938133901294
2900,317.1778873162468,0.0,11.655243632893102,385.229362389255
3000,327.7435862741102,0.0,8.738781821770322,376.47404650866406
3100,321.4199748818337,0.0,1.1629451139854925,319.5363532488963
3200,338.62145748192904,0.0,-6.010080175048108,312.32727691889227
3300,337.1523415126445,0.0,12.25685534129123,287.5226323556002
3400,339.412593930632,0.0,7.263417306841597,283.7930750295922
3500,355.71257400398423,0.0,-5.235867279902785,281.0302735870813
3600,352.75529222967606,0.0,12.846704380098965,236.54395241208445
3700,368.79544456380324,0.0,10.616447562987009,229.64588871992348
3800,375.82451816677207,0.0,-5.95423753194932,223.1005874580765
3900,368.45562946165757,0.0,-1.776339002975236,196.65380885715524
4000,384.1043416600085,0.0,3.2440280274489024,240.7789475944488
4100,389.13614359838124,0.0,-0.6881578343022002,225.021116377979
4200,388.83046521106786,0.0,-13.635264089710036,221.61181445643376
4300,395.22264377097406,0.0,4.111021827107892,158.1189010000856
4400,408.04306095564715,0.0,10.33081100867039,185.84148791751247
4500,415.25564165749444,0.0,11.879228194265032,181.56316900239642
4600,419.3047990260745,0.0,-12.001575590807795,141.7729560140943
4700,421.3444263136031,0.0,5.145914069512996,168.3260617838504
4800,442.37903547852494,0.0,-4.066076999100818,145.9029010729074
4900,447.35994033352074,0.0,-6.347638757027926,135.30161403813514
5000,454.4920915957601,0.0,9.491658358976405,131.580385657054
