milliseconds,s1,s2,s16,s22,s23,s24,s25,s26,s27,s28,s39,s40,s41,s42,s65,s29,s30,s31,s32,s62,s36,s45
0,0.00933170405176155,0.013013391672188443,0.010065817155630888,0.010133716001790225,0.009913637855832725,0.010142641947705817,0.010144347777339276,0.010286967376748057,0.010081532771624718,0.0101735345916739,0.009997161093574009,0.008060219140905196,0.007552608716620051,0.008715599688036335,0.00998210831167364,0.009911400087085293,0.010565793655997255,0.009860849116752238,0.010064319878383852,0.01002987858407087,0.010076904306935945,0.00987178784064155
100,0.03575041138931089,0.02851534496341878,0.009066348928374447,0.014786181407274753,0.0013723967514906788,0.00810128398253554,0.008683754091320361,0.002865916140088581,0.003319114833775126,0.014339918788247948,0.010020233886401768,0.01376668259689746,0.020075844226401816,0.013155225711077335,0.007559864710193271,4.2694636964733855e-06,0.03340376931830851,7.97272296994003e-05,-4.99015529558338e-05,0.01405660852317225,0.01080777465664289,0.005110112702142552
200,0.04390630127698254,0.06314872542020536,0.008158153100840535,0.01778071699269213,0.0008124539651374964,0.004803168137621063,0.00564985315656136,0.0038534980335116096,0.003852536061641004,0.009890401715487093,0.010038463125226429,0.016181893911941837,0.016565016962992507,0.014578590734727058,0.00613625821079414,4.5519089618062634e-05,0.03242813975830796,8.990422345212116e-05,-2.99471934722914e-05,0.015605195569864594,0.0117173266638738,0.002669048539238596
300,0.05193406873731809,0.06658824084593994,0.007544731994258179,0.018967326204989515,0.0006247853318680719,0.002380826755768967,0.0029081987277807648,0.004581880233074018,0.004943122403472951,0.006962724039210269,0.010046974403129676,0.026339461879878866,0.024751972736228617,0.026887975730312465,0.004802009067157101,0.00015060474179352156,0.029175496762925412,5.709270156001135e-06,3.695350248562831e-05,0.016171642564271466,0.012202454592287035,0.0014971678217475229
400,0.05634151771863388,0.05921400598352504,0.007214471910286124,0.0194060947723975,0.0005734695105931045,0.0012505239351807793,0.001488282293826663,0.005764917796409141,0.006976178056207568,0.0049369939260162,0.01005333935113797,0.028178754129303298,0.03148040939331207,0.029571785643318124,0.004600937954164149,0.00011346869054247141,0.02617020037220373,1.5145713745382152e-05,7.737351654704173e-06,0.016260040818972178,0.01246852984792854,0.0006525951071430776
500,0.06177476464788491,0.09643140648467823,0.006940088672004453,0.019791445914872616,0.0002949182110566669,0.0005961493466443823,0.000492093692508495,0.006330016009046447,0.008805505442226429,0.0036083310986946148,0.010061454383826175,0.03371901427715252,0.0380566898160826,0.0302287844527081,0.004258096710067867,-2.7282268041573096e-05,0.02253769908549493,0.00014293649064921684,0.00010853478748308382,0.016340935374242995,0.01257210673673094,0.000351104466849882
600,0.062274666398467536,0.10770669811771062,0.00685059201375889,0.02003612602317224,0.0002827210595788588,0.00025566754953167006,0.0003599767018236824,0.0074088655516304485,0.009650847655192134,0.002554666760431368,0.01006417889015239,0.03825297290964282,0.03381711477054397,0.03863497718817321,0.003986649796799186,-4.9545740241830785e-05,0.018677552181018565,-1.3494271897315731e-05,-5.3693298457965254e-05,0.016476743050898666,0.012712242662284292,0.0004065564967001633
700,0.06344574981062333,0.18149870610126373,0.0067736143385716185,0.02054420539121234,9.064777163084867e-05,0.00037334189270026176,9.455889719114111e-05,0.007828343243399802,0.010088345458905097,0.0017124891096828585,0.010063631769407102,0.03769073046440179,0.039283248242134874,0.04362229642803843,0.003973257857670417,0.0001357050121572688,0.01530540288296212,5.7213889247822265e-06,-3.304444504099629e-05,0.01632087105206283,0.012543101461765814,0.0002855941841511995
800,0.06487566441749595,0.1863114208204021,0.00672254782045157,0.020758065226252547,0.00021235557284488292,0.00018198695392131764,0.000235805194950251,0.008041460909099829,0.009270191171814705,0.0013132270803548464,0.010069181257961123,0.046057111157505264,0.04373097657123554,0.04149972688383817,0.004635094558727809,0.00012250264078452028,0.01239756229941412,8.331380282747153e-05,2.0452904684436482e-05,0.016458251013910425,0.012591327080244505,0.0003249305168766727
900,0.06409717143661958,0.1836297024985999,0.006594668362756962,0.020702863733773984,0.00038449801011972487,0.0002688574638909153,0.0004037416743869961,0.00856812965875483,0.008620135290410329,0.0011530919642245856,0.010067950139426508,0.04193638326481818,0.05146179428077433,0.041702222862995006,0.0049238501595436504,-4.0565379899465776e-05,0.010229817433286314,5.6019719205645377e-05,0.00012276780340892947,0.01642267121718261,0.01246214737877514,0.0001316184497467935
1000,0.06477836378782616,0.23389044136585968,0.006650649168021351,0.020960687826137206,0.00027318083613327285,0.00028164613112822084,0.00018307951283035145,0.008987154161337624,0.007598037114418488,0.001125303437159801,0.01006827479189809,0.05112828820900569,0.05730035476009505,0.04930294232754991,0.0050498568147196304,8.243197265681365e-05,0.007741758481998452,-3.713033995165905e-05,7.040315012439788e-05,0.01623668276220585,0.012428351050933572,0.00016282602293706737
1100,0.06307776118281706,0.24377107687334962,0.006590647217524139,0.02081873832983846,0.0004590766081142731,0.0005662442737393717,0.00018928059839807225,0.009260750911977035,0.006803499404012118,0.0004254102693011029,0.010067623380673641,0.05748436918812966,0.059204783736791014,0.059814586662708696,0.005607788808747322,9.722886944916301e-05,0.006400489767718875,3.649839196177512e-05,3.091591913238353e-05,0.016259358829710104,0.012355640483280325,0.0001050645439590965
1200,0.06353077758073859,0.2362619727051896,0.006549313986953915,0.02081748415161701,0.00040089198546867884,0.0003258676215028996,0.00022267277707417778,0.009256270687524255,0.005682174947598084,0.0007644481550971179,0.010072903232339961,0.05155698171312752,0.059274299990773646,0.05790583597429168,0.006267796375923667,0.0001282058009168805,0.00590487436816266,-1.3324405199300399e-05,-0.00010544300726788118,0.016305648456887978,0.01227752466422958,6.471406132476611e-05
1300,0.06178250139977681,0.2871308627262825,0.006497939986529092,0.021133307526174778,0.0004552343781967525,0.0004893094177138135,0.00047501760550323555,0.009040469254005734,0.0047535592122420365,0.0006337025811805443,0.010070437966610751,0.06146264046064928,0.06581103759111526,0.06620633513643723,0.007003876482140943,6.039757029155098e-05,0.0050497717258056124,-5.008714970104069e-05,-5.717565303780361e-05,0.016290272019768924,0.01220158296181569,0.0002928164178097346
1400,0.06045344057951353,0.279327814818718,0.0065044569438306625,0.021393403605069573,0.0003182913373117012,0.0006203504346561751,0.00040439515532007163,0.009067892825910095,0.004392976349559204,0.00047693249517599386,0.01007263864491923,0.0601816470432206,0.0672490695916971,0.0653160099860946,0.007685535465303381,0.00010103221009244704,0.0034080311799793267,1.2184431502810473e-05,0.00010668643510600364,0.016181884903262084,0.012198577593223542,0.00025060673682057776
1500,0.05862822932131642,0.31072940211486105,0.006467930514169807,0.021500820331704536,0.0007098426656121906,0.0006360694969537431,0.0002942478619513273,0.0090552056447101,0.0032720280732269186,0.0004112495616444221,0.01007373220850328,0.07074905991196101,0.07727274871692566,0.07151691447926511,0.007679174436199126,-6.01635497704793e-05,0.004311914142980705,-2.1557927226650793e-05,9.744595897454844e-05,0.016239659099365915,0.012062787527267466,0.00017881381749399735
