miliseconds,PCdk2_CycE,Cdk2_CycE,Wee1_a,Cdk2_CycErem,PCdk2_CycErem,Deg_a,Xic,Xic_Cdk2_CycE,Xic_PCdk2_CycE,Xic_Cdk2_CycErem,Xic_PCdk2_CycErem,Xicrem,Kin_a
0,0.93852742308935,0.06023638720371404,1.0302642816627878,-8.678558651738733e-07,3.088902678701374e-06,0.0,3.004825791241693,-0.0013352242623563746,-0.0030924262555800685,-2.3560172120360363e-07,-3.38246132144989e-05,0.0,0.5970331304283484
100,0.916748519108374,0.05911582304305023,1.0161738686393538,4.841444613046031e-06,8.349274253543165e-05,0.0,2.9792292722546705,0.004429516106370411,0.022887931014312683,2.658457392170576e-06,3.4805649733738914e-05,0.0,0.6087414936932558
200,0.8866016168488643,0.05651633541729997,0.9771454792325424,8.631471401945234e-06,0.00012517719532113378,0.0,2.9454535090559424,0.0019776398330148574,0.04943291180053594,-4.402104849338082e-06,-1.7672986165298215e-05,0.0,0.6227960378739078
300,0.8673551943744134,0.05614430936537588,0.9793855918382707,1.4039906121356532e-05,0.00019610594474159514,0.0,2.910450094203676,0.0073554147722722195,0.08554950921012848,5.114885933752829e-06,8.076922860714107e-06,0.0,0.632739202090534
400,0.8400561664587692,0.054270477561182376,0.9600106304023196,1.561797326373014e-05,0.0002726342065133161,0.0,2.884086562655508,0.00799417148582296,0.10872104870900155,6.11178198466042e-06,-1.3749478191120117e-06,0.0,0.6447272178830932
500,0.8184549144169899,0.054083100576806445,0.9189344199062647,2.118660564866376e-05,0.00030731867472410694,0.0,2.865534227099202,0.008339027808420009,0.12497991188063491,1.6521284011552398e-07,3.538960945240924e-05,0.0,0.6506927874899293
600,0.7946462622061584,0.05296311284312786,0.9033613408581346,2.4397251439886263e-05,0.0003770646422670249,0.0,2.84858376008713,0.011495174503865651,0.14914626146851376,4.69568125724606e-06,9.026453422668897e-05,0.0,0.6642291613708543
700,0.7640127024025618,0.051605288200710725,0.8821462101877456,2.5673097439205396e-05,0.0004119640005926205,0.0,2.8112107515845297,0.01426176791472213,0.16859721291605154,1.1270726488455892e-05,9.654600275946127e-05,0.0,0.6838210744742514
800,0.7496338187722323,0.051854874905476314,0.8603196881668356,3.1669051451023534e-05,0.00046636644432301996,0.0,2.7867585758951576,0.01615776358537787,0.2002761775251692,3.4729214794044116e-06,9.737674911717775e-05,0.0,0.6927279027839006
900,0.7138078851508263,0.051233263194116835,0.8218894049559489,3.4996267196296015e-05,0.0005173820263276537,0.0,2.7689831705447965,0.015922284838523405,0.20923321884128823,4.522650833869812e-06,0.000161815670138141,0.0,0.7086298250617512
1000,0.7099915282004808,0.05077251249349813,0.7858487813025067,3.899019252741643e-05,0.0005391230244273312,0.0,2.7494667386001157,0.01861023216482002,0.23436151453521528,1.572324628269648e-05,0.00015304103483172954,0.0,0.7134913448166994
1100,0.6868265246818619,0.04986339131337168,0.7614881916221972,4.090132982831445e-05,0.0006023401903943776,0.0,2.7335747190298636,0.016229539232049506,0.24731526747395313,1.3862544146964308e-05,0.00019479920007749255,0.0,0.7260490789595565
1200,0.6520510987922712,0.04937943612552517,0.7226047298634098,4.38754987441554e-05,0.0006156417713739737,0.0,2.7047953207434183,0.020323096094055648,0.2704650799499657,1.57342874809377e-05,0.00027979228832087234,0.0,0.7401110081749125
1300,0.6476550813573444,0.05000989253447971,0.6800204100719027,4.5649864461828166e-05,0.0006459982280484726,0.0,2.7004277389094904,0.020927150546383205,0.2887002017100848,2.057203216614685e-05,0.0002656721413721674,0.0,0.752635572919705
1400,0.6205662916624551,0.04930466076351425,0.6646860622272626,4.609596974603047e-05,0.0006883796674659177,0.0,2.679697719118239,0.02106724165875006,0.29554820384220953,1.769287174756695e-05,0.0003278255812601944,0.0,0.7558699061383953
1500,0.5958132670568775,0.0491106664419815,0.6057924726052886,5.1984796569184544e-05,0.0007248335793873467,0.0,2.6625961024258724,0.02354907858061875,0.3211442924534529,2.5969760713021626e-05,0.00034458171071559765,0.0,0.7683190443289897
1600,0.5828410829676586,0.05006048742427062,0.567859690908092,5.387137308267668e-05,0.0007453294309958284,0.0,2.6466114348879857,0.02548166303520838,0.33454211720073307,3.269643603794268e-05,0.00041291414670602283,0.0,0.7883097746874652
1700,0.5689552578177836,0.049542419367770436,0.5358547307660189,5.7635605079465095e-05,0.0007704929898204549,0.0,2.619855996831584,0.028943667422716875,0.34054163571748136,3.402282304501651e-05,0.0004999267107125454,0.0,0.7880949756203743
1800,0.5556273898607783,0.051051804173004124,0.4833827323525839,5.79033664239707e-05,0.0007901975371943341,0.0,2.61589102111935,0.03396877968174656,0.3540462120762064,4.2467789163456376e-05,0.00048686190495528584,0.0,0.7986065374122133
1900,0.5468550258146296,0.05168966138505763,0.43656101051174795,6.0422740702945836e-05,0.0008233593910124258,0.0,2.5900203703316165,0.03788088705254873,0.3751748226113777,4.1355672950735636e-05,0.0005695238772318355,0.0,0.8113408892556052
2000,0.5309941459169081,0.051781831223427444,0.4099274751926988,6.149323098931887e-05,0.0008497603264579045,0.0,2.580144270432383,0.03937222634220343,0.3880537552563787,4.6565395130363296e-05,0.0005804362862618352,0.0,0.832325029299137
2100,0.517008749374432,0.05193381340331747,0.36817049657967904,6.555369439047742e-05,0.0008571182521305318,0.0,2.564460436452741,0.04279241026031783,0.3928756843599573,5.424031844407392e-05,0.0006598566211780916,0.0,0.8424975021290247
2200,0.4999073212099349,0.05384777753088419,0.3125462949569288,7.012870813615973e-05,0.0008878488363770405,0.0,2.5559939859926657,0.04426944378558344,0.40644517055363144,5.30015446094908e-05,0.0007193185122605977,0.0,0.8549953191983096
2300,0.4831490903876366,0.0548922600558179,0.2669653660944751,7.139288559910876e-05,0.0008950681971249066,0.0,2.5385162427848926,0.05000687920884648,0.4167816482771551,6.490886398863564e-05,0.0007849703306428058,0.0,0.8564993385017333
2400,0.46211591012566283,0.056532728119241586,0.2073820988483948,7.123054779285712e-05,0.0009161711232641815,0.0,2.523366186446021,0.053204987788602186,0.42665595460980094,7.064290369872077e-05,0.0008174567620788252,0.0,0.865305845251332
2500,0.43987433007486043,0.05769116129738456,0.17263774036056279,7.734088780436086e-05,0.0009339559286316733,0.0,2.515311268443895,0.05710386010424379,0.4340059591606133,7.508613675361904e-05,0.0009017577854254227,0.0,0.8833081310756278
2600,0.4304678509657641,0.05940089223067463,0.10069887049290675,7.724198888090337e-05,0.0009351261041194984,0.0,2.5018299197586704,0.05852576657184228,0.4492629508511814,7.93129503677052e-05,0.0009691734675237559,0.0,0.8934898586867839
