miliseconds,PCdk2_CycE,Cdk2_CycE,Wee1_a,Cdk2_CycErem,PCdk2_CycErem,Deg_a,Xic,Xic_Cdk2_CycE,Xic_PCdk2_CycE,Xic_Cdk2_CycErem,Xic_PCdk2_CycErem,Xicrem,Kin_a
0,0.9500521182033764,0.059693218484337444,1.0242207896525704,1.673995131154795e-06,-1.0375954045772176e-05,0.0,3.0069352476210183,0.003161902876823272,0.007489433789335683,3.6492221730436137e-06,-2.261495576197579e-05,0.0,0.6060326566255176
100,0.9071355272166651,0.0582754439215712,0.9904289795512269,5.536866509853664e-06,6.346292148730891e-05,0.0,2.97917677695733,0.003101973670667049,0.03343780419073054,2.152591453873192e-06,-3.1099909669126424e-05,0.0,0.6071354585809495
200,0.876197483149343,0.05681245582119301,0.9790384777122035,1.0964518890123952e-05,0.00013092252578468275,0.0,2.93891959693038,0.0007203261363278451,0.04800358537636103,-4.504679480073147e-06,-1.2134605239143462e-05,0.0,0.6213162440579297
300,0.8584362048877839,0.05537686940705392,0.9635896826130091,1.4601075439744932e-05,0.00020656955687209358,0.0,2.9074190613180253,0.004862756415218795,0.07593565482480559,6.766366894303878e-06,2.9317804235299617e-06,0.0,0.6328739464359625
400,0.8292870484267698,0.05478852795662538,0.9325706499329711,1.8432643514367054e-05,0.0002490006641491228,0.0,2.881996584995125,0.0043557743835552516,0.10474818005196476,3.835386545098083e-06,5.764298306833354e-05,0.0,0.6429045677964412
500,0.8155259540826489,0.05389060309272093,0.9154988311660252,1.8927855874251923e-05,0.0003225429269970484,0.0,2.853947749577147,0.006981396905380323,0.12239011459722293,-1.2134032418609568e-06,1.3104754645821502e-05,0.0,0.6593448098137895
600,0.779016051423147,0.053424673868725514,0.8967900332526995,2.5140826011081216e-05,0.00036986131323495607,0.0,2.8425798732407235,0.010593220672718107,0.14896393061501004,6.722755521310252e-06,9.590518541987607e-05,0.0,0.6634289712140827
700,0.7613288837878812,0.052708305295792526,0.8891707195566985,2.9709229616460854e-05,0.0004059710764237907,0.0,2.8060519029223556,0.012879842797031561,0.1669809573120348,8.715400274667423e-06,0.00010074855157741877,0.0,0.6747631834600115
800,0.7458719584894002,0.05108962937738046,0.8424999276145549,3.1465014772371895e-05,0.0004557514613951322,0.0,2.7898984981122887,0.011405398959759335,0.18854827760937606,3.7481310058597735e-06,0.0001012899959515737,0.0,0.6970080708105423
900,0.7235104386106657,0.05044210579684271,0.8106033222855509,3.5529472023844624e-05,0.0004957498866205603,0.0,2.7696187073170098,0.015423220170716186,0.21867623156331112,1.364502312855882e-05,0.0001629996319636423,0.0,0.6957088701513789
1000,0.6910585482407305,0.04985328694893529,0.7778339689273961,3.542226484627021e-05,0.0005527483245371665,0.0,2.7423555586826036,0.01804628280601871,0.2366857526360752,1.4421331102277275e-05,0.00021259391028006472,0.0,0.7090153131570264
