miliseconds,PCdk2_CycE,Cdk2_CycE,Wee1_a,Cdk2_CycErem,PCdk2_CycErem,Deg_a,Xic,Xic_Cdk2_CycE,Xic_PCdk2_CycE,Xic_Cdk2_CycErem,Xic_PCdk2_CycErem,Xicrem,Kin_a
0,0.9351772474855781,0.05990011018165691,1.014913120850654,-6.979215450655811e-07,5.653537864312126e-06,0.0,2.992822100662655,-0.0020161585573092956,-0.006969097024585543,-3.395775348830959e-06,-9.691792267465684e-06,0.0,0.5963181951177394
100,0.9074416733605022,0.05883141861458304,0.9955260138225698,4.455287764546187e-06,7.748139965972574e-05,0.0,2.9657822492451498,0.00239665701242962,0.031745591742003004,-4.1776640275380445e-06,-3.110183198009116e-05,0.0,0.605399040820134
200,0.8752111637978941,0.05669084694047324,1.003931352068614,7.443405166853403e-06,0.0001459807729346419,0.0,2.95154532315926,0.0029824924885510683,0.04745895504582229,5.301067946672577e-06,2.5801125465015228e-05,0.0,0.6212410653960646
300,0.8663328166798192,0.05654039812593524,0.9761918377018167,1.4539097322622416e-05,0.00018860687172287148,0.0,2.9159864005672667,0.007609248299118012,0.07598429909777561,1.5194766677837882e-06,1.9546903909147512e-05,0.0,0.6348494632120902
400,0.8445661329066356,0.05507104642913292,0.967875580121304,1.620504635945809e-05,0.0002637871644421057,0.0,2.884284958545305,0.0046771761770013145,0.1021014955373051,2.941475293138587e-06,5.3644854769618425e-05,0.0,0.6422624597710824
500,0.8112381432950201,0.053533631537124565,0.9135919758951481,2.089680209229508e-05,0.00031249766200143735,0.0,2.8560209024023155,0.007618323051366952,0.1328521525101789,-1.934790644165278e-06,5.139923571928168e-05,0.0,0.6514928864901621
600,0.7857453020043409,0.05327046804759482,0.9032564476825732,2.269601651730501e-05,0.000364711385286667,0.0,2.843914514886143,0.008961896245604497,0.15023983585862483,3.658957987267226e-06,8.369237140474108e-05,0.0,0.6741134463487034
700,0.7548359804209913,0.0525064462837487,0.8636098408985275,2.709433206422178e-05,0.000432123512619802,0.0,2.810642190768505,0.013346657261998195,0.1671631455508007,7.416284172114726e-06,8.620657210447396e-05,0.0,0.6733912181438098
800,0.7314022990321785,0.051236238167078285,0.859451637828953,3.0125357637320993e-05,0.00045283342746422746,0.0,2.7945934427920385,0.012188094146785405,0.19093075571935006,9.337347143023292e-06,0.00010548810938094778,0.0,0.6967100138813064
900,0.7124487597968759,0.05090794066212411,0.8346864518576167,3.382933261196201e-05,0.000518028985478934,0.0,2.77499910820604,0.016392960793536297,0.2166858910238512,6.07052248974695e-06,0.00012437238404156917,0.0,0.7017893707982135
