miliseconds,II_f,II_l,mIIa_f,mIIa_l,V_f,V_l,Va_f,Va_l,VII_f,VII_l,VIIa_f,VIIa_l,VIII_f,VIII_l,VIIIa_f,VIIIa_l,IX_f,IX_l,IXa_f,IXa_l,X_f,X_l,Xa_f,Xa_l,APC_f,APC_l,PS_f,PS_l,VIIIai_f,VIIIai_l,Vai_f,Vai_l,PC_f,PC_l,TF_l,TF_VIIa_l,TF_VII_l,TF_VIIa_IX_l,TF_VIIa_IXa_l,TF_VIIa_X_l,TF_VIIa_Xa_l,TF_VII_Xa_l,IXa_VIIIa_l,Xa_Va_l,IXa_VIIIa_X_l,V_Xa_l,VIII_Xa_l,IIa_f,V_IIa_l,VIII_IIa_l,Xa_Va_II_l,Xa_Va_mIIa_l,XI_f,XI_IIa_l,XIa_l,APC_PS_l,APC_PS_VIIIa_l,TFPI_f,AT_f,IIa_AT_f,TFPI_Xa_l,TFPI_Xa_TF_VIIa_l,APC_PS_Va_l,IXa_AT_f,Xa_AT_f,VII_Xa_l,V_mIIa_l,VIII_mIIa_l,TM_l,IIa_TM_l,IIa_TM_PC_l,mIIa_AT_l,XIa_IX_l,LIPID,alpha2M_l,alpha2M_IIa_l,alpha2M_Xa_l,AT_XIa_l
0,1401.573773917939,-2.506506112671816,-2.6399167584031844e-13,-3.354817620097909e-12,20.033598005021396,-0.009002127267763898,5.020197105611479e-10,1.6679983141963927e-07,10.042763247371743,-0.02618440965619389,0.10039821152139414,-0.0006505736296837036,0.6954645049534105,-0.0008021995098684334,-2.163888238214547e-12,-1.5546249435343594e-09,89.99007015947645,-0.07117539204926616,-1.427767953467845e-08,-1.764163063675571e-06,170.64237474845044,0.6487025640226362,4.951642569601656e-07,2.2952969558746063e-06,-4.737834916559799e-15,-5.651708533148883e-14,301.6127403061926,-0.6544387060428005,-3.2613456828150388e-24,-2.479408201937177e-22,7.397616567938109e-23,8.951438175672116e-22,60.22144796235871,-0.05299122950891821,0.005023319610025781,5.925532587617698e-06,-9.819301805291564e-06,-1.7106680470404384e-06,0.0,-6.932043908933714e-07,-8.577469484759867e-08,6.755971410718521e-13,-4.440953984418627e-15,-6.047554172683067e-12,-2.716073183460549e-16,4.648424957221386e-07,-5.824277468245483e-08,-2.8855269542978136e-12,-7.77616796864372e-13,9.437477528742635e-15,3.847477718463376e-12,6.401285554996986e-13,29.9999999999989,-1.8096436878814426e-13,6.752814282028071e-13,1.3330533672106646e-16,1.9633773608065044e-21,2.5000000396679534,3399.9999999909965,4.608173883671293e-14,2.948971711692387e-08,-6.17228722808333e-14,-1.0002749708973719e-19,3.478014356595465e-11,-3.3342396857309903e-09,-5.53294606712797e-09,-5.267305927945894e-12,-5.4440544472258494e-14,0.9999999999998012,-3.0235203775770186e-14,-6.170616739342713e-14,1.0734989596731445e-14,-3.174301934141308e-14,169529.1213953542,2599.9999999954152,4.812274441839337e-16,-1.0926193825045685e-09,-2.224161745281373e-15
100,953.6239246832697,456.0647236064893,4.906521785836942e-13,2.381301261481828e-11,0.23178755054465755,19.629084758958726,1.4028961711089885e-09,1.0111861955185643e-08,0.2741667086213339,9.75237131906471,0.0010231769463109278,0.0991651554785512,0.006176574292032555,0.689605010312504,1.1839451283940776e-11,-3.6958943888984105e-10,0.8991366259376472,88.6799993334814,1.3404898391212889e-08,1.7868538043333456e-07,74.774941419229,95.62746155216598,-6.503795730279905e-07,-2.204553235492403e-06,6.131800935162757e-16,5.452215738956487e-15,3.153581164245794,294.2047927168073,1.4333366754733284e-24,1.5538224134688034e-22,-2.065970805133903e-22,2.0160596582234516e-21,13.892032567385728,45.93235905578122,0.0049314852742522635,2.318067172018434e-05,2.65648318609821e-05,2.061385547741422e-06,0.0,3.752395020775965e-06,2.814447567461153e-06,3.1412939868652817e-13,2.3234003429445643e-15,-7.924862923334117e-12,-2.8110719742600057e-15,-1.94188536470727e-06,5.899501875402293e-08,-2.9566794233018837e-13,-9.61099522940662e-13,-1.9338965288224698e-14,-4.1975980867683524e-13,-4.781018424985726e-13,29.999999999998746,5.406262162119723e-13,-3.474798789205213e-14,4.781494172789483e-13,-1.0274930640966749e-21,2.5000000161072204,3400.0000000052473,-4.299394200109126e-14,-1.0912174782994908e-08,1.3493084100931505e-13,1.4673646366539014e-19,-3.699700226031389e-11,6.366900754199236e-09,-2.341962919391561e-09,-2.0591696875092014e-13,1.1977298897853123e-13,1.0000000000010056,1.6079558859609568e-12,-2.1874619927964287e-13,1.0075780624807492e-14,2.0557338096888666e-14,69375.94089118783,2600.0000000038426,-3.4204660425713213e-16,1.7663221872663662e-09,-1.2112458859503605e-15
200,781.789136684379,610.5044556488646,2.708431286835779e-13,1.6890738573469156e-12,0.001942185993212664,19.894867559865773,1.1564960351529142e-09,2.4770276507573106e-08,0.16752028449026724,9.831321086033762,0.0012206802785854878,0.09849692078785463,0.006909611954097316,0.6961405303998285,3.0464004500826477e-12,9.071473375288119e-10,0.9328979069766397,89.4042007015613,6.551190790999348e-10,1.634166623220561e-06,56.02405731649975,113.00021205357108,-3.96862347180771e-07,-1.573739954285748e-06,-5.852452421292597e-15,-1.4718299712079467e-14,1.49615858579811,299.59788928515707,-3.2659144844715186e-24,3.08374362418379e-23,3.9110358544823984e-23,1.887726958642723e-21,17.81141518820785,42.24706750801398,0.004918295950589969,2.8013297405209608e-05,4.396504283556311e-05,3.6956857337556193e-06,0.0,9.274750079763435e-06,2.4720094245808737e-06,1.3037871210711112e-12,5.349603896671022e-15,4.196844581172587e-14,9.389197437151903e-16,2.960214982993215e-06,-4.490871790896064e-08,-2.4902766759644723e-12,1.0109792635576639e-12,-5.757791521433212e-15,-3.791730451944099e-12,-8.811698694984398e-13,29.999999999999726,-2.467142579552435e-13,1.5631341110442627e-13,2.41252947102674e-13,1.5953117286723626e-21,2.5000000235161126,3399.999999994272,-2.962846549106672e-14,4.724010350001057e-08,1.312687863896897e-13,5.255887517700218e-20,1.7937345876560126e-11,6.39677525158456e-09,-1.0969452400662212e-08,2.9671319452563737e-12,4.7861038727961525e-15,1.0000000000021694,-1.1036800476241362e-12,-7.711550873436588e-14,-1.0210682521011048e-14,-1.1680244866541931e-14,50595.82384965086,2600.000000000873,-8.427919649269902e-15,3.349142327893715e-09,-2.3091015054844377e-16
300,697.3213501739913,695.405819085508,-4.0522752439813014e-13,-8.139985429976404e-12,0.22309016264714399,19.812269558434227,-1.829289072412906e-10,8.553561822581031e-08,0.316239944701738,9.751605346335609,0.000931620835318446,0.0990091832626043,-0.00034000280881153755,0.6928615789381397,-2.4049435199667338e-11,-9.357411622142768e-10,-0.09965945852469721,89.47484666767322,9.948992043817196e-09,-2.0267609340075417e-06,53.52261089732027,116.54120174646454,-2.8969409331891205e-07,-8.13794139456916e-07,-1.3574347909502005e-14,-1.8497099875726868e-14,2.2180099791779995,298.4446859881192,-5.124728195312459e-24,9.673437481603531e-23,-5.377672762600012e-23,5.660418931164586e-21,20.247551372716195,39.57395758431551,0.004887647063248472,4.376675537921554e-05,7.687404946736796e-05,5.066727699511621e-06,0.0,1.4980256218255321e-05,5.119291332965967e-06,1.0547280401365828e-12,-4.010405265102736e-15,-6.675256663308111e-12,4.696881527771934e-15,-3.2001557116297515e-06,6.492125434706446e-08,-2.1095386631441107e-12,-1.5108890361304445e-13,-1.1773556724441374e-14,-5.690996753342461e-12,-2.547366411862391e-13,30.000000000000735,6.457574371981664e-13,-3.7969098039072785e-13,-1.8598068246868358e-14,-8.294660400060411e-22,2.5000000059543517,3399.99999999384,-1.4826320291849096e-14,3.277767389095167e-08,1.7202124239742838e-13,1.274615189291185e-19,-6.889699970535672e-12,-1.777928483895867e-09,-3.477749812293336e-09,2.203222220293748e-12,-4.51152940282151e-14,0.9999999999990231,9.20143050552651e-13,-5.356192064422646e-14,1.871014886800351e-15,9.091207308897849e-14,42628.021323903144,2600.00000000109,-7.455481611516347e-15,1.2382605797540085e-10,2.183118614659785e-15
400,657.9570655639017,737.9425199748398,5.844646496321227e-13,-5.9884648949558035e-12,0.22537846763232533,19.942544147827817,-1.0558436431957858e-10,-1.2147757965664287e-07,0.3234866204033148,9.71988940459831,0.0016436490913466217,0.09845547650692114,0.0015841315717067346,0.6975904291667117,2.354630202065011e-11,1.5992984545313599e-09,0.9742419996101095,89.48864166253983,4.983487715688002e-09,1.9717360894346258e-06,53.92157297096985,116.08890337962272,-6.980914576765393e-08,-2.700198089419441e-07,5.567420697071509e-15,6.758353623035542e-14,1.0799045604075155,296.1498030387457,1.5248366930032586e-24,-3.3595274495193734e-22,-1.4609816123907536e-22,1.90352939194514e-20,22.166465118417637,37.920437864625576,0.004805393656082413,5.598576646298929e-05,9.248057487244962e-05,6.86521221154055e-06,0.0,1.858021084152032e-05,5.899874114600261e-06,1.452897759443982e-12,9.265880098422986e-15,-3.1871133933064905e-12,-2.403708530273791e-15,2.0040515636125587e-06,4.988834798486606e-08,-3.812966339972492e-12,-7.043389977635671e-13,8.348374530611167e-16,-2.8352321962836107e-12,-6.04083275782486e-13,29.999999999999794,1.4949163043548792e-13,5.001465102948011e-13,3.928159227664596e-13,-2.179800401210386e-21,2.5000000123399873,3400.000000005286,4.624365544272784e-14,-5.14965807546078e-08,-1.6101427074183105e-13,1.1049473902575194e-21,-3.735681504502518e-11,-4.975593520663119e-10,-5.003067200034346e-09,6.63683573182567e-13,9.830358516440814e-14,0.9999999999990243,-1.4839009473845007e-12,-1.869385653472774e-13,-5.804342985438146e-15,-3.675450518682124e-14,38438.275282443356,2600.000000004393,1.4177952449667112e-15,2.1245673068743583e-09,2.0649530524322286e-15
500,632.0212585942519,772.8877506971719,1.527029589115871e-13,-2.9598062340383826e-11,0.021780717306950526,19.82155971233346,1.1574659828829033e-09,-1.0741547488009074e-07,0.369204777383389,9.701343416020354,0.0006232939148776022,0.09803943314264887,0.007409824451423413,0.699031197045774,2.768946049458266e-11,-9.199326856962048e-10,1.0714356821900144,89.06387858110152,-4.5590890773805294e-10,2.0230876770269217e-07,54.90384316451394,114.87280342437542,7.939475801854365e-07,2.93414168199647e-06,1.5232625658578627e-16,6.799618375135564e-14,3.4597254134836524,296.8943625373528,-3.0872779076087825e-24,-4.3323936095248964e-23,2.6972777246585296e-23,9.792484266563742e-21,23.043484266901974,36.776774930099556,0.004786695654771383,7.746647164492015e-05,0.00011819514702823148,1.2188340426170037e-05,0.0,2.428224915687555e-05,6.524660383056395e-06,-1.4067960896121116e-12,1.0639153260829775e-14,-2.5330094375485187e-15,8.650078275457149e-17,3.170543201862892e-07,-6.016991617277705e-08,4.151024351144099e-12,6.575734498417782e-13,5.649702611836261e-15,-1.0274856798352964e-13,-3.5649817718296084e-13,29.999999999999112,-6.835681823536878e-13,-9.626811959409776e-14,-5.295959603079266e-14,5.537488015227976e-22,2.500000040110604,3400.0000000072364,-3.965539710889887e-14,-2.6849949072290628e-08,-6.642269582952789e-14,-8.69049210547817e-20,-9.029354657573214e-12,-1.4832237212900463e-09,2.3903885247379082e-09,6.1373301104748e-12,6.71403404861321e-14,0.9999999999993133,1.0715003965687775e-12,-2.813077785047013e-13,1.6248986161349069e-15,-1.599424809165651e-13,36743.33478618939,2599.999999998965,-1.615174163972693e-14,-3.0802630756817747e-09,-2.2470992211939172e-15
600,618.8486738633451,790.6101931566827,7.259871770141092e-13,9.124011530295935e-12,0.24030472745081727,19.794098044231145,8.641815030752196e-10,-1.6091524808316657e-07,0.3622986177428224,9.614556286417024,0.0010586335743659025,0.0992435370239116,0.0036583212848713235,0.6984173683883202,-1.8599473242654443e-11,-7.761497830900608e-10,0.021472490368105168,89.11531808301409,1.554191187086149e-08,2.8673082349238598e-06,57.68875125736726,112.95530272266288,6.714886751643805e-07,3.0903436524219523e-06,-3.0926410940813434e-15,-4.5119617202203983e-14,2.616314068275978,296.5617441339612,-1.658101930595099e-24,2.2163111961955676e-22,-1.9505632452800098e-22,2.7343369311502516e-20,23.71645097576891,36.502504453082715,0.004715462658151302,8.05951259457728e-05,0.00013217714549958924,1.67914867185295e-05,0.0,2.705710399679586e-05,8.065356327489233e-06,2.753669826012542e-13,6.195127273868451e-16,7.188430300097997e-12,6.596582700196017e-16,-1.215800920947177e-06,-4.031280115434493e-08,-3.933261915602381e-12,-3.854063941975682e-13,-1.5268993559997866e-14,-1.4608767367455603e-12,-3.157281268400743e-13,29.99999999999877,-1.0231188324008794e-12,-3.361848999908982e-13,1.565590666884521e-13,-2.099637357916779e-21,2.5000000338100272,3400.0000000097175,-4.506055266605351e-14,5.3266767160277267e-08,-4.092722784592403e-14,-1.3434129622534157e-19,2.8141676206473923e-11,-5.006324888723461e-09,-5.092368909607773e-09,-1.9467011849505014e-12,-8.283561406385234e-14,1.00000000000055,4.651795729210708e-13,1.6969965330687255e-13,1.0617727204897146e-15,-9.430195684903255e-14,33811.48563689984,2599.9999999978363,1.1256250013876536e-14,2.9549703546883297e-09,1.2367233103801749e-15
700,604.0373347603894,795.5862725425393,6.677095918974077e-13,-2.5136596805882828e-11,0.303731093979062,19.89114481104877,1.4834243663406771e-09,-7.954325712979416e-09,0.3411211348524873,9.687095827380878,0.0019306272872586794,0.09814669980419233,0.00412215487981063,0.6953123541006991,-2.8294266048774162e-11,-2.023028006529678e-09,0.5038317512050338,89.45492139382965,-5.3800589078589055e-09,2.589927323606072e-07,57.800990474188715,111.23899517271158,2.9459997599929524e-07,4.318788259214145e-06,-1.0870972382669342e-14,4.996531373534391e-14,1.3876806398589103,298.41364811604217,-4.706640410881265e-24,2.5589969369398957e-22,2.1031253903446614e-23,-1.7978300132314038e-20,24.386732542201262,36.05943787391324,0.004690401120805033,0.00010429770903534657,0.00017448318025115386,2.0274091777912194e-05,0.0,3.321434499759815e-05,1.3944503292874388e-05,-1.1718218016920068e-12,-7.658664796694169e-15,-4.503650703833088e-13,-2.0324080868716255e-15,-5.529824880954246e-07,2.9432452830009154e-08,3.3484486750031374e-12,-6.865998914828767e-13,9.576971441160033e-16,4.452228733363144e-14,2.866732462898763e-13,30.00000000000091,-1.332970038461763e-13,-1.5252483012586228e-13,-2.7759831259678966e-13,1.0681938837950933e-21,2.5000000455320324,3400.0000000012687,1.757704166721572e-14,-1.223507649277675e-08,1.2433573840461393e-13,1.76672353955184e-19,-2.0446906204718353e-11,-7.74234140505518e-09,2.0838149318242106e-08,-5.032166977833068e-12,7.883604204749083e-15,0.9999999999984375,1.3067041599747548e-12,-2.890758720634153e-13,-1.0545959140217751e-14,-1.6386528635864744e-14,34141.34131390813,2599.999999995021,-8.724513088479609e-15,-1.0696997697003352e-09,-2.531298264331221e-16
800,599.6007844044142,801.739295288611,5.384773830404335e-15,-2.264013469820011e-11,0.08666773215769281,19.694304110920854,1.0207653838136995e-09,8.01695598587885e-08,0.39377594050151793,9.641791993098323,0.0007698912360071644,0.09914691097387658,0.004732282935459766,0.6932817920984782,-2.8507942158535657e-11,-2.617538901512089e-10,1.0833966558919124,89.74144455944301,2.4999946126759342e-08,3.196230367469367e-06,59.41552312113042,110.56559819561058,2.557373765230957e-07,3.991435050430011e-06,-1.6882735878248755e-15,7.143735937825137e-15,2.7856434794959832,297.03516508249675,-2.775170588234613e-24,7.988105053598762e-23,2.084561256871217e-22,-1.9151122197966434e-20,24.61606809385395,35.51377056827829,0.004651611563512703,0.00011051814555827515,0.0001832522070903026,2.231941513496642e-05,0.0,3.672997198585984e-05,1.438483944817193e-05,-3.369790884060114e-14,9.848000302511585e-15,4.333811749361127e-12,-1.991915977770258e-15,4.273856845928797e-06,2.9219803749309446e-08,-4.499910817070631e-12,5.585273852536626e-13,-1.7480426820438588e-14,3.66095840924922e-12,5.887734864971229e-13,29.99999999999993,-5.101051000263605e-13,-4.0128945842039267e-13,-5.809780905703882e-14,2.507858188468394e-21,2.500000038259949,3399.999999997269,8.30697240180639e-16,-1.6081901202582156e-08,-5.413775853190196e-14,2.1075622136374168e-19,3.495720108589297e-11,-3.1030511052301128e-09,1.9694141774080745e-08,1.3562675590482343e-12,-1.6164409945998282e-14,1.0000000000010083,1.6264983580765186e-12,4.1493691376127225e-13,-7.8296800170609e-15,1.7268528542266453e-13,32821.85907245767,2600.000000003307,1.0692713125618075e-14,-2.1779618336275115e-10,6.721302703687671e-16
900,596.314532312261,814.3211653486402,5.788331550075868e-13,1.0907165625446323e-12,0.05874842460677408,19.785301550571386,5.319356740664191e-10,1.2610551459588785e-07,0.44033257116483304,9.635079919298596,0.0015280313825941736,0.09851049884252025,0.005644914553051774,0.6990493917423136,1.7329378938630367e-12,6.23294277426459e-10,0.5226617658346492,89.53611047311483,2.5591824847416056e-08,2.5404169385586835e-06,60.267359657578716,109.76686723288562,1.538285408510266e-06,5.526493634325468e-06,-7.152315390460073e-15,-6.604448755292366e-14,4.175048893273713,296.2889564263924,-1.6235797360875652e-24,-8.274838917212598e-24,5.845570926546744e-23,1.0132458638505239e-20,24.62594735621745,35.200968226933156,0.004600068233972514,0.00011595286668785248,0.00021810823190175405,2.5561420044675066e-05,0.0,3.82615431957149e-05,1.9034040848899134e-05,2.0970799341551823e-12,-5.7372575454297944e-15,-3.1688571525150304e-12,6.2367039402577175e-15,4.034111017494249e-06,1.0703638725653031e-07,2.8371795862747557e-13,-7.731084631734027e-13,-1.6150690478676523e-14,-2.7440307180550492e-14,4.891646066451655e-13,29.999999999999513,9.010856170197529e-13,-5.224305246165052e-13,-3.2368099569693346e-13,8.461845668049677e-22,2.5000000229333783,3399.999999995108,5.544159223290786e-14,1.376027770732184e-08,-6.693929157594457e-14,1.084716529015442e-19,3.8445293675234537e-11,7.680793843537614e-09,3.926217685561822e-08,-6.352181717645194e-12,7.613598150211757e-14,1.0000000000006513,1.2298720257921454e-13,-3.2538416894477746e-13,-5.3349596011010505e-15,1.7585270650992374e-13,33801.7530799537,2600.000000003793,6.5591979561220025e-15,-3.8329390908883805e-09,-9.06928117971902e-16
