milliseconds,c,cer,cAMP,h,inh,V,n
0,0.29999943044692684,259.99995890531096,1.0,-0.0009510781686656916,1.0,-59.98865938368125,1.3547561427570903e-07
100,0.2999929980585262,259.999930512122,1.0,0.0006977188898429976,1.0,-59.97034994993757,2.5811638327653227e-07
200,0.29998098915731086,259.99973693771614,1.0,0.003511190358084935,1.0,-59.82395611806967,2.2846059359192084e-06
300,0.2999748084818766,259.9996719823627,1.0,0.006574958597573893,1.0,-59.66395394614294,3.5629600470998114e-06
400,0.29996870332535114,259.99960673308584,1.0,0.006379670860046264,1.0,-59.576365361822454,3.302172296096071e-06
500,0.2999593753288464,259.99956702183454,1.0,0.007819443583076515,1.0,-59.48445378127499,4.067672885295895e-06
600,0.2999519734154447,259.9994516332626,1.0,0.01026085343364263,1.0,-59.28192392628469,6.887591255859531e-06
700,0.2999411397296821,259.999290248795,1.0,0.012964934759959627,1.0,-59.173610855846604,6.894726775310926e-06
800,0.2999386014267197,259.9992356992139,1.0,0.015153279615011938,1.0,-59.11819739911695,8.982702607797184e-06
900,0.2999285148000719,259.9990810960185,1.0,0.01603457594276568,1.0,-59.000639451963615,8.673448642339799e-06
1000,0.29992437072105504,259.9989771502512,1.0,0.018518275701585842,1.0,-58.93202482884304,1.0580724088029956e-05
1100,0.2999164049505646,259.99889389666487,1.0,0.019366310251201085,1.0,-58.7154440858038,1.1936402617443473e-05
1200,0.2999100434247266,259.99884533786644,1.0,0.02109130557470515,1.0,-58.565798135217285,1.224296510800322e-05
1300,0.29990474504063513,259.99878349492536,1.0,0.023115591728855158,1.0,-58.558324923521496,1.3750573761666034e-05
1400,0.29989853770101327,259.9985530030377,1.0,0.023594762140729048,1.0,-58.48947796875336,1.5265347524862302e-05
1500,0.29988989030164265,259.9985537252048,1.0,0.027321423331041608,1.0,-58.37194777758136,1.5119168350297457e-05
1600,0.2998843492885888,259.9983860771522,1.0,0.028515602784477505,1.0,-58.15900667168637,1.65018178155681e-05
1700,0.299880771827246,259.9983075777456,1.0,0.030301765393176288,1.0,-58.105710292373985,1.7925540218379408e-05
1800,0.29987535620265854,259.99824453038934,1.0,0.031287595092677395,1.0,-57.891309131399304,2.024232030738079e-05
1900,0.29986999196007746,259.99806540763115,1.0,0.033420515386014246,1.0,-57.91601686305182,1.99937458390732e-05
2000,0.2998685688687681,259.9980174656608,1.0,0.03388979648123128,1.0,-57.69149431661853,2.197398668499128e-05
2100,0.29986170930855527,259.9979955887315,1.0,0.03563999402540351,1.0,-57.64347683472404,2.28177647549639e-05
2200,0.29985990198444173,259.9978586420413,1.0,0.037800759464892725,1.0,-57.42111622787244,2.5323804608162267e-05
2300,0.2998554529760941,259.99770947605873,1.0,0.03955553994750295,1.0,-57.297147884016034,2.7232258455769542e-05
2400,0.2998526321062866,259.9975845591695,1.0,0.0407329932434263,1.0,-57.1651157515757,2.7457418467894205e-05
2500,0.29984858547807863,259.99755674129597,1.0,0.043043365572973995,1.0,-57.05066835095492,3.000213647764803e-05
2600,0.2998468244145296,259.997461205667,1.0,0.044909636758069374,1.0,-56.986897012116295,3.1180667078196815e-05
2700,0.2998451769945792,259.99740347286047,1.0,0.04583654128017365,1.0,-56.94460701696478,3.289404537029548e-05
2800,0.2998438975430116,259.9972639949888,1.0,0.04838344631090402,1.0,-56.836258552544265,3.526174626798147e-05
2900,0.29984077761452277,259.99712638587494,1.0,0.04862793977590458,1.0,-56.732840880992725,3.6120397307681336e-05
3000,0.29983618257823164,259.99710316113016,1.0,0.05083067834104078,1.0,-56.559337781407116,3.626503383148551e-05
3100,0.29983707169470863,259.9970048423259,1.0,0.05340147717773891,1.0,-56.395519681995445,3.9903798880551495e-05
3200,0.2998369924373986,259.9969081500416,1.0,0.055178452100495795,1.0,-56.35361189634198,4.180820104043624e-05
3300,0.2998314506296159,259.99672852019694,1.0,0.05666184196370775,1.0,-56.240941518295564,4.242960203827016e-05
3400,0.29983426942526015,259.9966050422569,1.0,0.05722050671284199,1.0,-56.02471776330208,4.39618207072724e-05
3500,0.299833028770861,259.9964983155068,1.0,0.05934241792907326,1.0,-55.844372288974405,4.528783185641046e-05
3600,0.29983164556075975,259.99643101939506,1.0,0.061171121925143894,1.0,-55.816187201387294,4.884369418591743e-05
3700,0.2998312495059038,259.9964092307111,1.0,0.06124982902196496,1.0,-55.58058071300898,5.063516450881273e-05
3800,0.29983322890549874,259.9962045260103,1.0,0.06350301992950398,1.0,-55.57471467044948,5.238646798518375e-05
3900,0.29983333961235004,259.9961913718492,1.0,0.06469282684323911,1.0,-55.390331876332176,5.334931605250239e-05
4000,0.29983552544117636,259.9960313449923,1.0,0.06635591720141609,1.0,-55.3283671975739,5.525742627561448e-05
4100,0.2998354715729456,259.99589363853806,1.0,0.06931981335796605,1.0,-55.179929153676355,5.784818911057193e-05
4200,0.29983622994943904,259.99579008140245,1.0,0.07090608886468688,1.0,-55.00682560034985,6.0962269156893994e-05
4300,0.29983823802222664,259.9958125004587,1.0,0.07167072136347442,1.0,-54.91519930754634,6.303291685356288e-05
4400,0.2998435112550969,259.9956108102611,1.0,0.07398637549004211,1.0,-54.74231805496908,6.36410311356835e-05
4500,0.2998441675921356,259.9956155953773,1.0,0.07464134295283653,1.0,-54.667561765556016,6.60870316108184e-05
4600,0.2998459041553489,259.9953751717565,1.0,0.07517055471805813,1.0,-54.5642544931522,6.960941395572384e-05
4700,0.2998492104984326,259.99539084535076,1.0,0.07862515770294169,1.0,-54.338599021591435,7.248756232261273e-05
4800,0.29985423417620827,259.99520119554893,1.0,0.07972310796012647,1.0,-54.251435442593525,7.381747207672933e-05
4900,0.2998567425153794,259.9951838029355,1.0,0.08130372396277875,1.0,-54.08948353643714,7.678520028975267e-05
5000,0.29986103825864746,259.9950369785633,1.0,0.08123547511210347,1.0,-53.99786823877344,7.916786800867597e-05
