miliseconds,c,cer,cAMP,h,inh,V,n
0,0.30000000814247335,260.00005556992875,1.0,0.0008854390751435567,1.0,-59.9500873107197,-1.0038667638035194e-06
100,0.2999908988371223,259.9999027596044,1.0,0.0017463224230854371,1.0,-59.97405480967181,1.3392705298927892e-06
200,0.2999828458718897,259.9998261992419,1.0,0.004266976326097177,1.0,-59.706414611695635,2.102368684062801e-06
300,0.2999759476696413,259.99968809513234,1.0,0.00629922477878417,1.0,-59.68225030765655,3.1372848892630073e-06
400,0.29996635463422316,259.9996787448172,1.0,0.006810473736308104,1.0,-59.50982643679269,3.2185968130138983e-06
500,0.2999581575770602,259.9994861209999,1.0,0.008267319539427956,1.0,-59.384139406681804,3.763333281017205e-06
600,0.2999533091600938,259.999348388274,1.0,0.010630776528787488,1.0,-59.38344885810904,6.880509836924785e-06
700,0.2999429871872746,259.9993318382756,1.0,0.013337682846798558,1.0,-59.30484259331138,8.133438624468355e-06
800,0.29993517065082664,259.99919829726963,1.0,0.013234161165755707,1.0,-59.09081271850656,7.329612033555071e-06
900,0.2999289885820461,259.9991131552882,1.0,0.015578998656564166,1.0,-59.059859966011715,9.04992031901107e-06
1000,0.2999247327562804,259.9990252548881,1.0,0.01705232029753605,1.0,-58.926456657664964,1.1194760450559443e-05
1100,0.2999170236359885,259.99892470549497,1.0,0.019461106879630898,1.0,-58.69878411337915,1.1878242704200342e-05
1200,0.29990727463956657,259.99886094550993,1.0,0.0210990424688672,1.0,-58.60079479536003,1.2090560464041359e-05
1300,0.2999033817860714,259.9987755420321,1.0,0.023164708732578792,1.0,-58.451844284266,1.3984006038920678e-05
1400,0.2998989799038815,259.9985704834934,1.0,0.02469715311153547,1.0,-58.414684141873806,1.4581795909428492e-05
1500,0.29989330199771685,259.9985418649685,1.0,0.02689611133107387,1.0,-58.32397932917365,1.6866020519903526e-05
1600,0.29988906601986415,259.9983758206915,1.0,0.028541019642548696,1.0,-58.10642963018136,1.8024365927637335e-05
1700,0.29988114562793305,259.99825052501126,1.0,0.02891072939241316,1.0,-57.996291215618015,1.769596077689654e-05
1800,0.29987685980804013,259.99823920675124,1.0,0.031223533174567997,1.0,-57.90741141449362,1.9604074715417017e-05
1900,0.29987257458508004,259.9980638410008,1.0,0.032820319739745564,1.0,-57.849179681169,2.090986381123393e-05
2000,0.2998656750406933,259.9980522441612,1.0,0.03555827800610811,1.0,-57.7794275517833,2.2239327349781e-05
2100,0.2998648466114059,259.99792480304774,1.0,0.035867453986953846,1.0,-57.54874643639829,2.3946088335583434e-05
2200,0.29985939207528683,259.9978094391366,1.0,0.03723821278174087,1.0,-57.53274092916829,2.48229379331884e-05
2300,0.2998535734811693,259.9977584669804,1.0,0.03936275216522709,1.0,-57.2981617319782,2.7348249733217988e-05
2400,0.2998542527528483,259.99768866232426,1.0,0.0401867482439875,1.0,-57.24522847318164,2.7502686742146767e-05
2500,0.2998472132294704,259.99749744407933,1.0,0.04316749883525314,1.0,-57.12648302966968,2.870289174858985e-05
2600,0.29984814957614053,259.99738993081564,1.0,0.044061577849155,1.0,-56.940329847506185,3.114550872434798e-05
2700,0.29984394637776013,259.99740227949405,1.0,0.04649333845165445,1.0,-56.83419738073209,3.293918296513247e-05
2800,0.2998430193586503,259.9972871478259,1.0,0.048844260533071435,1.0,-56.853445093181,3.371317866188513e-05
2900,0.29984169960409673,259.9971001629794,1.0,0.04935405766693102,1.0,-56.66838172873241,3.552815800187927e-05
3000,0.299837538463331,259.99702321985376,1.0,0.05058022314858323,1.0,-56.4938187798285,3.639209364134171e-05
3100,0.2998336423301245,259.9969721769959,1.0,0.05318161433989462,1.0,-56.34415013519044,3.8376800988178806e-05
3200,0.2998332343582459,259.99681215181073,1.0,0.05411375886920749,1.0,-56.263643655941834,3.970601034751585e-05
3300,0.29983143994899536,259.9966929534756,1.0,0.05707227855301473,1.0,-56.14516439187421,4.218607756592095e-05
3400,0.29983104756392076,259.99664066891654,1.0,0.058559203460353766,1.0,-56.036070064041816,4.372363771734261e-05
3500,0.29983039472628803,259.9965554021657,1.0,0.059507238984587776,1.0,-55.867051669496924,4.659965105846548e-05
3600,0.2998331690169315,259.9963909160208,1.0,0.061632655941829304,1.0,-55.71504297381215,4.8306552748143204e-05
3700,0.29983206657960204,259.9963664073697,1.0,0.06258407410058908,1.0,-55.632686028388044,5.040231103729552e-05
3800,0.2998348770259289,259.9961756952063,1.0,0.06336436801157339,1.0,-55.577278175646654,5.239631524143194e-05
