milliseconds,c,cer,cAMP,h,inh,V,n
0,0.3000005830054001,260.00001718724775,1.0,0.0008847525732222498,1.0,-60.07503354121322,-1.93839388100012e-07
100,0.2999889027531638,259.99989664045444,1.0,0.0018235870891219392,1.0,-59.85871498134014,4.089634286637923e-07
200,0.2999811467133683,259.9997323113834,1.0,0.0030057312951345862,1.0,-59.740108450573786,2.9144737509657375e-06
300,0.29997248223621387,259.99975638118616,1.0,0.005464919904258608,1.0,-59.69417376205089,1.9534618669202915e-06
400,0.29996854975805304,259.99955772777747,1.0,0.0059638260182345495,1.0,-59.56860821238941,3.297722024567281e-06
500,0.2999608162402853,259.99947417278594,1.0,0.00872006633536876,1.0,-59.44790575400596,4.565020990892844e-06
600,0.2999527050525034,259.9994805384962,1.0,0.011316429645375724,1.0,-59.295533857087726,5.220532703706533e-06
700,0.2999452582823151,259.9993393361749,1.0,0.01136184055065708,1.0,-59.240986023768336,5.894691976857327e-06
800,0.2999367980435304,259.9991681668678,1.0,0.014386485366029132,1.0,-59.01655160785747,7.264693034551756e-06
900,0.29992796285467654,259.99917996462347,1.0,0.015525280857984327,1.0,-58.90899744704134,9.78255869315287e-06
1000,0.2999217448467079,259.9990051072854,1.0,0.016936238809579063,1.0,-58.882337672823354,9.575228707982463e-06
1100,0.2999156694237653,259.9988417818776,1.0,0.02006114141967026,1.0,-58.769562550250555,1.1434522875153152e-05
1200,0.29990963897706396,259.9988380270412,1.0,0.021442631021502047,1.0,-58.615829887493796,1.1461961312881527e-05
1300,0.29990327652328325,259.99866218968504,1.0,0.02197145600295307,1.0,-58.524383466428624,1.2764572086731711e-05
1400,0.29989543470616636,259.9985734753504,1.0,0.024489890310998446,1.0,-58.50095686441143,1.540872318394468e-05
1500,0.2998917382760809,259.99844747909634,1.0,0.02558801500425126,1.0,-58.21774457922054,1.586764849981268e-05
1600,0.2998872582877988,259.9983783518189,1.0,0.028450233060600426,1.0,-58.19676895539646,1.7966547977714857e-05
1700,0.2998812885852064,259.9982481775084,1.0,0.03009690870326724,1.0,-58.06394574099089,1.820379857143442e-05
1800,0.299878424217723,259.99828861800813,1.0,0.03165430122134801,1.0,-58.0296347438986,2.0422780715368322e-05
1900,0.29987165581734176,259.99810043995956,1.0,0.03273095744440725,1.0,-57.88662412077268,2.016174106143129e-05
2000,0.2998675497503774,259.9980931257033,1.0,0.03354279732904549,1.0,-57.705652419557886,2.1498177442904394e-05
2100,0.29986416719822134,259.99788141026494,1.0,0.03697385476221788,1.0,-57.557751319639344,2.365013661569635e-05
2200,0.29985942377077135,259.9978748214902,1.0,0.03761412460051562,1.0,-57.559864891268745,2.4684622749721026e-05
2300,0.29985533670186015,259.99765457832063,1.0,0.040521936556626816,1.0,-57.42386458144188,2.740526132668453e-05
2400,0.2998532029725151,259.9976710809344,1.0,0.04218757494359918,1.0,-57.2651134080193,2.8521593740176945e-05
2500,0.2998517894480783,259.9974603430994,1.0,0.0419495783975307,1.0,-57.2097115617463,2.8667638431814002e-05
2600,0.2998465177101974,259.9974449427507,1.0,0.04391906150474149,1.0,-57.04053548970106,3.173575495413406e-05
2700,0.2998455736595756,259.99734724801357,1.0,0.04647890855783941,1.0,-56.9063040763869,3.1706007942591915e-05
2800,0.29983993553577304,259.99722868887915,1.0,0.047604847277411315,1.0,-56.722317465056015,3.419756584766133e-05
2900,0.2998377558676039,259.99706615468244,1.0,0.050020711136649645,1.0,-56.59761855886767,3.574253088776844e-05
3000,0.2998353044866343,259.997059268942,1.0,0.05055011893233249,1.0,-56.60000375996385,3.7034784086976544e-05
3100,0.2998360499724416,259.99699175661175,1.0,0.053457789730981205,1.0,-56.35186552483718,3.9371774545554504e-05
3200,0.2998372482554899,259.9968388685894,1.0,0.054082674779314624,1.0,-56.19262226390127,4.150467896466898e-05
3300,0.29983270945016155,259.9967911379289,1.0,0.05595513867788697,1.0,-56.119147419401905,4.35335683118716e-05
3400,0.299833024967413,259.99660025196556,1.0,0.05772237260179769,1.0,-55.989503846316104,4.4747401934473406e-05
3500,0.29983189703089647,259.99650227150363,1.0,0.058637380863731464,1.0,-55.89938296751153,4.585544211371121e-05
3600,0.2998326991266139,259.9964132209219,1.0,0.059624798055571276,1.0,-55.787232489609174,4.867754631002075e-05
3700,0.2998339683568913,259.9962858234795,1.0,0.06118710290248926,1.0,-55.63380380513417,4.8850447551576326e-05
3800,0.2998323811910904,259.99621179986696,1.0,0.06462452761757914,1.0,-55.45817458548402,5.142890663615313e-05
3900,0.29983199083461043,259.99613242627873,1.0,0.06489101866051597,1.0,-55.456338430197626,5.434205149834619e-05
4000,0.29983676730424963,259.99609858884895,1.0,0.06699468386405441,1.0,-55.250866237082676,5.636706857445727e-05
4100,0.29983735874323,259.9959389389049,1.0,0.06800471247731923,1.0,-55.06477870655955,5.700632431447115e-05
4200,0.29983686811440363,259.99590659658446,1.0,0.06960537772516874,1.0,-55.05019895193287,6.0504984902461706e-05
4300,0.2998416111528136,259.995698364219,1.0,0.07176222431614933,1.0,-54.90119276090795,6.1489124522524e-05
4400,0.2998406730534193,259.9956721522831,1.0,0.07410074938446705,1.0,-54.77435425948388,6.4527204839152e-05
4500,0.2998443786565335,259.995549023298,1.0,0.0734839673218277,1.0,-54.62125774763587,6.733384977771705e-05
4600,0.2998485469436151,259.99540178255245,1.0,0.075532106159456,1.0,-54.56868708004861,6.914914789392123e-05
4700,0.29984905334523315,259.99541260307404,1.0,0.0769358613907921,1.0,-54.39511615715145,7.159620952153873e-05
4800,0.2998570392136776,259.9952508708981,1.0,0.07960499849169371,1.0,-54.306702538053266,7.46840928023364e-05
4900,0.29985950125133776,259.9951710685693,1.0,0.08022303166203128,1.0,-54.107795605918795,7.725376895328038e-05
5000,0.2998637515416335,259.9949872435223,1.0,0.08295983374449718,1.0,-54.046362735072506,8.037132410833513e-05
