miliseconds,c,cer,cAMP,h,inh,V,n
0,0.30000156721416554,260.0000122723344,1.0,0.00018070232336350566,1.0,-60.08665406549518,5.597429055095713e-07
100,0.2999929389342549,259.99988913048884,1.0,0.0009182237238649135,1.0,-59.81873620569677,1.8721206545363065e-06
200,0.2999812408790897,259.99987207994707,1.0,0.004348071881335075,1.0,-59.72896834380844,9.629740963386836e-07
300,0.299975333499527,259.9996771350866,1.0,0.005596992604886937,1.0,-59.623748735344925,2.6947480128368155e-06
400,0.2999686758958308,259.9996279454078,1.0,0.006054690794343431,1.0,-59.578516790611886,3.472416126270238e-06
500,0.2999568385244831,259.99953190678826,1.0,0.009682740673215997,1.0,-59.40813686579593,5.14522727349587e-06
600,0.2999486575671318,259.99948138135096,1.0,0.0109032318370804,1.0,-59.252931452494444,5.399025539470008e-06
700,0.2999427932262341,259.99926579251564,1.0,0.012203749926091556,1.0,-59.18163995925774,7.669738422421097e-06
800,0.29993429002526,259.9991811495812,1.0,0.013301483653471086,1.0,-59.18817726632132,9.009310856900084e-06
900,0.29992941677729124,259.99916382382446,1.0,0.015832207889612454,1.0,-59.04408422959685,9.191054067702463e-06
1000,0.2999208273221372,259.99895167577114,1.0,0.01823285526412863,1.0,-58.93753102974185,9.476386446479865e-06
1100,0.2999149290319728,259.99885961209395,1.0,0.018829806245722672,1.0,-58.68501889641561,1.080925156925194e-05
1200,0.2999108797772806,259.9987523275317,1.0,0.021690587964786418,1.0,-58.59926822821972,1.3054227224398814e-05
1300,0.29990184646739443,259.9986519359655,1.0,0.0223467234827785,1.0,-58.47874448145191,1.3573035722328211e-05
1400,0.29989582719906704,259.9986553859415,1.0,0.024132477893741823,1.0,-58.39650394169302,1.3929110946162144e-05
1500,0.2998899048998021,259.9985654882892,1.0,0.02571472869574799,1.0,-58.21667099410871,1.5810492756628286e-05
1600,0.29988597089152574,259.9983971540642,1.0,0.028914666910809843,1.0,-58.1946381552571,1.634419296488345e-05
1700,0.29988295030085865,259.9982616753669,1.0,0.028821470140237494,1.0,-58.1515152453424,1.8912122957023443e-05
1800,0.2998788404268262,259.99827868651994,1.0,0.03053362555094205,1.0,-57.867586590713515,2.0985400619460213e-05
1900,0.29986968427089855,259.99815010905746,1.0,0.0331159500282348,1.0,-57.815362656003366,2.126843251377738e-05
2000,0.29986766762454076,259.998043466484,1.0,0.03441830649300355,1.0,-57.786590561158555,2.2518401011119907e-05
2100,0.2998628267035585,259.99797537935797,1.0,0.03562414397840858,1.0,-57.547439387403784,2.3918804874671425e-05
2200,0.2998577999599865,259.9977909900983,1.0,0.03781504517576832,1.0,-57.53087004054808,2.4076879444297782e-05
2300,0.29985775265124487,259.9977401251699,1.0,0.0388456282931539,1.0,-57.34923948533944,2.5543014347195662e-05
2400,0.29985140089561413,259.9975700513968,1.0,0.04089028492576752,1.0,-57.177476881126914,2.7654558765898676e-05
2500,0.2998512829024751,259.99746702070786,1.0,0.0432702227440677,1.0,-57.18581650802654,2.9993775528806903e-05
2600,0.29984784041740137,259.9974430990119,1.0,0.044505447558359605,1.0,-57.02978059073881,3.108448781940822e-05
2700,0.2998437413924003,259.99732171858074,1.0,0.0450874584149928,1.0,-56.923730116499314,3.3329922221484494e-05
