milliseconds,N,I,Q
0,19838299712.989677,49867868.79448049,11.988415763222042
100,17759053039.274773,46360826.71665341,694.3962764932013
200,14355157366.329914,40430418.34952726,628.8991537771468
300,12144321937.98976,36609302.24621689,398.3088741081513
400,10868774993.16969,34120252.6764965,256.94615479544757
500,10037275817.850035,32481910.35216268,187.10859685844576
600,9476743856.734524,31685813.962376814,129.5028745411167
700,9331312977.720352,31218472.944468644,80.67787851762733
800,9061067789.317064,30602708.309565034,52.62596768445731
900,9037189873.036192,30851882.833217397,22.20590813327553
1000,8687100407.715889,30881398.809977766,20.83372053271292
1100,8923296936.68338,30652273.749097653,4.544251276850387
1200,8540519260.286993,30450345.04238403,23.079644180299844
1300,8483358581.149918,30849521.497264758,15.055154472566318
1400,8681527295.318537,30400924.603141945,-4.761930535910864
1500,8464449609.668884,30737294.383499436,7.398455688644673
1600,8767456322.977028,30355078.760940526,13.516241818893466
1700,8738903039.075476,31055445.73629183,8.269332820650888
1800,8608001287.727722,31122136.60259692,2.824799402008831
1900,8494102569.916459,30546172.894289847,-11.242734882350234
2000,8863080830.876247,31183609.456928466,2.4653926835721784
2100,8497858324.480569,31035712.449298438,-3.449043562930749
2200,8821863865.308535,31258618.29145415,-2.9850579185722754
2300,8500428287.241488,31168064.51037393,4.625755783258917
2400,8523237779.439079,31494952.533941355,2.923803687031918
2500,8703428761.622421,31333998.33572383,-10.928795618921718
2600,8505282441.05839,31667375.530206963,-11.931269369492233
2700,8564895220.641263,31640555.178739384,10.613555873538019
2800,8801432512.990591,31351105.141828492,4.610145326852046
2900,8723504366.552622,31812260.277875252,-0.14753614721090202
3000,8749532966.640284,31233717.5329107,-13.737990713031161
3100,8650129594.068636,31715450.8150491,9.632095555855447
3200,8876831502.868338,31765329.011481743,-12.630717332291901
3300,8664664087.930853,31654932.80733705,-6.00832541906454
3400,8899083508.015682,31757558.25169444,11.965979172998487
3500,8818512119.327839,32086327.61440015,9.992552479372197
3600,8775477343.9018,32257254.58471734,-2.5772481953794606
3700,8759994182.875141,31757982.68870897,7.8049455837959485
3800,8928522390.052456,32401092.133599456,-9.407037662436366
3900,8863287537.480677,32099368.95323809,10.498432481489761
4000,8592840903.103256,31982906.346335895,11.244101980584285
4100,8828323148.04916,32004310.190034658,12.672744145350634
4200,8619614729.970043,32391953.890431855,-6.9405047460806495
4300,9025188292.225231,32331602.354669172,-1.1546003620721716
4400,8656078065.577265,32289800.605787095,10.86759849424766
4500,8918857245.100714,32741620.368073065,-7.340353067585869
4600,8928043335.437574,32801935.01660047,-3.3827894492132566
4700,8823982437.43861,32730707.012574024,10.307235890033562
4800,9076089563.452715,32581300.6818608,-12.054857536884164
4900,8752085912.796015,32692073.815643415,4.990225929163933
5000,8878857124.014503,32937131.13684064,13.77854633351527
