milliseconds,N,I,Q
0,19847021460.99383,50291322.24114537,12.019594111144295
100,17869746412.310425,46282631.52984272,708.8216678680554
200,14230357471.793846,39987406.91770065,622.1995392983781
300,12029659286.970837,36517879.131331995,416.4075127983548
400,11047650713.33003,34085367.831216015,273.0948978929638
500,10034374239.898264,32478517.235084176,187.83917507459205
600,9365596671.30183,31852537.825580727,116.21607697012523
700,9231751056.822067,31352933.605864055,74.73791049357152
800,9153869676.86787,30923514.39033433,53.511611593062526
900,9041241380.01016,30676269.999540273,28.04051420882263
1000,8763515755.481888,30550649.047234267,9.974840973137205
1100,8665027313.134205,30845296.38710781,5.988364356499337
1200,8805789977.038477,30462127.426511727,16.1181144744511
1300,8740965539.437815,30681845.53549711,9.990860673419581
1400,8629432553.377613,30627924.778525155,-6.503739232483538
1500,8638946564.938744,30537266.83953461,-5.635717812272162
1600,8446913647.870014,30348214.73614375,10.204327225075163
1700,8857607083.766535,31111282.268896155,-0.6316971219689993
1800,8477039851.343246,30927948.21252174,8.281226858828752
1900,8639395145.285477,30523532.56578219,-3.329979245365517
2000,8444901794.452216,30667342.2818541,-6.799503197324247
2100,8477576487.60518,31178675.946206268,-8.676738818282278
2200,8875562435.850264,31234736.33748257,-8.32875108111688
2300,8512798353.7823305,31246350.602090903,12.41559797390181
2400,8640127181.119602,31201630.66447615,-4.216832113215817
2500,8845734158.844355,31194813.7172238,7.043818482711261
2600,8806823629.197914,31516025.38591039,-12.538374530514886
2700,8628729771.405544,31260092.473391183,-12.424786722035083
2800,8505050098.91982,31278252.478708573,8.062319569345116
2900,8734880607.491247,31784364.466854457,-12.405602743347018
3000,8863779141.343136,31477676.48887269,8.087588859905278
3100,8929563728.875797,31424328.859500427,8.853847700494198
3200,8921412122.462738,31876673.16316622,8.30789044792783
3300,8778436529.576603,31679243.172856066,1.3556061806108466
3400,8918300332.636965,32157854.28385173,8.491126275260655
3500,8695867148.205414,32110249.42405016,-1.2076905675496978
3600,8783654141.530668,32290582.963804726,-0.4888384749915541
3700,8987023293.242636,31857277.25895171,-9.306406693397903
3800,8603109737.304312,32105306.727120195,-5.322006946506285
3900,8955892043.387714,32159356.532220483,-10.162506447843539
4000,9013418294.228558,32132224.02132359,-9.37276160901002
4100,9020786991.679853,32245868.338737465,-10.556757665875296
4200,8691279087.280226,32075443.25043332,-12.016550938672664
4300,8665158819.513409,32456146.921838224,13.932879176622224
4400,8887777744.544462,32128048.586755026,-5.197322752358433
4500,8798998844.221148,32793197.806599606,2.466071703861969
4600,8879168345.464504,32293745.61833976,-11.416661453949263
4700,8865859239.475904,32641228.291591376,-10.002706008067173
4800,8873083409.72303,32433817.39387056,-7.048388113728677
4900,8962877568.216936,33041241.016476214,7.551277520578328
5000,8788652577.676645,32742784.802245766,13.926531142087466
