milliseconds,N,I,Q
0,20059187504.175716,50141747.236131765,12.337575944033356
100,17671139543.505707,46658930.72408818,693.3004518084349
200,14418878790.253914,40463616.586416915,611.7833260627971
300,12007584838.23345,36612716.10732785,404.62969007390956
400,10781078666.713037,33733818.47377074,255.60446207494596
500,9911989136.06464,32348100.69730456,164.3231791746864
600,9576374929.694946,32023367.028182358,102.65379580150677
700,9311844706.345013,31313473.39006918,73.56344374022049
800,8912837058.051983,31173067.383540638,37.35472278718122
900,8895025854.834286,30498598.59453876,21.845251039450297
1000,8806843582.60352,30333291.586566083,27.445037208472456
1100,8769585613.03375,30909633.5557773,10.555370444175844
1200,8765455626.26015,30750207.967303265,9.51139956480776
1300,8807609138.762302,30764868.93715482,19.176959131477275
1400,8470993845.639683,30792636.702590574,5.148869497574877
1500,8583424364.818586,30398657.79090228,-2.8963882306527777
1600,8740765103.943413,30380202.4228165,-0.8222866776812685
1700,8447351278.42866,30795991.110192094,2.135443223156952
1800,8837844809.047714,30570038.840990774,0.6264266852156812
1900,8724787923.679537,30941662.69998206,14.216699943797135
2000,8472155388.751536,30688622.37059713,-9.743053969915971
2100,8877303949.407005,31301876.68165842,6.628786262907643
2200,8647591892.818108,30717301.53483787,11.805517458964289
2300,8598927888.08243,31203819.23234303,3.9778823380159523
2400,8488230378.062258,31043295.256398942,2.6848168890830624
2500,8565101789.725549,31496550.505964886,13.770091223044597
2600,8646362886.77019,31558816.622729328,-10.779063129972858
2700,8719003030.492,31265861.48915453,4.242458267295109
2800,8654285693.371174,31127770.678152345,0.036881124993130766
2900,8820302548.281666,31520290.01305229,-5.081176191629595
3000,8792123864.394964,31722514.542423572,-11.837035121280456
3100,8820536726.927599,31286717.652412053,9.98606315385794
3200,8768831066.580618,31583698.206997935,-13.557672799379452
3300,8614299070.768179,31653813.290096145,-13.133704709114626
3400,8744222918.250254,32178482.950240925,8.534023203903033
3500,8905255454.334188,31594329.06176235,4.561645728059209
3600,8605596520.022552,31744927.53343139,-12.172963599634611
3700,8795877267.7949,32270891.937577583,3.45497784631202
3800,8812368016.337608,32344368.379767224,-4.078276764496738
3900,8756346685.148384,32176804.83027855,0.8678707273418541
4000,8632998823.104767,32538171.551213272,7.794172072254108
4100,8879225065.497921,31957040.30286551,-2.7536902296580466
4200,8936772544.254839,32037923.568661895,3.9254138486801877
4300,9001487372.656609,32156799.20630306,13.718076849298383
4400,8992918501.587667,32440704.829019286,4.745619577404813
4500,8814794713.10426,32268988.786124397,1.9030713014418132
4600,8932440131.038055,32587351.2704131,-9.915627358419997
4700,8713586743.303385,32642085.835642006,-3.930144127255927
4800,9039116507.081392,32553063.58774039,12.173616967853095
4900,9013854692.007885,32853393.35779885,-0.5147585049959611
5000,8736936602.654482,32813379.30163201,4.955226048949845
