milliseconds,N,I,Q
0,20185904630.860252,50261240.86702988,-12.905688938456052
100,17875762985.86407,46479666.473263696,718.322869321547
200,14515480817.571096,40459355.15688335,612.1258172632398
300,12204321395.068115,36607853.72299217,406.9769248168148
400,10820263822.033777,34049441.7721023,277.9031426275806
500,10013645979.460785,32428997.081457842,184.68215548101682
600,9522334078.110178,32055376.82936701,109.96572795111119
700,9392087314.374678,31071316.40135632,77.67925607416707
800,8820034231.448881,31186146.457202695,57.44412576149618
900,8935176059.100496,30370285.58528035,35.63390875514701
1000,8768973185.25854,30662279.88619018,8.363494246601359
1100,8904314178.471352,30675704.973573554,2.137979319609345
1200,8532229465.001114,30793597.19427555,3.985429447667249
1300,8519136539.950536,30529531.754025772,13.293431846792195
1400,8571629845.740273,30463059.59604274,-3.853318539302423
1500,8537076053.767396,30910886.436576147,11.502457519031871
1600,8561161095.63691,30462101.129323054,15.876663488423015
1700,8572014433.570816,31042128.154882826,12.719164513279454
1800,8549522849.138872,30983680.57758739,8.578269321935478
1900,8445410987.474401,30568074.649284612,-2.411507721325885
2000,8575568707.596443,31010271.937134065,-8.161965401823778
2100,8703339611.64089,30809073.257513344,-10.666016273398235
2200,8651516316.330387,31113185.790987767,-9.40630812435444
2300,8709120274.569872,31436647.400237035,1.8609904872696181
2400,8612125213.747984,31200077.90210186,-7.420407758112824
2500,8573652914.403788,31285556.8412629,0.32393774227807715
2600,8765477419.024624,31452543.89349585,-4.322120916304935
2700,8822047605.580368,31337130.068331923,4.99573351330429
2800,8785752555.170982,31551564.804729696,-6.914992287636627
2900,8908305966.913805,31828847.202935707,-13.278225214590124
3000,8747584642.471153,31879979.018352713,3.2086245977933503
3100,8943746707.404953,31624595.62448982,14.06670352160066
3200,8886620329.99286,31573879.62596571,6.725485764584955
3300,8629623883.026234,31789170.04187099,1.0508491067166847
3400,8571304874.445315,31617209.143792707,2.1278291827165434
3500,8816893683.425323,31896033.75170232,6.197966451724906
3600,8955687013.456215,31762660.932277687,-5.782081117321496
3700,8654806400.342733,32040069.086144157,-10.953953937595921
3800,8982318846.038,31988484.11806956,0.7064562417529163
3900,8774767556.036093,31865087.313314658,-1.4910594165521238
4000,8659813827.115818,31910917.660314135,3.4244486899988535
4100,8660791370.045395,32495030.456323117,1.0603961677802862
4200,8982629273.00977,32271252.712738734,-11.759025658296576
4300,8666674539.545086,32058104.251612812,9.821360504973349
4400,8768426060.941547,32801349.119673837,-6.5681767091281
4500,8702832053.768812,32407086.980450373,10.650133758657844
4600,8940049007.526527,32552974.72913373,-5.928955902795007
4700,8779748155.081377,32493554.164054003,2.3748950346056406
4800,8747564995.211239,32771022.00960298,-12.10936477788679
4900,8980604312.47107,33046615.717941556,13.339942204123101
5000,8909624856.581352,32684182.517306317,6.439807518128803
