milliseconds,N,I,Q
0,19851322017.534924,49991780.27965385,-14.027918035804332
100,17770497249.947685,46614617.68665093,717.5539870249688
200,14162800649.010418,39902134.072483115,610.0698421145307
300,12283350272.17227,36372164.98582734,396.10366352572777
400,10697245530.537132,33939672.740098916,272.9524006791159
500,9901391286.51531,32987444.385077998,191.24966380984034
600,9361425734.799171,31922719.38215553,120.61781681393087
700,9130737540.441622,30942069.02049699,63.268263066226
800,8968622599.6796,31054293.990133774,62.622453871169824
900,8780067470.690832,30467584.502264187,22.420023468685194
1000,8906354344.314508,30682334.839705165,20.77160257778062
1100,8572495746.649513,30816451.640406094,24.260887045908714
1200,8578328314.714711,30686344.962767802,-0.773498324152202
1300,8590916455.213226,30868605.162245583,18.472361422209374
1400,8593486097.974293,30502494.492170148,-7.24776776623526
1500,8440627233.011247,30830233.70754537,2.6789701144972042
1600,8623003140.480608,30702244.182313677,-7.40256579322228
1700,8764025480.02574,30670421.641310446,9.337041757872434
1800,8670329300.376348,30550497.65200856,-2.2467992759664828
1900,8494314579.793827,30607770.174982786,-4.120389594173332
2000,8457304808.030814,30963036.265973564,1.2260633909020207
2100,8767278553.620096,31167790.74251994,-12.150490395931122
2200,8815909355.582916,30792656.224666882,1.2279056750730097
2300,8691018563.960978,31019401.004336353,-12.442571762108113
2400,8633315148.855843,31004449.775736284,4.53611179648023
2500,8875384772.212559,31585277.863440607,8.108699785947495
2600,8605782014.06623,31085668.0601299,11.279297122862152
2700,8763108018.386503,31350014.270840365,2.6061109266477356
2800,8591643771.244305,31670411.023977924,12.535652052613692
2900,8687166464.747135,31301879.093723875,-11.580895519326944
3000,8876650781.393406,31780853.461905107,-4.895940871470924
3100,8914993324.929466,31576154.880696036,-13.589908782353438
3200,8924569933.830648,31538681.448832206,-7.626531872836398
3300,8731478890.248072,32018959.053332895,-4.635085127738948
3400,8859955573.887543,31882409.980687343,-8.199716883328241
3500,8706600738.635529,31871487.054831434,-5.9405374028637254
3600,8681355887.873257,32279417.6591672,-4.65837135992752
3700,8996208587.000849,31742071.93854585,12.27302010605483
3800,8924431466.480026,32268379.83671952,8.080563710897575
3900,8814514130.565105,31834168.607069753,-6.752502297892965
4000,8832403846.811642,32425109.931404732,-9.732216462737014
4100,8769443424.923008,32459982.85956085,8.680050462179834
4200,8942158825.362932,32547488.76656839,-4.059959688903957
4300,8786739885.98759,32608857.36003525,-4.85444052493742
4400,9021486843.540937,32353156.348547805,7.5801344603750165
4500,8640252965.79374,32567165.810983837,-5.388002387140884
4600,8644936354.08078,32534069.775820237,8.073638136766954
4700,8949328073.998022,32548708.71411341,-3.103607726494408
4800,8937987692.929153,32974016.451653637,-10.454826752724392
4900,8817805978.244085,32679365.18429247,9.964274987578989
5000,8767568497.032642,33190343.07421039,-14.280638745834727
