milliseconds,Br,Ce,HBrO2
0,1e-07,0.05,5e-11
100,0.0047195416264740175,0.04524187328289745,4.9803565973065147e-11
200,0.008914618253614892,0.04093651593138451,5.026931786714937e-11
300,0.012636376925744479,0.03704088654374393,5.037223150735098e-11
400,0.015931055265777868,0.033515982751293145,5.00190862810148e-11
500,0.01884046736854829,0.030326517609699167,5.038877128773297e-11
600,0.021402420132536553,0.027440570187031534,5.0326002884832266e-11
700,0.023651096773569143,0.024829263638411442,5.0243248210937745e-11
800,0.025617418486252246,0.022466461635900284,5.0095918276778e-11
900,0.02732935362403977,0.02032850885629545,5.0501558619341255e-11
1000,0.028812183927087932,0.018394007517381405,4.947097517072982e-11
1100,0.030088766018877246,0.016643597909444297,5.0167214210670624e-11
1200,0.031179760182651582,0.01505976632601489,4.940157551053623e-11
1300,0.03210386326146559,0.013626649565484084,4.9670738391978346e-11
1400,0.03287796662131965,0.012329902348982505,4.979660313531044e-11
1500,0.033517321660822406,0.011156558402161548,5.0437927222770526e-11
1600,0.03403573081573795,0.010094870054155049,5.05571312344854e-11
1700,0.03444566345293545,0.00913421097606219,5.016349114141756e-11
1800,0.03475837978418075,0.008264972152971157,5.0218795316561224e-11
1900,0.03498406051049324,0.0074784530388170055,5.0283175418764525e-11
2000,0.03513190186123624,0.006766781758319704,5.022546013217513e-11
2100,0.03521020995891738,0.006122835876050141,5.0224911067525054e-11
2200,0.03522648803336746,0.0055401691665857775,5.0291794914242926e-11
2300,0.03518750851505522,0.005012951077539374,5.0221484726110366e-11
2400,0.03509938631036644,0.004535905197896611,5.0218605057328616e-11
2500,0.03496764220070557,0.004104256014545515,5.029673972590253e-11
2600,0.03479725621143416,0.0037136840903910324,5.0222790717668966e-11
2700,0.0345927218555745,0.0033602805061181745,5.0230227253748315e-11
2800,0.03435809288699793,0.003040507587903464,5.027370045462448e-11
2900,0.034097023168110134,0.0027511654174921787,5.0239554461646935e-11
3000,0.033812806801110644,0.002489358118240177,5.0250550674482634e-11
3100,0.033508412462779996,0.0022524650069086277,5.025069811880502e-11
3200,0.033186513242736304,0.002038115521618309,5.0250930706934215e-11
3300,0.032849517925788246,0.0018441629331620176,5.0249840546953514e-11
3400,0.03249959257363367,0.0016686662059643433,5.025143092030918e-11
3500,0.032138683205233776,0.0015098709337334085,5.024984785601681e-11
3600,0.031768539995740835,0.0013661889964630665,5.0248196548437684e-11
3700,0.03139073720919111,0.0012361818005628205,5.0251242757891816e-11
3800,0.031006689174805674,0.0011185468422307936,5.025242978869292e-11
3900,0.0306176643515199,0.001012105876266458,5.024814294535151e-11
4000,0.03022479876594949,0.0009157936104222145,5.0248211335623295e-11
4100,0.029829109158370837,0.0008286466439363294,5.025509578212883e-11
4200,0.029431504330256607,0.0007497939154891741,5.026340702477078e-11
4300,0.029032798746267845,0.0006784452590628732,5.0248655825070313e-11
4400,0.028633718919754168,0.0006138860190679984,5.0243716716978233e-11
4500,0.028234912411645136,0.0005554694711416083,5.027094206786191e-11
4600,0.027836953912025227,0.0005026116923295065,5.029721408179764e-11
4700,0.02744035400272135,0.0004547841802921114,5.023099621932176e-11
4800,0.027045565740541205,0.00041150830299735083,5.0150198882117465e-11
4900,0.026652990026199034,0.0003723507687223442,5.0264461371335096e-11
5000,0.026262980499112593,0.0003369194925225193,5.0470451617819497e-11
