milliseconds,cyclin_D_Cdk4_6,transcription_factor_E2F_active,cyclin_E_Cdk2,cyclin_A_Cdk2,cyclin_B_Cdk1,Cdc20_active,E2F_total,Cdc20_total
0,0.7203405914748322,2.449542895041315,2.0231071489018952,2.600223895534864,0.970590764310481,0.5073470824495215,3.0,5.0
100,0.7148592120358016,2.5631578610718093,1.9669875521853262,2.631363508723855,1.065786197305306,0.49139372335615905,3.0,5.0
200,0.71081867936162,2.5229514994093543,1.9174690516517559,2.6699745780818382,1.0542869072163468,0.5096860231649889,3.0,5.0
300,0.7042221303132443,2.6008942537057247,1.8712458580688223,2.703344558328604,1.1289903560267824,0.505356692910794,3.0,5.0
400,0.6981319294191937,2.6207806622200662,1.8375686173316848,2.7281570936808146,1.1874169403264465,0.5312215636231652,3.0,5.0
500,0.6935569850528953,2.616295425802949,1.8560664322083313,2.7582821758701628,1.2013102908808386,0.5213475386126001,3.0,5.0
600,0.6875293167043818,2.6213118797080637,1.8162438436594177,2.785316714459286,1.256743669706704,0.5359180015477131,3.0,5.0
700,0.678244848875106,2.545624731036027,1.7509570159490686,2.8245773354664254,1.3054303422060543,0.5584264821390792,3.0,5.0
800,0.6775208849297634,2.5363357982976984,1.7205366580850086,2.8544015820909348,1.336550071784483,0.5761823987814623,3.0,5.0
900,0.6676752308981548,2.556612927016806,1.66397432139262,2.898623311872744,1.3657644135756069,0.5772571183824193,3.0,5.0
1000,0.6688068294332209,2.55977129721622,1.623598546060414,2.9249452118441983,1.4008511649086177,0.589872146251976,3.0,5.0
1100,0.6608302959469116,2.478672096391638,1.5917964770716249,2.95942664996969,1.4979642357929803,0.6005660125011422,3.0,5.0
1200,0.6540578496000659,2.4934336299596853,1.5035114590386736,2.9734959233986173,1.523415202101791,0.6075583729676752,3.0,5.0
1300,0.6506455395771787,2.3991152925763313,1.4783094396646572,3.008736235153267,1.5830385202458859,0.6267488433293069,3.0,5.0
1400,0.6406882349639906,2.390247015523084,1.416941164731386,3.030246240598289,1.6039060509135763,0.6401273140540776,3.0,5.0
1500,0.6424529659391853,2.3062785481695984,1.4053002336858686,3.0600523929881556,1.6512497447049586,0.6464410200602951,3.0,5.0
1600,0.6371842426724272,2.269645656201453,1.3056779568701795,3.0781161219819184,1.7285887923193752,0.6703487070112937,3.0,5.0
