miliseconds,cyclin_D_Cdk4_6,transcription_factor_E2F_active,cyclin_E_Cdk2,cyclin_A_Cdk2,cyclin_B_Cdk1,Cdc20_active,E2F_total,Cdc20_total
0,0.7236193087742703,2.456155936994374,1.984983357791168,2.609389615646833,1.019218000208582,0.49330344130141196,3.0,5.0
100,0.7131242799436491,2.5701402414403542,1.9843684113336526,2.641227750648609,1.0323121003178282,0.4986057234455721,3.0,5.0
200,0.7103921160889134,2.5386149997376313,1.946982132366553,2.671127303098326,1.111808371722765,0.49898749094565,3.0,5.0
300,0.7056422924166942,2.5789854033819495,1.8935509138317572,2.6874604157873816,1.0947732606149878,0.5299080024589782,3.0,5.0
400,0.7007690823549689,2.6120927632033917,1.8530999036131974,2.7271915549149712,1.1531201813609144,0.5305849847248288,3.0,5.0
500,0.6904319205312641,2.5424568275848936,1.829244728048818,2.761217094714,1.1960312669115496,0.5347156891551775,3.0,5.0
600,0.6843803504210996,2.5542154834520963,1.7708480542904226,2.799119821069054,1.2385791149955276,0.5517007256320126,3.0,5.0
700,0.6791769401766374,2.5391906129302226,1.7446973522779754,2.8219562800611477,1.3023319413380898,0.5542891955195676,3.0,5.0
800,0.679451967301832,2.616372197870438,1.6803324184967778,2.8637478636374567,1.3280474438455085,0.5544756854504669,3.0,5.0
900,0.673927782354047,2.510896557284201,1.6885189223980008,2.881985413139376,1.4017951379944757,0.5794240936696838,3.0,5.0
1000,0.6691647000078272,2.516582339123977,1.6342378908856081,2.9155400445068507,1.4306817228396884,0.5775811165601225,3.0,5.0
1100,0.660468557827938,2.5051435274592215,1.5858593996439398,2.945228421535362,1.456873964809259,0.5969831896492677,3.0,5.0
1200,0.6584089949112785,2.4661018803520514,1.5494313086825844,2.978511973557173,1.504763851982962,0.6217718893903467,3.0,5.0
1300,0.6530388830804683,2.4464168688189467,1.4972071812266585,3.012237543977185,1.5955699827442633,0.6133740562198025,3.0,5.0
1400,0.6455447351888106,2.4075426278442933,1.4574550621443563,3.0441919868991696,1.6177472241240751,0.6315984031138695,3.0,5.0
1500,0.6423219855488647,2.3291000703254032,1.404776191988784,3.056759521528104,1.6312149985325803,0.6629776148260266,3.0,5.0
1600,0.6305280376900436,2.275691649494636,1.3019538314556407,3.092650336356353,1.7140539824252443,0.6772453626406358,3.0,5.0
1700,0.6252332181957663,2.1757856662538395,1.3027870206578032,3.101893611261024,1.7787610832029275,0.6947117837964886,3.0,5.0
1800,0.6221782663743771,2.146821649745481,1.2469165838686276,3.1348252325071724,1.7955914351653777,0.6987161361469123,3.0,5.0
1900,0.6198686585179426,2.0969692441753134,1.1490750040223057,3.161032043862836,1.8308628642635407,0.7248542922578909,3.0,5.0
2000,0.6125787861139703,2.010923859058265,1.1053383982298717,3.181138229671562,1.8743516984359008,0.7425584491773972,3.0,5.0
2100,0.6098476136933806,1.9168507989565498,1.0815678873848782,3.1824536336480724,1.914303196343827,0.7481052347618838,3.0,5.0
2200,0.6036652730390287,1.8532144296138395,0.9598472309287026,3.209524851520985,1.9730079125287683,0.7776405696951233,3.0,5.0
2300,0.5970435144833663,1.7393509153408515,0.9148643824838179,3.213688694571131,2.0532566854181806,0.7924624907832342,3.0,5.0
2400,0.5938749771374364,1.6345800109489421,0.8702276242147177,3.2197359815231437,2.0681619178336255,0.818598545955508,3.0,5.0
2500,0.5863907971590097,1.5456243044229527,0.7823118523808404,3.2392168233281744,2.106353686296175,0.8176563921503276,3.0,5.0
2600,0.58113685094095,1.4437408175390725,0.7414718217208166,3.2450859944548633,2.14587533634562,0.8341376724030669,3.0,5.0
2700,0.5760803065195269,1.2250674831897745,0.6737992147963721,3.2393192308791754,2.2305794117795408,0.869802521016553,3.0,5.0
2800,0.5734535266149878,1.0897477330406562,0.5524019293049834,3.235335500324333,2.2416587970016875,0.8903400051307299,3.0,5.0
2900,0.5667274685162065,1.0108170797865998,0.5111576981960309,3.2386995163064873,2.2650452577347746,0.9092939149209841,3.0,5.0
3000,0.5650544890587433,0.81885535752783,0.45562599310628216,3.239565153368211,2.3094581451239495,0.9306989150296409,3.0,5.0
3100,0.5552850142215447,0.7628091387863016,0.37134318239314734,3.2216088198209567,2.3880010997015786,0.9558954277092544,3.0,5.0
