milliseconds,Susceptible,Exposed,Infected,Recovered
0,11080778.0,193.0,27.0,2.0
100,11080770.28376109,197.9795274612028,29.6008838128892,2.1358276367915487
200,11080762.322006967,203.13363137693077,32.26008400466031,2.284277654438448
300,11080754.107118573,208.4675120996082,34.979739228783295,2.4456300973983733
400,11080745.630915757,213.98675260598847,37.762146182373826,2.62018545466504
500,11080736.885000167,219.69708855233958,40.60965710428675,2.80825417502887
600,11080727.860814126,225.60436638036262,43.524665883668064,3.0101536110914116
700,11080718.549533442,231.71461785971564,46.50963601895841,3.2262126803818
800,11080708.942038111,238.0340801579233,49.56710876003768,3.456772973332406
900,11080699.028875344,244.56922139929446,52.69971297306393,3.702190285282531
1000,11080688.80038881,251.32665093815672,55.91013117393091,3.962829080810216
1100,11080678.246548465,258.3132374139068,59.201144385186474,4.239069737843862
1200,11080667.35702021,265.53606035640024,62.57561388824354,4.531305545008514
1300,11080656.12115564,273.0024172685068,66.03648396684581,4.839943124228935
1400,11080644.527959744,280.71984598991924,69.58679048177397,5.165403784848554
1500,11080632.566041885,288.6961586659369,73.22967386042662,5.5081255887871805
1600,11080620.223653685,296.9394153507684,76.96836928217802,5.868561680692259
1700,11080607.488684567,305.4579269305177,80.80620811011619,6.247180392667437
1800,11080594.348643782,314.2602680923725,84.7466218621786,6.644466262585156
1900,11080580.790669113,323.3552710859718,88.79314024113879,7.0609195581340405
2000,11080566.80137,332.75213324726906,92.94943444819143,7.497062304286541
2100,11080552.36701812,342.4602864233106,97.21926446552236,7.953430991098847
2200,11080537.473585017,352.4893711983427,101.60646865055631,8.430575134323048
2300,11080522.10660954,362.84932772267234,106.11500038640582,8.92906235259485
2400,11080506.250853883,373.55063249120184,110.74902153874768,9.449492090079733
2500,11080489.890904272,384.60388506159563,115.5127389043997,9.992471764512617
2600,11080473.010679789,396.0201463103858,120.41053747497232,10.558636429448356
2700,11080455.59362251,407.81080734915463,125.44692905052317,11.14864109419047
2800,11080437.622681411,419.9876007122177,130.62655646218963,11.763161418260477
2900,11080419.0801982,432.5626792137302,135.9542241864871,12.402898402204075
3000,11080399.94804815,445.5485185475263,141.43486076744102,13.06857253802547
3100,11080380.207326565,458.958133899621,147.0736028178037,13.760936721069962
3200,11080359.83877008,472.80478901695164,152.8756819385882,14.480758967413793
3300,11080338.822520245,487.10215945643654,158.84648819672657,15.228832105793282
3400,11080317.137882143,501.86449913576894,164.991635109432,16.005983615912804
3500,11080294.763443977,517.1065578112676,171.31692746677373,16.81307074917253
3600,11080271.67752431,532.8432724334467,177.82824098124786,17.6509622799677
3700,11080247.85769218,549.0900983149551,184.53165142262196,18.520558085749016
3800,11080223.280208068,565.8633950012812,191.43358492792794,19.42281200627437
3900,11080197.92115688,583.1796442644516,198.54051332435742,20.35868553417407
4000,11080171.755838744,601.0558705879068,205.85911795611608,21.3291727150984
4100,11080144.75868101,619.5097019178354,213.39631331741748,22.335303756965
4200,11080116.90296427,638.5595588453134,221.1593206068202,23.378156281669977
4300,11080088.16156016,658.224145181428,229.15546962355518,24.458825039360672
4400,11080058.506334163,678.5228602921636,237.3923591308183,25.57844641731391
4500,11080027.908200946,699.4757609322917,245.8778419210154,26.73819620424848
4600,11079996.337134577,721.1035541579496,254.6200221188297,27.93928914841505
4700,11079963.762230294,743.427554625663,263.627238712062,29.182976371074528
4800,11079930.151577558,766.4697722985695,272.90809951263634,30.4705506329627
4900,11079895.472203873,790.2529512539088,282.4714961924127,31.803348684500264
5000,11079859.690149201,814.8005182390103,292.32658445861085,33.18274810559671
