milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,5e-08,1.3e-07,0.0,2.2e-07,0.0,1.27e-07,0.0,0.0,9e-08,0.0,0.0
100,4.994613928660385e-08,1.2986808506387584e-07,5.386071339614663e-11,2.1074707595519504e-07,7.426866734062962e-11,1.2696909491632532e-07,3.0123444865339195e-12,2.706229720703814e-11,8.085043730364065e-08,7.70386164841128e-13,9.148802950604173e-09
200,4.993863221514153e-08,1.2973705174912136e-07,6.136778485848187e-11,2.027613227491316e-07,1.815493085037885e-10,1.2692741511744954e-07,1.3414215549912333e-11,5.2499568656841185e-11,7.300783825860919e-08,6.6143088207368214e-12,1.6985548210887396e-08
300,4.993585003483085e-08,1.29606458325973e-07,6.414996516916585e-11,1.9584459749128934e-07,2.800094410531947e-10,1.2687411840269416e-07,2.851299211485925e-11,7.648847334621243e-11,6.62294231475297e-08,2.0868736648034093e-11,2.3749720646758215e-08
400,4.993363403063995e-08,1.294762231261421e-07,6.636596936005889e-11,1.8981431939220442e-07,3.6695653477017176e-10,1.268103759984581e-07,4.6179186736375366e-11,9.917986499646364e-11,6.032686431035519e-08,4.42755690269029e-11,2.9628910421152776e-08
500,4.993172981373117e-08,1.2934631754835818e-07,6.827018626883891e-11,1.8452553480566311e-07,4.4358419618892986e-10,1.2673748131488617e-07,6.549333362250878e-11,1.2069998122975775e-10,5.5155554074344e-08,7.633501916072911e-11,3.476817905285211e-08
600,4.992997264992494e-08,1.292167215168274e-07,7.00273500750633e-11,1.7986198535332992e-07,5.1100723974564e-10,1.2665660862823918e-07,8.601048019977154e-11,1.4115677545637313e-10,5.060042798772304e-08,1.1623363406336259e-10,3.928341652100868e-08
700,4.9928347176562585e-08,1.2908741528718898e-07,7.165282343741351e-11,1.7572998726745264e-07,5.703443677876246e-10,1.2656877881022205e-07,1.0748894661042224e-10,1.6064336975862533e-10,4.6568771691001665e-08,1.6309874571505866e-10,4.3268217711003447e-08
800,4.99268475567678e-08,1.2895838126814296e-07,7.315244323220134e-11,1.7205349297599628e-07,6.225843761333466e-10,1.2647488669747378e-07,1.2978859422649053e-10,1.7924041013388005e-10,4.298541473596766e-08,2.1609342916883023e-10,4.679858111261092e-08
900,4.992545457302237e-08,1.288296047465733e-07,7.454542697762631e-11,1.687702554791661e-07,6.685785097665485e-10,1.2637572002033687e-07,1.5281527763590378e-10,1.9701803840904686e-10,3.978898703211697e-08,2.7445615653983113e-10,4.993664440280436e-08
1000,4.9924167286783434e-08,1.287010722692884e-07,7.583271321656107e-11,1.6582915236277332e-07,7.090900038910775e-10,1.2627196740222886e-07,1.7650614971386792e-10,2.140378159328651e-10,3.692909705209902e-08,3.3749907536510774e-10,5.273347589929841e-08
1100,4.992298476045395e-08,1.2857277162504937e-07,7.701523954604399e-11,1.6318730866761077e-07,7.447908037719286e-10,1.2616423497245223e-07,2.0080806626428522e-10,2.3035450589201676e-10,3.4363481130267975e-08,4.0461481170578455e-10,5.523191908992651e-08
1200,4.9921891272820316e-08,1.2844469235603532e-07,7.810872717967653e-11,1.6080757144114738e-07,7.762570563303712e-10,1.2605305353757862e-07,2.2564892889819603e-10,2.4601694523044454e-10,3.205558797710681e-08,4.752937955940058e-10,5.746906933063622e-08
1300,4.9920871462423836e-08,1.283168256615326e-07,7.912853757615559e-11,1.5865821919677046e-07,8.03994515794609e-10,1.2593889384571243e-07,2.5095904192144367e-10,2.6106887482643653e-10,2.9974274259569576e-08,5.490933817341132e-10,5.9476552828694624e-08
1400,4.9919924474184464e-08,1.281891634773855e-07,8.007552581552516e-11,1.5671234878632387e-07,8.284607571856128e-10,1.258221678328171e-07,2.7669051993014433e-10,2.7554954853497355e-10,2.8093115200692015e-08,6.256110970132369e-10,6.12812053074564e-08
1500,4.9919056823855184e-08,1.2806169799666263e-07,8.094317614480728e-11,1.549470920351803e-07,8.500646179319252e-10,1.2570323281186503e-07,3.0281617961549226e-10,2.894943085047595e-10,2.6389598583207864e-08,7.044795823230778e-10,6.290588238149893e-08
1600,4.9918269832816797e-08,1.2793442191324838e-07,8.173016718319301e-11,1.5334287676179017e-07,8.691596263904947e-10,1.2558239925859395e-07,3.2931544593786966e-10,3.0293506867240433e-10,2.4844426806888573e-08,7.85374491519805e-10,6.43701695831761e-08
1700,4.991754845127602e-08,1.278073289810799e-07,8.245154872397365e-11,1.518825503522163e-07,8.860400593264541e-10,1.2545994121213017e-07,3.561518288425525e-10,3.1590085087926045e-10,2.344071406752274e-08,8.680292762759226e-10,6.569120481533936e-08
1800,4.9916872480971633e-08,1.276804143860085e-07,8.312751902835986e-11,1.5055097449326497e-07,9.009580754031654e-10,1.2533610339559555e-07,3.832638898979435e-10,3.2841810889502603e-10,2.21636268871977e-08,9.522379556619665e-10,6.688405051635572e-08
1900,4.991624054900964e-08,1.2755367381558183e-07,8.375945099035315e-11,1.493348791449426e-07,9.141525623152441e-10,1.2521109967786256e-07,4.1058564941418954e-10,3.405110125699171e-10,2.1000165804137977e-08,1.0378305814085379e-09,6.796190900372791e-08
2000,4.9915666494438034e-08,1.2742710252072424e-07,8.43335055619626e-11,1.4822267211031616e-07,9.258487958105478e-10,1.2508511191788592e-07,4.3807130744873967e-10,3.5220173169536905e-10,1.9938903497704248e-08,1.1246461150225746e-09,6.893637749060018e-08
2100,4.9915151501456137e-08,1.2730069566549546e-07,8.484849854386013e-11,1.4720408704454898e-07,9.362345982158802e-10,1.2495829836290128e-07,4.656910229698638e-10,3.6351076279924526e-10,1.896967096835198e-08,1.2125325065587408e-09,6.98177625968868e-08
2200,4.991469844614121e-08,1.2717444920712747e-07,8.530155385878357e-11,1.462702655497461e-07,9.454729844872965e-10,1.2483079399111522e-07,4.934167002542889e-10,3.7445669381068843e-10,1.808370560936607e-08,1.3013616624898011e-09,7.061494113563668e-08
2300,4.991427011869338e-08,1.270483607644554e-07,8.572988130660889e-11,1.4541295662296643e-07,9.536701008497437e-10,1.2470272709370788e-07,5.212224602738981e-10,3.8505687224985974e-10,1.7272937702100106e-08,1.3910187113344742e-09,7.133607826416863e-08
2400,4.991386476020214e-08,1.269224277447429e-07,8.613523979784641e-11,1.4462515126084968e-07,9.609488047845848e-10,1.2457420651718746e-07,5.490729973538502e-10,3.9532720529677863e-10,1.6530470286353246e-08,1.48141715232414e-09,7.198814208197717e-08
2500,4.99134772106672e-08,1.2679664841607716e-07,8.652278933278642e-11,1.4390056640745125e-07,9.6741411247288e-10,1.2444533241773e-07,5.769248965176195e-10,4.052824594122092e-10,1.5850157320929832e-08,1.5724923839460615e-09,7.257733076041334e-08
2600,4.9913122565775383e-08,1.266710198767335e-07,8.687743422460927e-11,1.4323325615878768e-07,9.731814712437788e-10,1.2431618275141819e-07,6.047171220413337e-10,4.149365808864333e-10,1.5226096237827996e-08,1.6642075670300418e-09,7.310961127210995e-08
2700,4.99128128241239e-08,1.2654553991763526e-07,8.71871758760869e-11,1.4261825008707517e-07,9.783454830974324e-10,1.2418682354714977e-07,6.323884852884134e-10,4.2430218607436496e-10,1.4653365041952648e-08,1.7565433388067996e-09,7.358994659297438e-08
2800,4.9912551972599604e-08,1.264202050531513e-07,8.744802740037971e-11,1.4205079431141367e-07,9.82986985012992e-10,1.2405730945782342e-07,6.59884559848524e-10,4.3339143656266864e-10,1.4127168901460279e-08,1.8494803654006056e-09,7.402318172460103e-08
2900,4.991234060507722e-08,1.2629501272674736e-07,8.765939492276872e-11,1.4152680180786833e-07,9.87170518265073e-10,1.2392768695538648e-07,6.871540151520708e-10,4.4221542357881147e-10,1.36434114752566e-08,1.9430083274886653e-09,7.441344642084951e-08
3000,4.9912148016162234e-08,1.2616996125644776e-07,8.78519838377526e-11,1.410424744387176e-07,9.909237035075641e-10,1.2379800489712269e-07,7.141773964154988e-10,4.5078469562259516e-10,1.3198333911571005e-08,2.037090230210919e-09,7.476452242526097e-08
3100,4.9911957122043465e-08,1.2604504996544657e-07,8.804287795651962e-11,1.4059436662542141e-07,9.94281226106006e-10,1.2366830909023892e-07,7.409387502686835e-10,4.591090594918755e-10,1.2788575044646701e-08,2.131691205934298e-09,7.507978264735934e-08
3200,4.991174103793078e-08,1.259202793334696e-07,8.825896206920191e-11,1.401793399924752e-07,9.97262353419351e-10,1.235386466985925e-07,7.674420008984872e-10,4.671976948198462e-10,1.2411142163403301e-08,2.226761295766436e-09,7.536221895306877e-08
3300,4.991152653800753e-08,1.2579564853041292e-07,8.847346199245177e-11,1.3979451891207694e-07,9.999368151709254e-10,1.2340905072036487e-07,7.936656570693152e-10,4.750593248984465e-10,1.2063198510253005e-08,2.3222798713109597e-09,7.561466782652647e-08
3400,4.991132701243798e-08,1.2567115733097423e-07,8.867298756200185e-11,1.3943739692382394e-07,1.0023537559319619e-09,1.2327955141273156e-07,8.196001635945696e-10,4.827020094411606e-10,1.174230174041433e-08,2.418221166149661e-09,7.583956203809856e-08
3500,4.991118465301536e-08,1.255468019509961e-07,8.881534698462609e-11,1.3910580047857562e-07,1.0045858085535813e-09,1.2315015404179275e-07,8.451853343018286e-10,4.901335086507286e-10,1.1446098364754825e-08,2.5146179618720207e-09,7.603925990598315e-08
3600,4.991111723908982e-08,1.2542257990053587e-07,8.888276091016088e-11,1.3879778084069136e-07,1.0066761742151833e-09,1.2302086727553814e-07,8.703708584618606e-10,4.97361042184865e-10,1.117253965308288e-08,2.6114972432162073e-09,7.62158091022551e-08
3700,4.991109892235399e-08,1.2529848785706452e-07,8.890107764599109e-11,1.3851158632558302e-07,1.0086190420746683e-09,1.2289169388787403e-07,8.950830590309951e-10,5.043915343890309e-10,1.0919728875720227e-08,2.7089155178785043e-09,7.637111734328651e-08
3800,4.9911087498937426e-08,1.2517452589664836e-07,8.891250106255288e-11,1.3824541731739972e-07,1.0103926053176262e-09,1.2276265459677485e-07,9.192789211266553e-10,5.112315129874491e-10,1.0685948591473534e-08,2.80689560754362e-09,7.650690756199152e-08
3900,4.99110108238787e-08,1.2505069519539642e-07,8.898917612128321e-11,1.3799756738670705e-07,1.0119422977304048e-09,1.2263377499654568e-07,9.429190331262635e-10,5.178871560799041e-10,1.0469652919790504e-08,2.9054587553087542e-09,7.662473430716817e-08
4000,4.991087852357955e-08,1.2492699862739911e-07,8.912147642043145e-11,1.3776630048874523e-07,1.0132998488372622e-09,1.2250508690831874e-07,9.660240310413798e-10,5.243643441970118e-10,1.0269358611752864e-08,3.004560030919177e-09,7.672607775163303e-08
4100,4.991067980087642e-08,1.2480343872693266e-07,8.932019912357291e-11,1.3755008498654284e-07,1.0144721755351842e-09,1.223766179009617e-07,9.88611415589265e-10,5.306686021672612e-10,1.0083763572705692e-08,3.1041623669176154e-09,7.681223933732337e-08
4200,4.991052775064117e-08,1.246800125260802e-07,8.947224935882119e-11,1.3734784827613994e-07,1.0155878998162023e-09,1.222483576747116e-07,1.0107274696876828e-09,5.368052273217479e-10,9.911615852575912e-09,3.2042061851392487e-09,7.688445966143911e-08
4300,4.9910478575044807e-08,1.2455671738479815e-07,8.952142495518495e-11,1.3715864328602256e-07,1.0167143842565037e-09,1.221202977353194e-07,1.032407131449093e-09,5.427792382730158e-10,9.751817332911617e-09,3.304647551848988e-09,7.694382739454673e-08
4400,4.991058163612382e-08,1.2443354520224956e-07,8.941836387617235e-11,1.369820070497111e-07,1.0179038437025242e-09,1.2199239610110538e-07,1.0536565116191531e-09,5.485954776011614e-10,9.603374491423181e-09,3.4054841306713684e-09,7.699132572122238e-08
4500,4.991076105079401e-08,1.2431049443675028e-07,8.923894920599133e-11,1.3681710152035221e-07,1.0190846446676875e-09,1.2186465297091847e-07,1.0744411808853967e-09,5.542585945996718e-10,9.465390315511954e-09,3.506747733519548e-09,7.702784909929544e-08
4600,4.991090495270618e-08,1.2418756285565249e-07,8.9095047293814e-11,1.366632360552656e-07,1.0201453720050532e-09,1.2173706435920224e-07,1.0947011121804102e-09,5.597730357084649e-10,9.337070835328277e-09,3.6085002199925263e-09,7.70541911342477e-08
4700,4.991090960174175e-08,1.240647595610173e-07,8.909039825823939e-11,1.3651892513042984e-07,1.0209967725610967e-09,1.2160969309168286e-07,1.1143555932057979e-09,5.651430431370037e-10,9.217617917998352e-09,3.7108006244057905e-09,7.707116437602539e-08
4800,4.991067923378001e-08,1.239420905532146e-07,8.93207662199831e-11,1.3638300093050273e-07,1.0215527137616594e-09,1.2148258203471723e-07,1.1333183050676507e-09,5.703726508883059e-10,9.106335574699017e-09,3.813720948050361e-09,7.707948022804944e-08
4900,4.991037727520043e-08,1.238195601998933e-07,8.962272479956349e-11,1.3625440852425516e-07,1.0219953107564221e-09,1.213557554096044e-07,1.1515711102561968e-09,5.754656582352007e-10,9.002505565912492e-09,3.917256337865427e-09,7.70798800922281e-08
5000,4.99101197729185e-08,1.2369716749444873e-07,8.988022708149891e-11,1.3613257085319918e-07,1.0224495819151956e-09,1.212292063008445e-07,1.169119083992736e-09,5.804257259465467e-10,8.905519900667103e-09,4.021393140797994e-09,7.707299118542681e-08
