milliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
0,0.012056991432169522,0.03799061949447954,0.003988730304278737,0.002003372227179264,1.580061491132441e-05,2.307203404410685e-08,1.3487765054378191e-05,9.34516227376926e-06,3.3546557856694546e-08,0.00028647423241117575,0.003024738292893622
100,0.011127499826336644,0.037983806416841105,0.003886089609702733,0.0019985501557124676,1.5451798864940807e-05,2.245432924802584e-08,1.3873186300091057e-05,9.33876402297547e-06,3.491118567934693e-08,0.00028693443757762135,0.0030455498097675593
200,0.01120272183609267,0.037995775013171106,0.0038332938108835753,0.002007051440197507,1.4965703572563682e-05,2.1239275608256713e-08,1.447732146529292e-05,9.224034910607623e-06,3.665730811461663e-08,0.0002865895317392677,0.003065372692285675
300,0.010538394103973555,0.037971743327187446,0.0037762200710854143,0.0020045906700881726,1.4658673148158482e-05,2.05419212965723e-08,1.4919737607721738e-05,9.135522607184983e-06,3.836141721988649e-08,0.00028712306403581823,0.0030767700845350525
400,0.010267136072486846,0.03799402317438436,0.0036878873465784803,0.00199702620924056,1.4275446712780356e-05,2.0005993726097082e-08,1.538298822904486e-05,9.038441226744845e-06,3.9303721567308297e-08,0.00028683170689164497,0.003083200877943006
500,0.010112279045122831,0.03799758712818294,0.003634906497942243,0.0020055787273289363,1.3993163235033776e-05,1.955781941964473e-08,1.5664174350829822e-05,8.973084660757233e-06,4.0465624185471104e-08,0.0002872609106374204,0.003118734255587765
600,0.009177954963860467,0.037998570143366626,0.003535544503252259,0.0020014632546556375,1.3786324150535215e-05,1.8453818922866218e-08,1.6013969687299933e-05,8.898230379632658e-06,4.180454757710056e-08,0.0002869302402508454,0.0031484342402307713
700,0.008785600843701209,0.03798619249024774,0.0034390831090447467,0.001998736437358396,1.3667160529800825e-05,1.788754657097023e-08,1.624620560992302e-05,8.858043660062506e-06,4.244541722010877e-08,0.00028712776756115925,0.0031759020317152784
800,0.008953759603768239,0.03798943217343787,0.0033162472027891197,0.001986688890428215,1.3586959340217582e-05,1.7439383237730267e-08,1.6379269210824196e-05,8.796015094023598e-06,4.316075791626436e-08,0.000287322834492749,0.003219835779199889
900,0.008139499147121821,0.038004068513799026,0.0032149385815816198,0.0019981334306415164,1.3453238207910692e-05,1.713993229588789e-08,1.6431672398160523e-05,8.770998517215845e-06,4.3490434777926825e-08,0.00028671873204821354,0.00324504483148922
1000,0.007807093324600794,0.03802160764251729,0.0030275222306611494,0.00198480492203437,1.34001185752772e-05,1.6834379901608973e-08,1.662797072776901e-05,8.76055640881068e-06,4.3647466899695464e-08,0.0002869310002510956,0.0032639767006126656
1100,0.007399127865699327,0.03800618443267085,0.002974366208717481,0.001991083696715361,1.330229141040338e-05,1.619232224310275e-08,1.661086700314118e-05,8.738591898790477e-06,4.4193192619489576e-08,0.0002866873796542344,0.0032906794936109823
1200,0.007202106319615948,0.038020574144040205,0.0028247460384498053,0.0019928685808226904,1.3285598973546486e-05,1.6161207437461384e-08,1.6774453210547046e-05,8.728564181011669e-06,4.401878955927466e-08,0.0002866544607935119,0.0033241988393317872
1300,0.006499189777258488,0.038033431255541476,0.0027749959936286916,0.0019869111911015543,1.3202330176812552e-05,1.5561618152042998e-08,1.6729786978738766e-05,8.715981581200156e-06,4.424877358834759e-08,0.0002868893355173902,0.0033458478398192973
1400,0.00659858811526402,0.038035731637669754,0.002754982292526888,0.0019747280254408376,1.322324732856213e-05,1.522983424771221e-08,1.676443317818539e-05,8.687323301434515e-06,4.472137493835956e-08,0.0002865421788086926,0.00336828836776899
1500,0.006168783585805759,0.03805273503666386,0.0026683319471565705,0.001978727683933731,1.3170486300729546e-05,1.5175705476833116e-08,1.684501069641706e-05,8.709392171147245e-06,4.471696101995411e-08,0.00028592884408613293,0.003369481620571586
1600,0.005370399323218402,0.03804780235531191,0.0025598221079243333,0.001965586756299615,1.317806345961524e-05,1.4830257546851964e-08,1.6769944076922196e-05,8.686231298810449e-06,4.4724606993303975e-08,0.0002861106046293705,0.003405653273296511
1700,0.005543421265873105,0.03807254422528168,0.002466733333503451,0.0019638888345749877,1.3186492762576118e-05,1.4488334110967923e-08,1.6817709982471413e-05,8.695858738916072e-06,4.458546865019165e-08,0.0002863330432003078,0.003418211942984108
1800,0.005357293090475638,0.03808400580794781,0.002466868978884064,0.0019624937109851224,1.3177146733637784e-05,1.4541964714242304e-08,1.683050875772349e-05,8.68409217785013e-06,4.4386844109789045e-08,0.0002853347032176527,0.0034089140895234497
1900,0.004665527367986234,0.03809671322099542,0.0023860809575618302,0.00195933203592462,1.3243648721512937e-05,1.4059234367891602e-08,1.681512304931327e-05,8.707723122891752e-06,4.4526924589808385e-08,0.0002856769819010257,0.0034367389823127415
2000,0.004525991237385157,0.03809562465918627,0.002398618559501022,0.0019537132022537265,1.3173955451169258e-05,1.3864652504981851e-08,1.6743222797937518e-05,8.70847186965149e-06,4.461357609817197e-08,0.00028521528345630293,0.0034479741721147998
2100,0.003900737194434282,0.038127690941962576,0.002373839636887818,0.0019403567393393017,1.3171694696470337e-05,1.3846340846716787e-08,1.67216516773679e-05,8.699667346488136e-06,4.441145780625428e-08,0.00028530021139121676,0.0034666656582645295
2200,0.004171908949988343,0.038113545734823485,0.002222643388053987,0.0019456689225603942,1.33006351407554e-05,1.3255373926995941e-08,1.6730347187982832e-05,8.711623641662133e-06,4.447930900577038e-08,0.0002851507276527514,0.0034644849572198185
2300,0.0035024127592237025,0.038129923236742795,0.00230231445513219,0.001933693530714121,1.3219391028653867e-05,1.330651625472096e-08,1.676588870414737e-05,8.72179761918716e-06,4.4082324508785885e-08,0.0002845620679046008,0.0034619544436028543
2400,0.0036495063961987937,0.03815095413744653,0.0022490656485400903,0.0019294045233931765,1.3282244178154815e-05,1.3187704263309337e-08,1.6725676336552898e-05,8.71417612432738e-06,4.3934292651308814e-08,0.00028397247278740527,0.0034852554114079143
2500,0.003047708286716169,0.038151104910173685,0.0022141357603320533,0.0019285899140231387,1.3333682273231865e-05,1.2780301209469484e-08,1.6624490572323248e-05,8.722739052566348e-06,4.391877792788899e-08,0.000283948257539704,0.0034860184879986025
2600,0.0027302550302036013,0.03817647524027647,0.0021007117637566134,0.0019231107245538004,1.3315398804924111e-05,1.2892279181857605e-08,1.653971636993932e-05,8.730993783993697e-06,4.3858054466887564e-08,0.00028338615144957565,0.0034754188739681223
2700,0.0029669011040334057,0.03820344959846769,0.002149050560997142,0.0019131617783185273,1.3395352236637952e-05,1.2859562366799956e-08,1.6501669424066927e-05,8.763806583961287e-06,4.377411995606506e-08,0.0002836091032132351,0.0034811494632605907
2800,0.002712625741832229,0.03821711420228554,0.0021583189488066333,0.0019024808153035512,1.3420033974253092e-05,1.2846933997786883e-08,1.6459275962962757e-05,8.748391876275778e-06,4.3375243488449064e-08,0.00028244630358369383,0.003493599300330865
2900,0.0022499962168011185,0.038227030388947446,0.002055490862510002,0.0018970828115919178,1.342486357244911e-05,1.2513283359585784e-08,1.654008803590401e-05,8.774964262473569e-06,4.3453759513692785e-08,0.000282724249109903,0.0034925859240254307
3000,0.002023128889011069,0.038238184376125285,0.0020779176751258848,0.0018872998901883606,1.3516222456085891e-05,1.275161193064316e-08,1.6469302933515395e-05,8.791136490131803e-06,4.2839073250242885e-08,0.0002817021698280682,0.003484090232692176
3100,0.00219342716484243,0.03822792280908347,0.002017849166670613,0.0018868215696344938,1.3545166930349008e-05,1.2665695755907844e-08,1.6364612019745265e-05,8.803616105942846e-06,4.293299388936584e-08,0.00028189626361008055,0.0034701252401101845
3200,0.0020506858487069797,0.038236270688720854,0.002067153736267534,0.0018767841728456617,1.3565958367708973e-05,1.2384336280287889e-08,1.6278293706359918e-05,8.793750053861477e-06,4.292132125554528e-08,0.00028168168276349016,0.0034905312141470753
3300,0.0019860285863060275,0.03825402301510376,0.0020306484717805893,0.001878067272888973,1.3623853650260446e-05,1.2449772518194877e-08,1.6331294730714162e-05,8.818696337112003e-06,4.2373424659437623e-08,0.00028086798213489714,0.003479151700457612
