milliseconds,c,V,n,h
0,0.30000100774215327,-60.00031128699389,0.10000010713508742,0.09794191853792322
100,0.29996870034356743,-60.02330815759338,0.10000874591856963,0.10419196851051571
200,0.29997627134494925,-60.09953103577826,0.09968023276453501,0.10602418917544519
300,0.29992749352724574,-60.21645490048915,0.09910872931620714,0.10740496968013412
400,0.299816300293904,-60.25529445178502,0.09909331574061231,0.10800493991022062
500,0.29978958616967966,-60.27913256496387,0.0988764854827384,0.1094146395768826
600,0.29977132945640084,-60.276008176598886,0.09875653004925301,0.11057344794175135
700,0.29977851995447036,-60.40063180390694,0.0986136500394849,0.11644847157307729
800,0.2997295297344456,-60.3913561913595,0.09847714919278222,0.11478003983103677
900,0.29969138992180383,-60.46658014851396,0.09830100485239933,0.11994053999276719
1000,0.299648205253739,-60.56207301038609,0.09802106957526813,0.12308230702231845
1100,0.29959756913317326,-60.5463768147427,0.09726451842452437,0.11935967212220427
1200,0.29956794905625145,-60.59525070594717,0.09755903902640704,0.1247687963400386
1300,0.299569044936422,-60.713114046126755,0.09717118127640179,0.1256836271605253
1400,0.29947068302020585,-60.68670588184433,0.0970862700399244,0.12634576922554913
1500,0.2994610838560565,-60.750496564215126,0.09666232675767712,0.132702228748678
1600,0.299362641805738,-60.829354043387546,0.09631312648089288,0.12990129317682536
1700,0.2993355850092237,-60.8169355654162,0.09608991169034846,0.13355285576258094
1800,0.2993119998564735,-60.8828042057904,0.09588904588249177,0.13732078970394002
1900,0.29930016454267966,-60.89413600478156,0.09553214717570949,0.13585982138300073
2000,0.2992412144919836,-60.982316864509166,0.09575163059096718,0.14336794894736338
2100,0.2992241533765025,-60.98447983375196,0.09570584678972063,0.1443032946729067
2200,0.29914672563899136,-61.13132838779441,0.09488907785610894,0.14302224915420286
2300,0.2991796739125041,-61.05946006554655,0.09498408852304807,0.1442502721618092
2400,0.29916559600373804,-61.217482254645574,0.09475192731100766,0.14641010390009693
2500,0.2991180280487651,-61.22085741490536,0.09433009655740697,0.14975047128241847
2600,0.29904331799916783,-61.30722315301009,0.09429136373719083,0.15565339112728624
2700,0.29895880299964156,-61.29118538074874,0.09422868104704918,0.15575976422744994
2800,0.2990023402428533,-61.353932961349955,0.09377752669915757,0.15602287324995298
2900,0.2989523821700055,-61.389759950808745,0.0940054897365121,0.1572201308953739
3000,0.2989123092278814,-61.461639122810055,0.09322270131214161,0.16250366285539963
3100,0.2988763763381281,-61.39697728807219,0.09326596067901496,0.16404362187917673
3200,0.29875599727223007,-61.54622529740771,0.0927715215787406,0.1621284198388435
3300,0.29873013670153026,-61.54175400865296,0.09267496686819215,0.1681693641329275
3400,0.29875008930977986,-61.63805091884643,0.09256963956278517,0.17099691436799655
3500,0.2987075923877274,-61.64619824853374,0.09272666448671002,0.1700380422807781
3600,0.29868369324062627,-61.661252292577466,0.09221935578740481,0.17123573889062702
3700,0.29858272985305084,-61.666879311318674,0.0920304577899407,0.17735296443846824
3800,0.2986300187596194,-61.75151599961527,0.0915458360487044,0.17435534128810565
3900,0.29855308344445713,-61.84296966681734,0.09157214108928127,0.18218665824622227
4000,0.2984691866261968,-61.80936089802482,0.09133240334698105,0.1785310882484215
4100,0.298450993345721,-61.8187577995906,0.0909693801827103,0.18544827136976938
4200,0.2984487654976129,-61.94550236428769,0.09101989768192129,0.1841724001442833
4300,0.29841684285429504,-61.90152327014667,0.09088995563650977,0.1870773121586327
4400,0.2983570239952084,-62.022253073071575,0.09082119056087089,0.1871252068527316
4500,0.29832214395852646,-62.07523156356525,0.09033908344298698,0.1920066700000087
4600,0.298240570064041,-62.02379116455808,0.09014012694792889,0.19077998604328636
4700,0.29823537893199936,-62.14630134372762,0.08993693065714642,0.19866989942827093
4800,0.2982225743763103,-62.115715775388544,0.08974809676122868,0.19569495299929046
4900,0.29820292912289664,-62.170449820136504,0.08941973222298077,0.19692868533711252
5000,0.29816462655094284,-62.27869203056365,0.08941737980451733,0.20382501193254196
