milliseconds,c,V,n,h
0,0.30000122248446126,-59.941390089562766,0.10026155076739748,0.09800306493252653
100,0.2999956820423149,-60.071721960802726,0.09961703984768838,0.10081368189464483
200,0.2999509851350721,-60.166964066469596,0.0994271658928147,0.10107611893037033
300,0.29994197097535535,-60.17497664840407,0.09902509338105805,0.10539679561231144
400,0.29982055878458,-60.14120796394841,0.09936053833180768,0.10528386957148433
500,0.29983477210471704,-60.31413201094449,0.09919215804152232,0.10914416113651595
600,0.299806474916308,-60.34068086253253,0.09853840155220442,0.11146596634598277
700,0.2997223150820813,-60.39116049310116,0.0985402469326268,0.11309832491311085
800,0.2997183986369969,-60.39922335136148,0.09849967816546627,0.11684621801068765
900,0.2996986371146092,-60.431836006850126,0.09817400445945203,0.11908451194203361
1000,0.2996234339146985,-60.49883718965451,0.09770924043949386,0.11925712566853543
1100,0.29957082217935294,-60.611366315745,0.09752796349204858,0.12379762188435763
1200,0.2995492203947732,-60.62809460881212,0.09766216800256007,0.12475292640013566
1300,0.2994694885669698,-60.62508731406585,0.09733611320225634,0.1252722000986302
1400,0.29950762042878276,-60.73574514114903,0.09672627174043175,0.130989104896822
1500,0.29947964852103276,-60.800423038509145,0.09696536161774814,0.1326041808041018
1600,0.2994464085412663,-60.79806325663747,0.09624442235407348,0.13076087971615677
1700,0.2994176016136761,-60.78750410550368,0.09621581451359443,0.13146432186548895
1800,0.29938539585737917,-60.826827968676284,0.09608427893875379,0.1392416100043661
1900,0.2992499094492469,-60.93302803919701,0.09607828802980282,0.13887041586504092
2000,0.2992200457823227,-60.97010469939291,0.09568798675411758,0.13961829779161566
2100,0.2991964195090268,-61.04452934911402,0.09526269608382087,0.14391360744563825
2200,0.29913499384894204,-61.01020938792584,0.09523494743642198,0.14443701982967017
2300,0.29916132383806765,-61.1197767230041,0.09505505961478532,0.1449883007290485
2400,0.29909020949229104,-61.19560753310306,0.09463127987618156,0.15143596213296281
2500,0.29912791040175124,-61.14853377705887,0.09440490763861,0.14961096662334333
2600,0.29899379481829097,-61.26449941286442,0.09457348229680278,0.1533542769795378
2700,0.2990191551630624,-61.35102375311763,0.0941501762299027,0.1566177018059347
2800,0.2989846085992355,-61.34167962820641,0.09381340146523894,0.15404015345428548
2900,0.29894571745556725,-61.31301685698219,0.09389457533886696,0.15846992335902566
3000,0.2988643126259227,-61.480217828891725,0.09340822916178862,0.16091380961893392
3100,0.2989001502013408,-61.47980322269604,0.09348003145972598,0.16281754773196114
3200,0.29884058515646306,-61.49071030689082,0.09288539760380625,0.16642079093403958
3300,0.29876267248580496,-61.50240719123081,0.09266569902372566,0.16995209864856714
3400,0.29874418953967324,-61.557484068645984,0.09236701406353694,0.16986917554082562
3500,0.29868747104587073,-61.622321988070055,0.09245411836973073,0.17332092095959584
3600,0.29869141221473205,-61.72987487460581,0.09238185482131624,0.17171553338570456
3700,0.298571243933164,-61.688075964549896,0.09208580378694038,0.1732457581459995
3800,0.2986311093403055,-61.819260392441976,0.09196587734076023,0.17599520399032212
3900,0.2985500431239272,-61.862199166309715,0.09132856641544078,0.18123445450774528
4000,0.2984577026300065,-61.79411844764706,0.09132493933520643,0.18030630348963908
4100,0.29850199086352036,-61.893628683735685,0.0909971471262311,0.1849036731734524
4200,0.2984283345666653,-61.97371630600339,0.0908250134408344,0.1842228368459052
4300,0.2983964184771229,-61.899098093669195,0.09052796402163112,0.19020089033419765
4400,0.29833623957112027,-61.95621386082229,0.0907515793025573,0.1886528708992751
4500,0.29833293799203375,-62.06786052686134,0.09062498508324122,0.1945837837155599
4600,0.2982271147730687,-62.08303314475369,0.09028671068731255,0.19145299856600112
4700,0.2982113267295035,-62.110091691700504,0.09021215620780434,0.1984989270969821
4800,0.29821655065467134,-62.17665508752065,0.08963342114891204,0.19938237689482408
4900,0.2981624821660161,-62.228546006800116,0.08980176538808132,0.2015832518498332
5000,0.29818479649035007,-62.21946307667333,0.08963936833369028,0.20161039684587168
