milliseconds,RasGTP_Golgi_GM,CAPRI_cyt,serca,PIP_PM,PI_PM,Shc_PM,CaCAPRI_PM_PM,RactCa,Shc_star_PM,EGFR_PM,PLC_act_PM,RasGTP_pal_cyt,PLC_PM,PIP2_PM,Activated_EGFR_PM,Ca,Ract,Rinh,RinhCa,IP3,RasGDP_Golgi_GM,Ca_RasGRP_GM_GM,DAG_GM_GM,RasGRP_DAG_GM,CaCAPRI_cyt,DAG_PM,RasGTP_depal_cyt,RasGDP_depal_cyt,RasGDP_pal_cyt,Ca_PLCe_cyt,Ras_CaPLCe_GM,Ca_ER,Sos_cyt,Grb2_cyt,PLCe_cyt,buffer_cyt,ca_buffer_cyt,SosGrb2_cyt,SGS_PM,RasGTP_PM,RasGDP_PM,RasGRP_cyt,CaRasGRP1_cyt
0,-4.938909221343987e-10,30.100013778705296,45.0,2950.572277726738,142895.41482120575,186.001425179705,-2.2799766812036972e-06,2.2880951210039586,-1.2790116004266012e-05,21.01715492070355,0.0002470162520667355,-3.397598862688489e-08,99.99930394211717,1071.868871013484,0.012408355224809394,-0.012172149197642392,9.04571497952839,7.78861547123955,3.480802345687458,0.5903338456432962,49.95663345209841,2.254510033532263e-07,4.880179778639609e-11,-3.019466598103086e-13,0.00015129059329925008,1997.249182280449,-3.43419258188716e-11,-0.004475446703636829,-0.06732835316007921,0.0011034592639006275,-2.9850952548844277e-13,120402.96399447463,81.27211894116171,502.670342710892,12.04118859112661,120.41316109182385,-0.0202656141193027,99.32719135078527,-0.0013891861113430233,-7.4698822705599266e-06,400.1602831151335,30.099843506500008,3.976560117012726e-05
100,-5.619786169996544e-10,30.100044426535465,45.0,2998.3926859293997,142749.7178219392,186.00038797806315,3.4537134425285876e-05,0.03555627259825258,-1.1914488227939491e-05,20.966178567879872,-0.0013508124108686475,4.434123286092619e-08,99.9993639535073,1074.3154640753664,0.018420368903107373,0.11351823041162686,11.339053799750832,7.930716850934507,3.4436002636451035,-1.458970065608174,49.79600066103403,-5.548848422893383e-07,-1.1028638802204282e-11,-1.1895860251367202e-12,-1.9894178548962822e-05,2003.988888889683,-9.160734461283877e-10,2.6216879293278726e-05,0.3435646213908237,0.0017564407297383602,1.6086808545677133e-13,120399.65285412187,81.2690264081382,502.66753085395015,12.03871002771155,120.33036575540274,0.07825810074790997,99.33552124356255,0.0005960071621846255,-6.512635759477469e-07,399.21683755877297,30.100125021163638,7.559882181523421e-05
200,-2.1150967975618608e-10,30.1000243831579,45.0,3034.7186937378674,142568.8972137505,186.00124893920236,1.2526144911980902e-05,0.03112232370909746,1.4044580447731895e-05,20.96474376007493,0.0005205038289175648,5.938238700688122e-08,99.99925298760148,1074.8171846314658,0.044304237885992026,0.07651849506857566,11.30246189083699,7.9306190680466155,3.38344697211339,0.9793940811488427,49.750298643502795,3.1578520168870545e-07,9.201261650897304e-12,1.1591396434669023e-12,-8.569412056196748e-05,1998.612287393786,-8.567403341371989e-10,0.0032834911178059156,0.2729701136875904,0.0015795876492667844,-3.061100202398134e-14,120395.30745212751,81.26495831741671,502.6637475077096,12.03785765340041,120.31514513728713,0.06534140975927212,99.334367586422,-0.0011254469464316982,-6.65318835967449e-07,398.99116951896366,30.099828178743035,0.00023892333164179399
300,-4.181262706860176e-10,30.099708564614296,45.0,3130.941333119017,142495.3470148301,186.0004097269428,1.3359671416211839e-05,-0.011324278200906882,0.00010906982501063161,20.968412724552973,-0.0017434154389449248,8.522650113620854e-08,100.00081239748125,1080.8762511442649,0.041457110047221156,0.14388378539290217,11.30783147767611,8.072197940875403,3.231955862128979,1.9286575232939684,49.56265860886788,3.7056812729740957e-07,-6.935180800497465e-11,-1.2236414445053177e-12,8.885034472238886e-05,2003.8752446301155,-1.2873976484702116e-09,0.010903098883688407,0.8335101198125113,0.0009989515887433402,-1.9089178036077837e-13,120393.56695400228,81.26473014530696,502.66431158291084,12.037194318119255,120.32185158467796,0.07929995086137441,99.34027085956681,-0.0013305730508559141,-8.705858056407465e-06,398.89060168507467,30.100058892300183,0.00012611434804872263
400,-5.628946802113708e-10,30.09983934756682,45.0,3229.187122197428,142244.90283835938,185.99993297683798,8.843040421457243e-06,-0.012589294966775551,5.693772763450925e-05,20.941157530391983,0.0027554543715886757,-8.232808066590182e-09,100.00152621575936,1081.6378062146175,0.07140494259179707,0.16148799159994143,11.337304610743198,8.110821421480017,3.2137330298810856,-1.8876875451355652,49.63163573605545,9.298948218318164e-07,-1.8239544411980343e-11,-3.4186435581116464e-13,0.00024026229511856008,1997.9548456308594,8.85395042316768e-10,0.01432848829673299,1.0975997153005763,0.0030724883012840537,-3.770429993111408e-13,120388.69998368168,81.25689184815882,502.6567874321989,12.039265878861512,120.29677258957481,0.13396188249073668,99.33971187174218,0.0006990684638650447,1.7074246339003533e-05,398.47918946051885,30.09972772414526,7.80373570199674e-06
500,6.460645922976916e-10,30.099605116419315,45.0,3527.3001344804056,142092.05769576336,186.00042213389165,4.967391492467511e-05,-0.003611701206587733,0.0001221034519007459,20.948496180876642,0.002370397861658633,7.844559321699869e-08,99.99876653807058,1084.590155795677,0.060823493504372016,0.16641046457519443,11.33180948636828,8.108214972486612,3.159471767814917,1.6344038946118915,49.38889024803481,8.88999619578896e-07,5.144170485795092e-11,-5.717064380686297e-13,0.00037585078857159247,2003.0051024410961,1.804513289934202e-10,0.028425557902439978,1.203379073997336,0.003907144377155888,1.5233882510583655e-13,120383.98376628071,81.25514963654813,502.6533753867648,12.038670229091567,120.27803139893778,0.13945918904107799,99.34355666516144,0.0012944924803209342,1.372630728860891e-05,397.81418171860093,30.099831133976583,0.0003572944452669043
600,-5.071607277683747e-10,30.099575324372104,45.0,3483.4952997636383,142235.25520662247,185.99826659385303,1.5571285197698974e-05,0.01902141487369496,0.00017694514695379995,20.925751289511936,-0.00039542212351623813,-1.0992092205377517e-07,99.99723100171282,1087.2674799994536,0.07801081054925177,0.18809549676768036,11.290362359579015,8.256397783926573,3.0192759243405303,0.6114010708176205,49.37548922574065,9.143504986515423e-08,-1.4894761428359036e-11,-5.758378888362005e-13,0.000300108808253004,2004.9679578732869,3.2308456831460254e-11,0.024367617920463408,1.493995787609262,0.004183160635213359,2.7705182692986857e-13,120382.70550426898,81.25039610076941,502.65398754793307,12.03584741696007,120.25825218453616,0.1596451586415098,99.34821859313035,-9.011402631791353e-05,-1.632313875814699e-05,398.10697043887,30.099862965785714,0.00033987722242358225
700,3.182057537252676e-10,30.0996383469824,45.0,3699.7476551788536,141798.75307192976,185.99999633704363,6.025999260007919e-05,-0.008873544306295309,0.00019493694662146496,20.89930458004808,0.0020159387778557083,3.1094129864321444e-08,99.99836471749398,1094.2748806841546,0.10780143865468234,0.19320346752136147,11.278629372661847,8.252621298502648,3.0653992301477166,-0.7924927445818726,49.051253540870924,1.2972629507703027e-06,-4.1902217271990284e-11,-1.070265065323645e-12,0.0005508261247233186,1995.7117351035213,-6.575640768989696e-10,0.04033617878517356,1.7414429561094777,0.0029321307003927436,-1.3167191096420818e-14,120379.57423071322,81.25166796188297,502.6536140501287,12.035235677792652,120.21230458051451,0.19062975649763514,99.34737062601607,-1.7252989812993006e-05,-1.2062831193086617e-05,397.5397762443647,30.09969972144316,0.0003741392292532898
800,-4.3380689061010074e-10,30.099698889877406,45.0,3729.2883929992454,141926.8896937527,185.9996091029726,-2.169993980630782e-05,0.01620527972288027,0.00023407710486910024,20.892792362554548,0.0017661839803445067,1.834328629938682e-08,99.99898362386715,1094.6414198981947,0.10994368440952872,0.22438003713153715,11.273169730685444,8.36513580404289,2.8974970528995323,-0.1657941472155956,48.94295618827974,6.956949848911085e-07,5.947308893845451e-11,-1.2860140136838544e-12,0.0004586420665737502,1995.5244833928277,-1.2558448279746217e-09,0.038331723580540086,1.8615605375637292,0.006080223991906531,-9.00503355653362e-14,120376.95188013461,81.25049818969573,502.65073397992774,12.036238412244662,120.22453163403794,0.22197538046537157,99.35278461426773,0.0007628729537320027,-1.367511478731164e-05,396.7290024326704,30.09941578516616,0.0006076789534029288
900,-8.606797447337388e-11,30.099316369509044,45.0,3953.520415571651,141836.61412866492,185.99778029726167,-2.051194448074531e-05,0.0018107500053166983,0.0002579596948163744,20.875198222274616,0.0027532297134091875,1.1203907639721537e-08,99.99614025375539,1099.2895755311115,0.10999293798576278,0.21562864824864875,11.322743042960484,8.434458967500346,2.8991777524045435,-0.31270313161000507,48.98658149373303,1.311171887985398e-06,4.303822541410302e-11,1.2654894911339383e-12,0.0005651893694649928,1998.2835465861053,1.0302406372178823e-10,0.037953526464191145,2.315969464502942,0.004809924204071973,5.698964061262875e-14,120374.05298782045,81.24551858243065,502.64635147380704,12.034730942415273,120.20272099537483,0.21471159513887764,99.35475344331445,0.00020147062360774512,5.932244508669368e-06,396.38949097688436,30.099375318667814,0.0007138306147857151
