milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,7.32470279255354e-08,6.006632475363379e-12,3.988256560198724e-10,1.3428078122217232e-12,6.966233545175805e-12,2.8836958725325037e-15,3.89308040055513e-15,7.622437810171009e-09
200,1.4569139163052925e-07,2.3913092636249684e-11,1.5816986863771195e-09,9.352149122735925e-12,2.781981506278678e-11,2.5412726870763133e-14,2.71184471611424e-14,1.5230972879430558e-08
300,2.1734586720665136e-07,5.3574377669481274e-11,3.5300645818837262e-09,2.991183588528392e-11,6.252437552547386e-11,9.889353921475589e-14,8.675667845534045e-14,2.2825632535859552e-08
400,2.8822288889678736e-07,9.484740555907947e-11,6.22589013736919e-09,6.867010167148163e-11,1.1104554052514942e-10,2.664500067738098e-13,1.9923117667800797e-13,3.0406446713081666e-08
500,3.583352645240075e-07,1.4758355407823636e-10,9.650595708404853e-09,1.3141820941042157e-10,1.733515620422578e-10,5.871336930078966e-13,3.8142270818622146e-13,3.7973447418086574e-08
600,4.2769499026750665e-07,2.11643241901714e-10,1.3786854574398677e-08,2.2353785694441918e-10,2.494167250685848e-10,1.1300776296334306e-12,6.490690987922905e-13,4.5526665253537294e-08
700,4.963147218047419e-07,2.8687789057868057e-10,1.8616331031412828e-08,3.5070231847254946e-10,3.39217846254857e-10,1.9826605558550912e-12,1.0188236487796452e-12,5.306613323814876e-08
800,5.64206530178709e-07,3.7314480373410587e-10,2.4121573238740212e-08,5.182772805121701e-10,4.427389619957873e-10,3.2495376261172207e-12,1.5065532801812753e-12,6.059188377212905e-08
900,6.313821950746864e-07,4.703042531290018e-10,3.028555977016693e-08,7.314811923236173e-10,5.599671448960862e-10,5.042089367821007e-12,2.1277479263820816e-12,6.810394887380975e-08
1000,6.978529404307915e-07,5.782216401157037e-10,3.709206284804074e-08,9.952480197098554e-10,6.90896944538293e-10,7.4906862653006e-12,2.897227120888112e-12,7.560236013564142e-08
1100,7.636301875767579e-07,6.967604769719667e-10,4.452457676975759e-08,1.3146077332006657e-09,8.355208017707299e-10,1.0720843716979425e-11,3.830055979758075e-12,8.308714937700947e-08
1200,8.287244942808723e-07,8.257925667015614e-10,5.2567890246631837e-08,1.694122993504461e-09,9.938437687849912e-10,1.4890550551842557e-11,4.940230368278568e-12,9.05583477997736e-08
1300,8.931466307657126e-07,9.651875524734672e-10,6.120646677239625e-08,2.138468735151388e-09,1.1658682759916095e-09,2.0151572993206246e-11,6.2420420484819025e-12,9.801598684107947e-08
1400,9.569068512668993e-07,1.114819926329147e-09,7.042553800943885e-08,2.6520379332099682e-09,1.3516047374972403e-09,2.66767171440272e-11,7.74917248487375e-12,1.0546009764504979e-07
1500,1.0200151175759344e-06,1.2745668856648673e-09,8.021077139853462e-08,3.2390554239457136e-09,1.5510687162049694e-09,3.465294737471951e-11,9.475019030700802e-12,1.128907112788175e-07
1600,1.0824814754119325e-06,1.4443048695737526e-09,9.054771054061767e-08,3.9037930946110515e-09,1.764274320574444e-09,4.426324332702428e-11,1.1433068435971382e-11,1.2030785883214143e-07
1700,1.1443153651380663e-06,1.6239160293854106e-09,1.0142280547035565e-07,4.650177775322919e-09,1.9912458264990238e-09,5.571811997005918e-11,1.3636193254607374e-11,1.277115711545128e-07
1800,1.2055262478289108e-06,1.8132824260664988e-09,1.1282248242349115e-07,5.482143740924693e-09,2.232007140712107e-09,6.922706164904164e-11,1.6097315404211648e-11,1.3510187908747518e-07
1900,1.2661231510736155e-06,2.0122902964471695e-09,1.2473382257826375e-07,6.403374559981135e-09,2.486589437591118e-09,8.501921305286933e-11,1.8828940502062675e-11,1.4247881328789543e-07
2000,1.3261154908372366e-06,2.220822109693157e-09,1.3714331851755822e-07,7.417779533625181e-09,2.755017384208133e-09,1.0330612213497558e-10,2.1843939892201408e-11,1.4984240458199531e-07
2100,1.3855117399573995e-06,2.438769637295275e-09,1.500388896936949e-07,8.528714985262537e-09,3.0373312597960095e-09,1.2434149803780746e-10,2.5154364463936794e-11,1.571926833531946e-07
2200,1.444320656333088e-06,2.6660218328732556e-09,1.6340802438662907e-07,9.73970457248837e-09,3.3335666325391973e-09,1.4836632987987276e-10,2.877251033284162e-11,1.645296801200356e-07
2300,1.5025510011606174e-06,2.9024676220012964e-09,1.772382060342674e-07,1.1054273713738958e-08,3.643759013714662e-09,1.75621452830035e-10,3.2710678019582157e-11,1.7185342540200462e-07
2400,1.5602106410413505e-06,3.148005053677151e-09,1.915182800143304e-07,1.2475411947371e-08,3.967958548219326e-09,2.0638719420933979e-10,3.698049537732896e-11,1.7916394925620103e-07
