milliseconds,delta1,delta2,notch1,notch2
0,0.999999999999985,0.99,0.999999999999987,0.99
100,0.9057778128596009,0.8967474701308128,0.9989364281269305,0.9899089815691121
200,0.8205260590093263,0.81237135278107,0.997744840488265,0.9896017432711364
300,0.7433919937993044,0.7360280043677163,0.9963890030276416,0.9890513114942323
400,0.6736011270396112,0.6669511842424378,0.9948266246220104,0.9882239571975261
500,0.6104531535128084,0.6044480318915622,0.9930082707165468,0.9870781612728569
600,0.5533179828314083,0.5478951409292805,0.9908757247597693,0.9855630311270555
700,0.501624571394333,0.4967275133568019,0.9883610058785552,0.9836174313218119
800,0.45485566035774616,0.45043335535710205,0.9853851158068637,0.9811687806309441
900,0.412543325365198,0.40854967589511026,0.9818567186547734,0.978131764769392
1000,0.3742652836789235,0.3706586342248072,0.9776714260980377,0.9744076361631472
1100,0.33963950167283863,0.3363822062618805,0.9727110013124337,0.9698834220350877
1200,0.30831986125124144,0.30537789818010147,0.9668431410114938,0.9644316788061826
1300,0.2799936976921346,0.277336310940007,0.9599228099505247,0.9579117534703331
1400,0.25437893225608194,0.25197830395603554,0.9517945249211681,0.9501719681464537
1500,0.23122085413030558,0.22905181184295767,0.9422959684822254,0.9410531088015148
1600,0.21028946240228086,0.2083292150909945,0.9312636645381758,0.9303939509373464
1700,0.19137733233759052,0.18960522931326812,0.9185408736016032,0.9180389978300768
1800,0.17429769952075905,0.17269500991254141,0.9039873229640178,0.9038480800010296
1900,0.1588825669306238,0.15743227936532944,0.887490292621951,0.8877073722587774
2000,0.14498101221521756,0.1436676524797241,0.8689765034592233,0.8695413076108189
2100,0.1324577478153992,0.13126721163210842,0.8484235482830875,0.8493241593044244
2200,0.1211918292191476,0.12011122830017085,0.82586921397441,0.8270896483589719
2300,0.11107547178620993,0.1100929917096902,0.801417325578343,0.8029371912347982
2400,0.10201298431962215,0.10111775261241689,0.7752388673760192,0.7770335015630964
2500,0.09391981965567761,0.09310178237099104,0.7475679571051763,0.749609046296465
2600,0.08672171955961688,0.08597152475227508,0.7186927855064545,0.7209493989603014
2700,0.08035392226491617,0.07966280906168975,0.6889425421342749,0.6913824489485713
2800,0.07476040154521119,0.07412009353415364,0.6586720119845324,0.6612631190953301
2900,0.06989313028021905,0.06929573230978518,0.6282456827727247,0.6309574416110321
3000,0.06571132524738507,0.06514922282033646,0.598022943436791,0.6008275867755014
3100,0.06218061091873902,0.061646371791574985,0.5683458061296119,0.571219340226952
3200,0.0592720611630564,0.05875833929979427,0.5395298240139814,0.5424527458593499
3300,0.05696105932582705,0.05646050208193329,0.5118584112395733,0.5148161645005914
3400,0.055225906128522025,0.05473106635175935,0.48558022311237564,0.4885634349095537
3500,0.05404614382162,0.05354939945427092,0.4609086970248221,0.46391324482215773
3600,0.053400540058203876,0.05289402543176392,0.4380232540592398,0.4410502157387854
3700,0.053264795708541764,0.052740350150866346,0.41707079921329077,0.4201263206987618
3800,0.0536090936297354,0.053058234743743576,0.39816674535165425,0.40126184257725417
3900,0.05439574139593606,0.05380967181777798,0.38139480646509283,0.38454509832468076
4000,0.05557730508472664,0.05494696218246099,0.3668052164006667,0.3700305702056376
4100,0.05709567631325921,0.05641183216511624,0.35441181003242955,0.3577358774864651
4200,0.058882498143966136,0.05813591409937084,0.34418792329359277,0.3476375568567563
4300,0.060861384191853884,0.06004301212361848,0.33606391506510297,0.33966846576956317
4400,0.06295157967269521,0.06205279786311576,0.3299267628601361,0.3337173025208211
4500,0.06507281996614847,0.06408567230055902,0.325622297567289,0.329630817785111
4600,0.06715055342759804,0.06606795757467976,0.3229610896351548,0.327219746740179
4700,0.0691204096451048,0.0679363048598703,0.3217284387492038,0.3262689111764257
4800,0.07093138216235854,0.06964079389276638,0.32169561076186143,0.3265486105143552
4900,0.07254731167276704,0.0711463237102736,0.322631014485066,0.3278259693724349
5000,0.07394676790728472,0.07243241064476183,0.32431021107183355,0.3298751093196126
