milliseconds,IkBalpha,NFkB,IkBalpha_NFkB,IkBbeta,IkBbeta_NFkB,IkBeps,IkBeps_NFkB,IKK_IkBalpha,IKK_IkBalpha_NFkB,IKK,IKK_IkBbeta,IKK_IkBbeta_NFkB,IKK_IkBeps,IKK_IkBeps_NFkB,NFkB_nuc,IkBalpha_nuc,IkBalpha_nuc_NFkB_nuc,IkBbeta_nuc,IkBbeta_nuc_NFkB_nuc,IkBeps_nuc,IkBalpha_transcript,IkBbeta_transcript,IkBeps_transcript,IkBeps_nuc_NFkB_nuc,fr_after_trigger
0,0.09991737163803806,0.10084939636974896,0.00033191788547828313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018049587424794028,7.592878925066267e-06,1.7264555915702306e-05,0.0,0.0,0.0,0.00022501125147869188,0.0,0.0,0.0,0.5
100,0.08088680943148682,0.04461347317580836,0.01850186051361943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03856646871207551,0.00016021059284082785,4.216643987984139e-05,0.0,0.0,0.0,0.0001342272924819344,0.0,0.0,0.0,0.5
200,0.07433540869081776,0.020759572009726595,0.02571140949536076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053984886878570046,0.0002741369148995516,4.142769122663609e-05,0.0,0.0,0.0,0.00027434441421932154,0.0,0.0,0.0,0.5
300,0.07065600378425554,0.010519680848470834,0.02843945011194708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06261974719394607,0.0003270884411158563,0.00012285114063038805,0.0,0.0,0.0,0.000351653942872524,0.0,0.0,0.0,0.5
400,0.06872832979689389,0.004746788995988128,0.03038254515093371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06632178084362621,0.00040008924459774116,0.00016092475790774254,0.0,0.0,0.0,0.0013078649986434624,0.0,0.0,0.0,0.5
500,0.06855382380500234,0.0015172041008600407,0.030543119873585114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06845668983658264,0.00042408341545300583,0.0001674721926309542,0.0,0.0,0.0,0.0018794116901121468,0.0,0.0,0.0,0.5
600,0.06832517415969494,0.0014605641754044107,0.03132849653868885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06806571722479447,0.00045685913278561963,0.00030330523855292695,0.0,0.0,0.0,0.0013654548657785282,0.0,0.0,0.0,0.5
700,0.06794435137980612,-0.000751020662171175,0.031184990107444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689905486945617,0.0004899873753510006,0.000347073790336461,0.0,0.0,0.0,0.0019582682989493097,0.0,0.0,0.0,0.5
800,0.0676558262871897,-0.00025966808781540535,0.031048792571711576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06967373971717697,0.0004980392628558687,0.00046432637125410936,0.0,0.0,0.0,0.003500968158488705,0.0,0.0,0.0,0.5
900,0.06775461092453401,-0.000613518995966752,0.031005308924454283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06904411931825856,0.0005221418811119608,0.0004966712449169516,0.0,0.0,0.0,0.003818560040395933,0.0,0.0,0.0,0.5
1000,0.06762297383171444,-0.0002897943399624189,0.030839060612696836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06938855179865483,0.0005386367946951725,0.0005174752753205986,0.0,0.0,0.0,0.003709337421258678,0.0,0.0,0.0,0.5
1100,0.06769840992921859,0.0005091636568148486,0.03132009450210683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06873951970995124,0.0005410087521509867,0.0006007881838607609,0.0,0.0,0.0,0.00394641812029581,0.0,0.0,0.0,0.5
1200,0.06765800444024356,-0.0006331634756434096,0.03122197116610628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06876108960649108,0.0005452119666096516,0.0007104384308163879,0.0,0.0,0.0,0.004822469220130804,0.0,0.0,0.0,0.5
1300,0.06772391210294508,-7.485383217749011e-06,0.030874813407241648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06951028510305257,0.0005534678762650673,0.0007470067111291399,0.0,0.0,0.0,0.0049156005620407586,0.0,0.0,0.0,0.5
1400,0.06746544738049176,-0.0007291129487983212,0.03099226340155539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06790019564409513,0.0005718947456477965,0.0007852849986006517,0.0,0.0,0.0,0.005331464733757385,0.0,0.0,0.0,0.5
1500,0.06751494764887789,-0.0006073224489978835,0.03074046093854879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686779465365994,0.0005636445981332565,0.000831996656479377,0.0,0.0,0.0,0.005590007475953141,0.0,0.0,0.0,0.5
