milliseconds,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s27,s28,s19,s20,s21,s22,s23,s24,s25,s26,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57
0,0.5081748053435381,0.5035437105606486,0.49446667148938517,0.49870340221107945,0.4971238702468112,0.5007541630594883,0.7967935523841687,0.8011658586679798,0.8030854678859919,0.7972790166772289,0.8032563738341949,0.8013092900554761,1.0030895372240993,0.9993102157311595,1.0017143829333066,1.0010541956581611,0.9991485935895351,1.0011582016039156,1.0002804793247682,1.0007134694066178,1.0011864945981725,1.0013202227765086,1.0012931842822954,0.9980671559068194,0.9996583914014382,1.0011811384629972,0.999384626245251,0.998864130394205,0.9961619091610123,0.9969203015321964,0.9973837609809219,1.0005710891558757,1.2001053066331258,1.1986927295276923,1.1989200188069011,1.2001610289420137,1.200496287545698,1.2005323591305406,1.2010841157840237,1.2017710672921138,1.2010974571179345,1.2010782132839397,1.1986679890192449,1.1992831212902397,1.1995355469407152,1.2001505097744913,1.1999686309081852,1.1983714945794761,1.4951926200019945,1.5014791170914827,1.4979994971925303,1.5064275421151818,1.4953630187896658,1.8060823632292409,2.0155359443831884,2.1866856548737394,2.5049719322502653
100,0.5231684569893765,0.5707594560557184,0.5509169772792615,0.5236548832008605,0.5303617200480358,0.5714073914807467,0.7233994113654566,0.7921749820965748,0.7679126423977756,0.7897227653101265,0.7956365542277776,0.7926313442273043,0.9331971924100194,0.9940720259370333,0.9797038297168441,0.9646373984603988,0.9996102863876912,1.0023847353365112,1.0148083654496567,1.2764582432883935,0.9984896599843799,1.0067313267484275,1.0011629510247972,0.9993879406145637,0.9984686449079608,0.9981448756099887,0.998922678607293,1.0016722297662577,1.0429428964927385,1.0684570768798054,1.061971070354286,1.0570720151909303,1.1740007490090798,1.2709991893155097,1.1747210561662709,1.2728232923093623,1.191231199962579,1.272236533912171,1.187159929135287,1.2714666210979564,1.189241323542327,1.2728118563447048,1.1907966168687547,1.2705379227048805,1.173688788420662,1.2733121192554004,1.176219031736611,1.2695039169094637,1.4675906482262688,1.538101921367026,1.4750906910269683,1.5369425126253682,1.521517685161029,1.751338253144067,1.914290974302535,2.0808066942486123,1.722627302362978
200,0.5431220552796628,0.6129209923849775,0.5881952279036875,0.5397661805712406,0.5460939519318616,0.6397789466109173,0.698388623557092,0.7858222863541876,0.7475586868064852,0.7834147045297795,0.7932037320064443,0.7931627770069963,0.8780192643863625,0.9831273743219121,0.9604768418750125,0.9422293342770239,0.9979952679658582,1.0040678913147418,1.0388074940565428,1.3559529310672354,0.9962348291856712,1.0258189392683337,0.9992847144196824,0.9987819033888327,0.9983524239287557,0.999742600876389,1.002078150499563,1.0056707345876867,1.0896909141753728,1.1123305536659585,1.1061258859919874,1.1062067129524469,1.1654245896317865,1.2924656534104804,1.1677437089610192,1.2902540258828465,1.184657374355366,1.2928718486097523,1.1859054118538617,1.2952764969727208,1.1890208234668198,1.2932774797451088,1.1884546702568384,1.2964182880441648,1.1693330948013168,1.2909274082981061,1.1677441531310464,1.2921558261396953,1.4587244295825923,1.5352623267240153,1.462445657770414,1.537743132622438,1.5095827479497619,1.70125132989381,1.8555249589885319,1.9924434439754186,1.515554632035982
300,0.5515944424901084,0.6494210190104955,0.602237053373962,0.5586223547533224,0.5625558583259851,0.6749439473365862,0.6850893927903581,0.7777923379052338,0.736770861433803,0.7811627632352237,0.7915794105741649,0.7887990138675783,0.8464163066289062,0.9690704348069351,0.9490543999877322,0.9251712277552175,0.9965489231946132,1.0070308161879715,1.0679791846721887,1.3876067688228753,0.9937333789427438,1.0406716140229937,1.0004227590392456,1.001975413216446,0.9991230510938964,0.9996574092817555,1.001107715813911,1.0094708409788342,1.1319682120579921,1.1365850831578055,1.1316410758671849,1.1327850616872732,1.1680693371880682,1.3005184591563521,1.1711897929457606,1.297220257428258,1.1905186307814393,1.3025774960566285,1.1899657217614983,1.3012165883484388,1.1920351644800942,1.3011925503055428,1.193766795230808,1.303017320820234,1.1718489090161255,1.298529501026857,1.1723135771639142,1.2996838447420156,1.4652727891990336,1.5255971912320316,1.461131342197905,1.52638442219449,1.4982698676097612,1.6598249103134146,1.772953030932675,1.8602335553892237,1.469811175097385
400,0.565961732535434,0.6682277278209272,0.6300737227167906,0.565663358070759,0.5645112113569817,0.7074184180428233,0.6785971718550116,0.7730644895368706,0.7240209590713601,0.7751878381055479,0.7918103790475499,0.7959218252588479,0.8197861241940962,0.952206140382047,0.9409836351112049,0.9150674848783927,0.9947549173959546,1.0112233529140269,1.0930361869146787,1.3868840392841135,0.9901266166736737,1.0551660104711464,1.0006464957654733,1.002453065115378,1.002150711402019,1.0024447638510072,1.0027118361868355,1.0123508498345657,1.1649346261884808,1.1534851066572573,1.1620132874766502,1.1603501046257687,1.1793381534098988,1.30065530250445,1.1805448086642185,1.3024796994060164,1.197171589337076,1.3077948173551686,1.196285958128892,1.3053722965960874,1.2000962376978652,1.3081176827964294,1.197740416599623,1.3081578708676476,1.1769256394078573,1.303417886450703,1.178656508673346,1.3012761127610528,1.4558024129298237,1.5186351882703408,1.4652014780467892,1.5151671401498439,1.4866802100316616,1.6038890961841463,1.7052804893602964,1.7941544939985072,1.4612954999029648
500,0.5851524323575225,0.6816985400240314,0.6436718232394196,0.579046839044648,0.5733259725000377,0.7315933300629643,0.6806285604017885,0.768798467364064,0.7227281656950384,0.7719069055225876,0.7953372744353528,0.7934492881560978,0.8017490297953083,0.9393263393435939,0.9331048888322089,0.9056751345130635,0.9915743314473493,1.0140223755948314,1.1121018277097308,1.3790285242227998,0.9874115044496419,1.067341712935889,1.0044029092951539,1.0027943419938858,1.0021244530299565,1.002998446918486,1.0021629093201112,1.0175356945264582,1.1851869287495622,1.1624955013309317,1.1743608019170653,1.1716698768761575,1.1856381445829731,1.3052541389868928,1.1887637831588438,1.304007382043285,1.203190266992994,1.3083194190132734,1.2053799985282134,1.3098890118863342,1.204020363500864,1.3091762287325852,1.2061669715198053,1.3108389899431603,1.189753571295873,1.3025140592839812,1.1856753864622929,1.3036043776335036,1.465223811415113,1.4999967131382914,1.457300742811729,1.5076573875730463,1.4727197182138945,1.5899449705761397,1.6599095426473238,1.705591414641962,1.4467997470262637
600,0.5922309288581717,0.6877075457809212,0.651991049581712,0.5851765183551992,0.5845563329755782,0.7461947653633056,0.6807609590266129,0.7606630372272326,0.7185447953622438,0.7745947360529996,0.8035801663260189,0.7986883847587479,0.7918179893083088,0.9271883207180288,0.9272604280315786,0.8992866974529602,0.9888690334904694,1.0171930828213087,1.1295531558980096,1.3773627016679515,0.9857597430005889,1.077720902042527,1.0038349625405922,1.0033560024921364,1.0023043669841092,1.0036867990651164,1.0046846107188248,1.021108566965581,1.2074557815721307,1.174256296752491,1.1881938271787367,1.1849602726803785,1.1991771867843288,1.3043814761543984,1.1960439554040445,1.3065167703946632,1.211475814164475,1.308956125296782,1.2129967014262724,1.3097376093520618,1.2120648722866427,1.3104859380545113,1.2130928632373867,1.309719478615343,1.1942733388310849,1.304524667615278,1.1961956771088236,1.3036764310550555,1.4519390378944683,1.4873439932450783,1.459943578226318,1.4917509176903734,1.4595636467226833,1.5394194770017686,1.6215626439048398,1.676091134061978,1.4354662248022059
700,0.6012620082575485,0.7066318963625036,0.6567027007925066,0.5950607349592146,0.5975599708479925,0.7575717810379046,0.6842650843139118,0.7579464609815508,0.7188006066935664,0.771302878108456,0.8049050809854957,0.804653456967706,0.7875411110000204,0.9163028437776344,0.9270797534206102,0.8950844324656333,0.9861347920724853,1.0210582873055747,1.1383529208006538,1.3726776222224322,0.9837251009078651,1.0899807001846542,1.0065885078395052,1.004379436694886,1.0074319894222117,1.0051229991124415,1.007428692439598,1.0236946137963772,1.2262878764224547,1.1774691521674268,1.1966374697810376,1.1982135950728325,1.205683365566963,1.3043926150008507,1.2009358682353788,1.3052158053018426,1.2254062383231923,1.3110238531475267,1.2182271748522304,1.3120293930944589,1.2170740827053192,1.3114217396130823,1.2164534935319395,1.3128220642948656,1.203161557574151,1.3039062062205937,1.203186557013363,1.3027155152042709,1.4495530873253888,1.4773524746863524,1.4480251713321692,1.4906653414728028,1.445027233970438,1.522958680894869,1.5556495048787913,1.5953284191060106,1.4134899509601435
800,0.6088509747682875,0.710574371722223,0.6693659977407428,0.6007482117850995,0.6088696066089327,0.7686677037512462,0.6886340794769996,0.7556973170624306,0.7180335803607764,0.7730890571888335,0.804968855779052,0.8110521878021185,0.7766648299138667,0.9104617687215569,0.9224315511566343,0.89398236194963,0.981966840016339,1.0261965943024103,1.1485666549551325,1.363650452097069,0.9802252361387833,1.096150241672663,1.006440476712178,1.006840891080819,1.0083791404579814,1.005284911598745,1.0053063077913342,1.0277507468055431,1.2366068681648181,1.18435541759484,1.2096718058976246,1.2027905524482307,1.2195763888768518,1.3045468030125544,1.2099680835251416,1.3057677456843206,1.228655450190774,1.311954233048746,1.228409503115056,1.3105426383135597,1.2236837063779176,1.3120376394657445,1.2237597003444198,1.3104968343550887,1.2139980003903468,1.3060059340117653,1.2108749665979968,1.3046215657915468,1.4446296265720386,1.4758429141851577,1.4509345394556907,1.4747723683615435,1.4274161016077298,1.4836903414586848,1.537395635204887,1.5879857421955343,1.3845956464088973
900,0.6082729480865362,0.7157567109804135,0.6810162843712868,0.6109773046226271,0.6072221550857916,0.7774217910326429,0.6976199371556845,0.751677383366537,0.7185985171129697,0.7732134214618159,0.8120147609078773,0.8161006272223696,0.7720456953012604,0.9068118038092877,0.9242338094312437,0.8929761512121202,0.9807807398636796,1.0282260030329775,1.1557938009720932,1.3576255009158513,0.9794588734472073,1.1005044264043187,1.0097031403672316,1.0073154011671788,1.007163323780015,1.0083450538447722,1.007255372650682,1.030035828133841,1.245555853896884,1.1869166009985186,1.2181195224605166,1.212906026847784,1.228922621657862,1.304376622734277,1.2167864229695016,1.3041594700753603,1.2370549259867,1.3105278012492443,1.2344794490737023,1.3097227865511654,1.2283287800120748,1.3099808177619456,1.2282733738151703,1.3089339267964488,1.2218063397099328,1.3054523083289502,1.2159487905253663,1.3032549682477363,1.4385566133102545,1.4598911682677107,1.4464356786871715,1.4641803794983748,1.4272576427927322,1.465752373099132,1.4910283253917682,1.5577496681205345,1.3784425681194634
