miliseconds,Hsp90,HCom,HSF1,MisP,MCom,TriH,DiH,NatP,AggP,HSE,HSETriH,X,ROS,ATP,ADP
0,300292.65985635563,5899.337467349169,99.4862844434807,-1.6210698452348194e-06,-230.7805870224801,2.059469980523577e-11,-5.683167671763915e-09,5999434.432056081,-3.1390788087788627e-12,1.0000000000024263,-9.026463955255815e-14,0.05176656969504937,100.0,9994.482390832693,994.5218276660369
100,298877.64394854405,6000.051045977736,0.4775496312566064,0.0008065994819335045,1752.8485120337534,6.495117702487605e-11,1.3876900012645476e-07,5998105.139603507,-2.1080659192278913e-12,1.000000000002403,-1.7905548107314675e-12,0.04973621942758451,100.0,10688.547565091461,320.74265570053126
200,297117.70538891666,5999.306029775549,-0.06974736038087177,0.0008006934193091149,3186.518182460908,1.1010534979117007e-10,1.0328052581337899e-07,5997193.9228221765,-9.568827744629256e-12,1.0000000000002167,2.4840302666938017e-12,0.2684008658706206,100.0,10886.158798883167,111.04792939047104
300,295606.74655572546,5999.979377109869,-0.005369904228104901,0.0008104316273645559,4361.746568622215,1.6789748700946772e-10,9.087557528527647e-08,5996828.323910752,-9.359896455470009e-12,1.0000000000017117,-4.618029377100716e-13,0.27055727724469214,100.0,10941.510257623742,61.55090786867762
400,294550.22218453814,6000.140344177995,-0.6897018957310631,0.0008165872925223057,4123.404329475215,1.274645166196388e-10,5.663351366002772e-08,5994789.947775114,-1.3912442325941292e-11,0.9999999999957762,2.8154303225675337e-12,0.3283617580104343,100.0,10951.07704297701,41.90452148879844
500,293981.6908044186,6000.174661421102,0.11102584529601624,0.0008096750055436456,6268.578283677295,2.1442080083259205e-10,3.391011322937151e-08,5994162.050062623,-1.912664990286942e-11,0.9999999999950481,2.8387770806060014e-12,0.45029401130117463,100.0,10960.616001436616,47.48036555074085
600,293528.8028647495,6000.510340349349,0.19795996550991665,0.000824062929866825,6816.352265250896,1.5374058048885736e-10,2.3681746839998198e-08,5992617.488060183,-2.605090038892283e-11,0.9999999999992761,2.2166587304250245e-12,0.5616889224827819,100.0,10951.478184237607,39.46457621948671
700,292286.1672326611,6000.669858718151,-0.40912989808307043,0.0008239791678451875,8664.761823113486,1.3849573287848476e-10,3.1234685212974636e-10,5992194.300312857,-3.022743314896098e-11,0.9999999999950522,4.916615882141492e-12,0.7109058270691896,100.0,10953.463232468923,53.08725358590205
800,291200.80265855964,5999.303754472648,-0.3456874602717253,0.0008290323465300123,9092.630130899703,1.1099641910441662e-10,-2.197342134486529e-08,5990670.324302141,-3.359465230263698e-11,0.9999999999924821,6.739868151565427e-12,0.8549926624987589,100.0,10951.453316209972,55.61867031477662
900,289558.74834579346,5999.785859950673,-0.4993409226448055,0.0008224747693081334,10432.302436911492,8.780549508468542e-11,-5.052769482664811e-08,5989539.472667709,-3.6581524036731406e-11,0.9999999999927536,3.761493685516823e-12,0.9490580388041008,100.0,10944.125108448226,54.01388874738022
1000,287364.68299858697,6000.663956325503,0.06501450011812389,0.0008283634188032408,11426.398680103064,1.3681833713751424e-10,-5.749070653473416e-08,5987625.4470412135,-3.824683865110123e-11,0.9999999999926241,8.850872746538858e-12,0.9671202213659673,100.0,10945.950608152669,60.710904029539556
1100,286983.0206666448,6000.222002411404,0.10902007595509434,0.0008296697402749784,12825.361706395039,2.3726139754718724e-11,-7.264349888290645e-08,5987346.154426095,-4.5355431904060295e-11,0.9999999999962275,4.868780824262639e-12,1.025987002693144,100.0,10932.349487356332,59.22103117045506
1200,286281.1977188602,5999.61763791658,-0.4193771799051696,0.0008364101690069844,13509.86203198432,2.2094164342835543e-12,-1.0235074094119655e-07,5985314.043380099,-4.683915362948074e-11,0.9999999999934398,9.062904373806672e-12,1.2649300276936726,100.0,10930.096337551142,73.83317337480429
1300,284886.899295023,5999.860862200869,-0.5051556111637148,0.0008401696744607676,14693.496837740327,-2.782812878480061e-11,-1.049435668716002e-07,5984925.951623292,-5.605994506234097e-11,0.999999999992271,8.7688198130513e-12,1.2261575963277358,100.0,10932.769305045374,76.5389338434201
1400,283612.77358590835,6000.03935680971,0.29004216333135246,0.0008386458547807969,16236.090783370963,-8.263050331451918e-11,-1.241472146723661e-07,5983799.544796503,-5.729385747630561e-11,0.9999999999903179,7.740363218378761e-12,1.3498569192855419,100.0,10921.203004611792,77.40817140297295
1500,281957.933463337,5999.967154143578,-0.5127114078212094,0.0008476715171497423,17903.544359616426,-9.063490053733545e-11,-1.4246173592205218e-07,5983135.998597284,-6.01878928610076e-11,0.9999999999966251,5.6073524119134895e-12,1.5359272481381978,100.0,10920.538776325218,75.55482635988011
1600,281181.07704402,5999.976073218171,0.033861237414754296,0.0008449220603756191,19175.584897617726,-1.4897000084493163e-10,-1.57527098370726e-07,5981302.74403767,-6.518358926354097e-11,0.9999999999947947,5.801008724845328e-12,1.5371864142916092,100.0,10917.812976946667,78.73393959976177
1700,280714.30115809425,6000.459236172742,-0.04684393019520627,0.0008522287423684739,19490.845064226432,-2.2374261737936243e-10,-1.606651564584804e-07,5980527.211923232,-6.757061930934264e-11,0.9999999999932786,4.985755944894001e-12,1.6444316478626262,100.0,10913.63122959555,93.76302955204874
1800,279214.55179439427,6000.279691481046,-0.5740469248980429,0.0008516779065699015,20123.807210935352,-3.216739854769479e-10,-1.7349838028783576e-07,5979620.022680498,-7.690930904594604e-11,0.9999999999974534,7.032376753865785e-13,1.8559634436420305,100.0,10911.463237228392,93.21780409973259
1900,277489.28061304934,5999.944082986261,-0.18650840077022887,0.0008570400299319265,21411.93198746702,-3.905126568328907e-10,-1.9209713911212107e-07,5977693.901226373,-8.199438219305257e-11,0.9999999999982471,4.483390447972464e-12,1.8608325249132085,100.0,10908.350454416595,102.38680734612316
2000,276918.5369399075,5999.64048680356,0.5425765660294009,0.0008581100009903014,22813.009580325357,-4.162303277981394e-10,-2.016059369055036e-07,5977434.703675102,-8.257332256046939e-11,0.9999999999995461,-1.2710234797584287e-12,1.9326709004289362,100.0,10901.944059814845,95.89455553351358
2100,276137.94053173007,5999.505674412321,0.4857147579995045,0.0008630347567395145,24414.709541873515,-5.01880200965188e-10,-2.079175427322588e-07,5975430.05651401,-8.61636479539749e-11,1.0000000000011784,-2.205862964372924e-12,2.030296505366224,100.0,10896.440371669916,102.47745452498077
2200,274731.0994663594,5999.567438476247,-0.6386776322008504,0.0008649557800040194,24400.998698677628,-5.617176154741325e-10,-2.311078527656739e-07,5974413.616597299,-9.444139038503138e-11,1.000000000004045,-7.1434180775763424e-12,2.185373244556116,100.0,10898.182436722898,104.52226940975487
2300,274297.76881353115,6000.581153800707,0.47609076104224873,0.0008754136011660541,26823.269166236187,-6.296330594268037e-10,-2.308358105208051e-07,5973653.460348378,-9.557231842842485e-11,1.0000000000090874,-9.825210604115048e-12,2.2411248830556807,100.0,10891.665159516508,118.10557648255518
