milliseconds,Hsp90,HCom,HSF1,MisP,MCom,TriH,DiH,NatP,AggP,HSE,HSETriH,X,ROS,ATP,ADP
0,300542.90914745955,5900.065522872506,100.18521339857959,-2.2207005027057653e-06,-187.2803076370239,-1.2415126717258154e-11,-1.470093841625317e-09,5999870.287623371,2.1412545912845357e-12,0.9999999999982977,-2.814079555436243e-12,0.05450336080747207,100.0,9993.713693979904,998.7065893703359
100,298509.1047826328,6000.160150477984,0.533724730445295,0.0008084532061852162,501.5617374465388,6.94187803364276e-11,1.4096894491019337e-07,5998370.3910352485,-5.115869021149811e-12,0.9999999999966283,1.6559432547528897e-12,0.10772391397602496,100.0,10689.16494887998,321.9684344734766
200,297684.7392813454,6000.605623164754,-0.23426687963545811,0.0008000758767387037,1660.270835508034,9.321879115482498e-11,1.0474871086772144e-07,5997501.248537967,-5.8475920259548335e-12,1.0000000000009013,3.159594753661157e-12,0.2351054678112924,100.0,10880.119348249971,112.72090759271565
300,296380.20832191705,6000.497931564428,-0.5065933141159811,0.0008071251698848836,3600.6349643253143,1.5991644351042027e-10,8.467952941268176e-08,5996710.345753421,-1.3862747381862537e-11,0.9999999999973541,4.1887485499615315e-12,0.24682023739438685,100.0,10937.19343218973,61.24612226140527
400,294496.99683705025,6000.6038283522175,-0.6759272988649508,0.0008070652001155601,3984.8333991608056,1.6593304028609607e-10,6.546894539527933e-08,5995937.123408548,-1.8887655514469114e-11,0.9999999999984901,4.665779197328847e-13,0.3638304426927854,100.0,10956.767187826268,42.22034315524736
500,294689.66418085014,5999.769416508201,-0.624885363945956,0.0008202883662581708,6117.5375512590945,1.7665527440635957e-10,4.2806591420460597e-08,5993874.114324373,-1.8241273978415664e-11,0.9999999999944698,9.7986902302585e-13,0.4281523373766435,100.0,10963.182302632458,43.06299677793023
600,293114.79056774563,5999.658904602492,-0.13157384616580786,0.0008171611348194357,7744.1511455769305,1.3511561790957136e-10,2.196833867180442e-08,5992216.575672495,-2.1108139945044237e-11,0.9999999999937595,1.0348101267337077e-12,0.5740342494662448,100.0,10962.945590953503,47.14426447423084
700,291720.5407518982,6000.459733972658,0.1574919926422782,0.0008247187812485781,7900.000339313025,1.7920276463123316e-10,-3.808854696774257e-09,5991570.653274751,-2.700444922632744e-11,0.9999999999963879,1.883470736426488e-12,0.6744153654801284,100.0,10947.176014083432,52.03522626151005
800,290863.66017574415,6000.251985315364,-0.15759452977614197,0.0008229260167337808,8669.625983164164,1.6679518440187636e-10,-2.5831924561117808e-08,5990110.4891070165,-3.053364485388434e-11,0.9999999999956739,6.043758129318589e-12,0.779610428676877,100.0,10943.647498218046,56.069669761803254
900,288604.01221162395,5999.321968896734,-0.42292288693829344,0.0008326581510759378,10634.012915924184,1.418155633041948e-10,-3.695226945028518e-08,5988777.4546156665,-3.800275013102511e-11,0.9999999999913152,3.813595183931127e-12,0.9576519955010622,100.0,10942.802591286194,59.71948883839447
1000,288644.41732442245,6000.129815280558,0.36666224130941666,0.0008369509504415102,11834.928196717901,1.157863460623547e-10,-5.887995982443032e-08,5987678.705246453,-4.1996865442580696e-11,0.9999999999960479,3.65916097019969e-12,1.011651178515871,100.0,10946.405320291253,59.53567610440104
1100,287309.930489934,6000.54566385913,-0.5375395774462591,0.000839150081745443,12762.110866806526,3.0171158752113856e-11,-8.180415238485414e-08,5987583.1648738915,-4.506097657657279e-11,0.9999999999940637,9.472582374849475e-12,1.0376160512421904,100.0,10937.997007955038,57.35413962619019
1200,286080.86718042433,6000.1973460848785,-0.3580142708109717,0.0008406348209718374,13629.128226035298,1.0630929857005071e-11,-1.0165237542902894e-07,5986745.418829063,-4.609318860843734e-11,0.9999999999930265,4.3809957421311875e-12,1.273104724564349,100.0,10932.042042201201,74.32811612244144
1300,284730.6647406081,5999.583857917222,-0.274809120493251,0.0008466397914886726,15927.075887400497,-3.48282636601313e-11,-1.1303206504417033e-07,5984458.495273238,-5.331598117910235e-11,0.9999999999918789,7.812983982823093e-12,1.2350133773018617,100.0,10930.285777570647,77.64652149369036
1400,283401.81140319083,5999.569701516514,0.43602373738935796,0.0008493162053808108,16646.89881756953,-3.0248154603883135e-11,-1.3335760459689662e-07,5983446.361889762,-5.5525032463162635e-11,0.9999999999911976,9.937624909140886e-12,1.4229474775530542,100.0,10926.40408818487,73.26920838388808
