milliseconds,Hsp90,HCom,HSF1,MisP,MCom,TriH,DiH,NatP,AggP,HSE,HSETriH,X,ROS,ATP,ADP
0,299411.3592121414,5899.470569576533,100.51818985267408,2.8139459974611215e-06,455.6738479816468,3.479861774965843e-11,-2.2341701706214183e-09,6000458.869865981,1.194486813958216e-12,0.9999999999971276,-7.520497537210702e-14,-0.06762016429439906,100.0,9998.278685192738,1006.5713426379814
100,298363.0556474812,6000.056149973281,-0.44132887560900697,0.0007978570727707843,895.9232319506157,6.15839374938104e-11,1.3946457692477107e-07,5998354.838082978,-3.4063279993697358e-12,1.000000000000269,-2.5742321061041523e-12,0.16074888404361357,100.0,10685.782229882008,312.331825276485
200,297707.1144894115,5999.494893197372,0.27739770270661684,0.0008117984056138983,3069.8532634930243,1.1051062371575882e-10,1.0518113036030036e-07,5997382.774591398,-7.099037197826529e-12,1.0000000000016758,-1.2732334005842445e-12,0.1486975438950001,100.0,10888.897448496886,117.13526548835966
300,296920.8052954028,6000.47135216641,-0.03233955359067375,0.0008092655471963963,2994.3051394686636,1.1950123527992973e-10,8.804104048838341e-08,5995751.930600192,-1.220551614095895e-11,1.000000000001416,2.201432735069983e-12,0.24227231158674384,100.0,10947.078822216174,59.999208249207584
400,294817.9011030486,6000.462266467164,0.404725341933836,0.0008096087563081097,5086.204263704361,1.2953767876209873e-10,5.725173088118129e-08,5995547.418394575,-1.8185453786557953e-11,0.9999999999965349,5.043298149819287e-12,0.44722553471098736,100.0,10959.740127923922,37.42386378095186
500,294368.4983187996,5999.593598489997,0.15827779857908206,0.0008156623316429103,6488.702312717739,1.7635208753021338e-10,3.6983617222983543e-08,5994278.006479729,-2.3408849253053724e-11,0.9999999999955563,-2.9427764631587335e-13,0.5098907815980723,100.0,10965.756642073953,36.870447920619156
600,292180.6387734786,6000.028023878812,0.31888313557545733,0.0008218447780920007,7627.932230299113,1.8326516054728632e-10,1.8033309314834003e-08,5993465.980873257,-2.2302496872035683e-11,0.9999999999974877,1.3236797713145418e-12,0.6150435325950175,100.0,10954.103336894605,41.33442933857536
700,290934.17223347473,6000.573295831341,-0.3799227834370562,0.0008261949739305719,7716.850616873908,1.459558722505905e-10,-1.1858211088318888e-08,5992345.436589026,-3.0687255365010226e-11,0.9999999999940877,4.422696676906974e-12,0.6947850901007636,100.0,10959.043370700056,41.5894936436513
800,289695.78744222695,6000.582066204378,0.6132739473694278,0.0008236926441114093,9305.544885824294,1.9202210732722617e-10,-2.9256620211538134e-08,5990232.457350329,-3.039183225542628e-11,0.999999999992266,7.387040159679927e-12,0.7459105548491847,100.0,10942.459834250127,48.92274299119407
900,288875.8850797964,6000.319201667535,-0.5227517611615209,0.0008292032561896402,10486.268739970885,9.13325108070536e-11,-4.788387251763365e-08,5990055.583778818,-3.950338214905727e-11,0.9999999999909527,6.766930249080184e-12,0.8616091309568544,100.0,10938.087853895417,58.56336622833883
1000,288537.39326012635,5999.918939638414,0.5127679697267876,0.0008317880413720141,11543.007641819493,8.4953523715722e-11,-6.422918600736451e-08,5988040.7346939435,-3.836552775397528e-11,0.9999999999943227,4.383622813314951e-12,0.9999165671960714,100.0,10936.844669412272,61.5788801843748
1100,287180.4926941633,5999.689669919915,0.3745584344277597,0.0008330834466514674,12881.87351856449,8.365428699395625e-11,-7.935380761729884e-08,5986665.027164027,-4.7412314871139497e-11,0.999999999990402,5.4505474165328134e-12,1.0301550803899004,100.0,10938.326314856833,57.70840922542191
