miliseconds,CL_m,CL_p,P97_m,P97_p,P51_m,P51_p,EL_m,EL_p,PIF_m,PIF_p,hypocotyl,P
0,0.9909106905291525,1.01073683838612,1.0038845160972816,1.0107372188435462,1.0011077636954415,1.0088877238958776,0.9941563158932103,0.9980787147025867,0.9953509175895676,0.9998186416923748,1.0006690157531455,1.002161365876953
100,0.9631666657116964,1.0536060467705934,0.9932423121566994,1.0688239749876565,0.9645454840448552,0.9790338340661261,0.9529919568969214,1.0639551810487478,0.9802875244005921,0.722713948969825,1.0096467527475803,0.8996702769680438
200,0.9397339053859108,1.0959307208944573,0.9685022339587694,1.1404451511970433,0.9165875998602951,0.9672762343694489,0.9203358781640432,1.1152382138927983,0.9711877215785272,0.5288717529550964,1.017670983513206,0.8131499853672335
300,0.8986098046964504,1.1219250844874515,0.9574769479980841,1.1991957162894145,0.8806916295583115,0.943872748556457,0.8850341554709723,1.1583874597781303,0.9629696937547548,0.41142823677214996,1.0219592878535109,0.7367324859016974
400,0.8518062353604258,1.1322108370877526,0.9548961092849025,1.2626454861673018,0.8546328102276466,0.9258281737783262,0.8463463556979971,1.2013257699995157,0.9425590146784198,0.31765564340894964,1.0270600169576511,0.6755304987636352
500,0.8330627898247607,1.161015277781429,0.9281267216873872,1.3261003166585204,0.8192133307594155,0.9104817135197689,0.8172323460790438,1.241076471770944,0.9317253446888144,0.26503439785219823,1.0299362102559717,0.617439814534949
600,0.789619184246467,1.1800776135595443,0.9210171781228759,1.3649033127539236,0.7890083120799697,0.9057686294589457,0.7817828828293215,1.2770736106592258,0.9227020350404366,0.21734399685288502,1.0343059612882588,0.5510854602870789
700,0.7632979891654662,1.1804803019560672,0.9012060779642966,1.426770108578601,0.7509052307599938,0.8823033709597907,0.7388532112209795,1.3006726658355126,0.9158416537664651,0.20126081779137542,1.035746785920578,0.4862670543494256
800,0.7217652540001958,1.198736890642673,0.8806651842181852,1.4661704848051078,0.7238160256897243,0.8586455543574655,0.7224795785203851,1.3214700764253435,0.895667981443769,0.17906292769675047,1.0385654061767424,0.456058626391406
900,0.6943641225323313,1.1989796261972427,0.8587771029872397,1.5175985715317197,0.7041899931472692,0.8407080911053472,0.6814934274108498,1.3430639602382575,0.8901195155989365,0.1661352517654472,1.0411033220631996,0.3949392330446376
1000,0.671214659686031,1.1957050463764891,0.8566830082977692,1.5533561242297986,0.6769351515934953,0.81187202998945,0.6656908365264006,1.3623568908577013,0.8791553576580861,0.1633009625362494,1.043328390318838,0.37925713951683976
1100,0.6276808814950291,1.2042599818858544,0.8270212284613424,1.6029440113231879,0.6434479112777014,0.8044563178690461,0.62683903605905,1.375767725688163,0.8671008598980107,0.15006177432105527,1.0454102153113722,0.33601317355771115
1200,0.6197540125207602,1.1879256314767546,0.822620441187089,1.626395226710748,0.6271612495044773,0.7816791475668586,0.6164645073232145,1.3883449646384445,0.8513440304080254,0.14198966949000227,1.0455890916771466,0.2935165418708736
1300,0.5855017746059872,1.1711365366953332,0.8063114242832758,1.6806997957080867,0.608934397549985,0.7518211952558872,0.5936438376877641,1.3942805514667698,0.8382387387012317,0.13875685092044598,1.0467328926203965,0.27256979022696654
1400,0.555553818420891,1.1500279328092,0.7819379885254155,1.710261660578688,0.5868688395500672,0.7313673969954592,0.5700642310597852,1.4022809573858392,0.8245732066178767,0.13605030465319273,1.0495812059956957,0.2500870712783963
1500,0.5205678707888513,1.1479500964052889,0.7698836095235306,1.72450194721167,0.5657118034076276,0.7132161859423154,0.5409929423612981,1.4005236488581345,0.814775082530359,0.13261770712018467,1.0502783940404798,0.22652824092682183
1600,0.4993429739662602,1.1392105853837635,0.7592921474545176,1.7438544637774036,0.5476105678218062,0.6882984208596236,0.5246612719116385,1.401271264305814,0.8089553847298917,0.1317152317575771,1.0518461134699413,0.20923496403292285
1700,0.49663655481157215,1.10285740222541,0.7325434234339312,1.7730757701235995,0.528886517383385,0.6789035201812822,0.505283222490449,1.404743745743433,0.7983714893792134,0.13138819025080803,1.0546566771067925,0.1772818085083447
1800,0.47318135499755615,1.0922877854412019,0.7270788394774458,1.7961015880195101,0.5208473359953356,0.6662415935348659,0.49535452829352117,1.4036966348414082,0.7823915034873303,0.12362667658891033,1.0560925535626275,0.17397805251554488
1900,0.4462963499865919,1.0787913617434375,0.7041247873175728,1.8180157676117334,0.49891102724334296,0.6426148554496275,0.48917508909530266,1.3988916050060125,0.7754329076087992,0.12640697439269993,1.056262158029294,0.1585880956919636
2000,0.4357100767025126,1.0641976497608827,0.6912113750112342,1.8299682423953494,0.4854084822023217,0.6268573137912379,0.4746613817167541,1.389530991463377,0.7636228370875744,0.12640380219593914,1.0578661873156878,0.13799022496450694
2100,0.4080610148745725,1.0333032706136926,0.6846296287228555,1.851570682682483,0.48651469266832925,0.5984650620858963,0.453248849946423,1.3873526794529296,0.7521892010644612,0.12131786917668189,1.06057599457812,0.12238463757610053
2200,0.3968002332243863,1.0102148784782174,0.6773846357082014,1.88153602679231,0.468847327747775,0.5826021904723897,0.45248953026359895,1.3754301070636608,0.7374953877678752,0.12634851614813078,1.0625193097096803,0.09957743917746567
2300,0.36786544117556924,0.9799428565513013,0.6538475061973616,1.887801199980233,0.45819790879182626,0.5756906765802532,0.4346073925382588,1.3674769337788857,0.7284571043695324,0.11317170534329903,1.0644751685615246,0.11225532667370483
