milliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,67700.0,1000000.0,100000.0,1000000000.0
100,69325.92000632842,1000873.3111476855,154728.3634152847,999999608.001494
200,70869.71018520129,1003015.0624319364,156910.53138643244,999999218.0185698
300,72452.39404402676,1005195.8037126884,157358.78817148236,999998829.9531
400,74079.50704111609,1007374.3758307593,157749.4972584529,999998443.5079463
500,75752.78445002834,1009548.8362110788,158137.14492351428,999998058.3787796
600,77473.8995999402,1011718.4955933038,158523.62069390385,999997674.2601902
700,79244.59873801397,1013882.6927666215,158908.69193642045,999997290.8453319
800,81066.69540674331,1016040.7433409737,159292.25811748835,999996907.8258314
900,82942.0734348083,1018191.9413558393,159674.24650224936,999996524.8914615
1000,84872.69954386535,1020335.5568276693,160054.5598641489,999996141.7295659
1100,86860.625979697,1022470.8348878319,160433.07828363494,999995758.0246674
1200,88908.01389592068,1024596.9886107914,160809.67788955296,999995373.4571946
1300,91017.12914828968,1026713.2002419295,161184.2339567556,999994987.7033223
1400,93190.23648191929,1028818.6524597603,161556.62074923064,999994600.4390403
1500,95429.84111989285,1030912.4575345877,161926.70409510168,999994211.3299332
1600,97738.335865918,1032993.7608144648,162294.3533358376,999993820.0461639
1700,100118.46292226501,1035061.6062133542,162659.4234009293,999993426.2415315
1800,102572.87240050438,1037115.0642389214,163021.7727749344,999993029.5741928
1900,105104.50714528433,1039153.1200723968,163381.2346354991,999992629.6865051
2000,107716.32807510199,1041174.7538118872,163737.64743068063,999992226.2208823
2100,110411.48957960815,1043178.8906616064,164090.85314275444,999991818.8069478
2200,113193.25111313151,1045164.424840544,164440.68210842912,999991407.0698197
2300,116065.02807774738,1047130.2072929505,164786.95649108125,999990990.6237414
2400,119030.37023678645,1049075.0504765492,165129.49392308426,999990569.0751575
2500,122092.98672281456,1050997.721892678,165468.10279655,999990142.0203223
2600,125256.74842697213,1052896.9438063195,165802.58168879664,999989709.0446512
2700,128525.68084106769,1054771.3946573045,166132.72493860323,999989269.7239724
2800,131904.0126930059,1056619.6964536284,166458.31791737748,999988823.6198729
2900,135396.11689572857,1058440.4304974484,166779.13852715478,999988370.284977
3000,139006.60983641152,1060232.1112966135,167094.95649619016,999987909.2543033
3100,142740.24862240683,1061993.2134266011,167405.5337115395,999987440.0541561
3200,146602.0677212731,1063722.136706512,167710.6204772221,999986962.1901345
3300,150597.24572293038,1065417.2397207948,168009.961022796,999986475.1589242
3400,154731.27038380495,1067076.7990229977,168303.2858840941,999985978.4335876
3500,159009.78390985198,1068699.0470722488,168590.3191069697,999985471.4773889
3600,163438.79627442206,1070282.1204557985,168870.76900894288,999984953.7248708
3700,168024.48186598514,1071824.1090715495,169144.33667096845,999984424.5998269
3800,172773.24989160761,1073323.0391174455,169410.71302803865,999983883.509086
3900,177691.87065136986,1074776.8434621238,169669.57565233015,999983329.8314155
4000,182787.49419237717,1076183.35733273,169920.58842535855,999982762.9158862
4100,188067.33160654746,1077540.3932077428,170163.40991089828,999982182.1098849
4200,193538.94469767137,1078845.6728885325,170397.68584784248,999981586.7336568
4300,199210.59088254458,1080096.750666082,170623.03790073565,999980976.0499368
4400,205090.45310863672,1081291.1866517842,170839.08807877154,999980349.3317386
4500,211187.178621321,1082426.425569522,171045.44178164593,999979705.8149313
4600,217509.90055415785,1083499.7916352074,171241.66734269736,999979044.6971345
4700,224068.17447855853,1084508.503021996,171427.30831950484,999978365.1428975
4800,230871.8322443307,1085449.7051129863,171601.91012427962,999977666.2956904
4900,237931.1915859674,1086320.424173419,171764.99339799906,999976947.2605186
5000,245257.0864779872,1087117.572045019,171916.12892505192,999976207.1006651
