milliseconds,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_1
0,328239.9850005233,492433.15229146293,923.8056375369679,28.049057629027377,0.005126908312442518,-46.47618574238082,-5.0943188810802615,-2312.6537046434187,7.522385890930965,0.027429257241056146,-1445.4709391257716,-16.767263121779823,-60.963048448847026,134178.22613583584,5470.105303975381,0.025931026391098278,345117.5725483006,97361.77624468355,514641.2787731122,0.008333095353337889,-0.24367461796443476,271722.7739910516,8103.012989109705,64986.50288181704,101254.65561199178,230078.43262587267,-775.5574484547519,181148.21129178835,151887.22737428127,115989740.36996706
100,328375.45210191765,492423.89948120166,132211.21925998692,5345.303327578503,-0.004999116058986911,7977.96955529075,6.990636661031964,489596.102395639,-3.9207547045460345,-0.0019477899379185893,92549.52987890465,25.195986379332666,54.18571233190776,505.0141149132478,-2.938332549375694,0.03624124568527686,345116.9836763402,3842.5550645852973,14608.583925126866,-0.0017581427022970804,3.464460918623221,271724.692182982,168.772794732373,2989.7748400775918,101179.64804782163,230078.35500419335,62510.48693332978,181146.68822171364,151843.75050828126,115205603.83333176
200,328090.001761965,492283.9773393136,132715.32023746741,5470.029597862119,-0.005139137987291791,8146.783715138807,6.4404137832959245,512306.1088179506,11.830922105741465,-0.007147542049740331,96850.21082550305,28.406058184870965,112.71102948769504,1543.1813480933229,-4.897319878357364,-0.01650603855465151,345117.1911235564,-371.84672510082555,3244.208247620034,-0.0055434980407540226,6.420313372977937,271722.8490287479,107.07181757529717,661.8471510161996,101221.51564734148,230078.1195249313,64256.577257152756,181147.0516977506,151774.2430507342,115180227.12968165
300,327971.2919812158,492157.7094979181,131380.17652028715,5467.847492874789,0.00023240147797807577,8257.470491889495,11.41380824667258,502850.7304530805,23.017176668346245,-0.006013813244637445,97924.42226182739,85.97048076868778,82.66889344432957,-1124.2850480533114,81.8438903776025,0.02763287410049066,345117.43028357904,133.21675490269573,3337.642111769127,0.009058957462523262,11.096672104485744,271721.220994697,-10.521184820709278,-38.427283585139,101190.53078748712,230078.1721380971,65435.65545837396,181146.2736772709,151755.32221966927,115177622.82090932
400,327676.1959732064,492068.3756438482,133565.15106443904,5394.222831367652,0.008688367237797975,8175.9033453381235,11.661414413438987,504079.85153729987,51.78819449561711,0.03131158198414305,98147.53950849417,47.200629973329484,115.00277666971633,-895.5654316299892,76.97178709207907,0.029614724276120705,345117.0716188632,-389.5454789009302,-3076.9694743340647,-0.008912384314851857,8.778707718800762,271715.31518648786,96.17103926392548,-193.87207221209104,101114.87305875961,230078.1123918127,65634.99562651836,181145.68399507724,151674.17289372266,115171027.10676725
500,327773.6996956398,491321.1733725312,132745.37004256147,5474.1223690963325,0.006928997232675271,8111.979691170283,14.907069159351357,503196.01180811826,72.21807242069139,0.025873756707847174,97594.25100348765,101.33186394885254,198.64955466992353,-563.8862692212502,-9.658249212992388,-0.019123360671860094,345117.01598685666,694.5548949045583,1272.5353096603649,0.005920519707881671,9.672213740286194,271715.8051544604,79.8755245164023,551.3536983337785,101121.34374757558,230078.1801197975,65194.30115970267,181142.00702223025,151662.6990367759,115175487.48164813
600,327488.72010526014,491302.5736359815,132968.9505331777,5517.128904094573,0.007594150786368339,8163.890798795674,19.004334484964286,510427.81753846235,82.10102097379695,0.023002502743861716,99089.32089848841,113.61607908734301,222.78606560028103,731.310804166935,67.12208219114365,-0.024539330884247403,345117.1368512211,-678.7315123043976,1134.9709751909338,0.0011226478558793137,11.379664011029437,271712.93747907295,-30.963796578883013,-58.40512933409388,101097.3832339133,230078.25925239184,66515.40592566099,181140.7170286856,151583.15316904144,115185434.38343802
700,327287.659843473,490888.39139113773,132168.30941514205,5436.292350566781,0.0016830193602088935,8348.78393194954,27.67067904947278,506937.9618165445,105.25680983887626,0.029828279691615806,99311.37679730791,122.37401354135207,245.27452893661922,731.5055341775534,11.80185933188234,0.03967261577627884,345117.0230428958,-512.1620066553721,4456.11219046847,0.011778659683654429,17.561572337976695,271714.2742589369,6.565598127322453,27.691905618007127,101078.10975614558,230078.3043618444,66835.1583625874,181139.3502659671,151549.75820273557,115191723.62224674
800,327346.3996624068,490735.29804499936,133787.90587550408,5510.118431962863,0.007856980878248425,8381.915642270162,29.59420151597961,500793.88784326235,95.30534758039333,0.050707759254108115,99507.16844162089,147.88647429247277,284.83384245395143,666.9505651388835,-30.866019904216202,0.02155361625248603,345117.32498297666,763.7410761557879,-3283.1940279107034,-0.0012363998640654902,22.24710889502991,271709.0311341694,-9.93278136459725,-149.9520414160929,101034.5637326091,230078.11602660356,66072.50583401765,181138.3986053613,151587.14628745502,115184753.16269284
900,327200.07801274187,490797.92428590654,132792.807111227,5569.564026093072,0.0008992364225269044,8238.964712327292,30.59993380559197,503771.9276412095,99.88830472342019,0.048901579826824124,98414.86194872578,173.03404884701288,298.53856840806856,1935.7295051415313,27.693930606769833,0.040648225887412036,345117.2837081376,1216.7793744635826,2786.33315380335,0.0031025340568884546,23.08436715485808,271706.5033420139,-67.1348186070707,-519.7893512548279,101020.56226825749,230078.10941961352,65971.41049319704,181139.46888781543,151483.97079247743,115190433.47080342
