milliseconds,m,h,c
0,3.649452244924287e-08,1.1001734081850347e-05,0.023008011374700925
100,3.649973364387084e-08,1.1002823041864497e-05,0.022997150053842057
200,3.6494114031903396e-08,1.1002733587034293e-05,0.022978880125486434
300,3.649129839460799e-08,1.1003017392259024e-05,0.02298660690561958
400,3.648642275582384e-08,1.1005244963534765e-05,0.022977205719677995
500,3.6482150287971406e-08,1.1008374863972464e-05,0.022950386733196774
600,3.6474833275000526e-08,1.1009906556902703e-05,0.0229450448329557
700,3.646897902389535e-08,1.1011847168181919e-05,0.022955539418654372
800,3.646677784483127e-08,1.101283539853032e-05,0.022928840576318322
900,3.646075189458014e-08,1.1013986272956315e-05,0.02293978922543814
1000,3.6449952165349126e-08,1.1013732380925663e-05,0.022924183559509634
1100,3.6443538969975905e-08,1.1015815864657265e-05,0.022926028489518253
1200,3.644241890585427e-08,1.1016615289807796e-05,0.022907272546539403
1300,3.6440890349913175e-08,1.1017903729356328e-05,0.022890055759387302
1400,3.6434231185072727e-08,1.1022844633968283e-05,0.022881803082446164
1500,3.6429927949493086e-08,1.1024942077528468e-05,0.02288487515393725
1600,3.64151060399429e-08,1.1025322498596455e-05,0.02286484300992844
1700,3.641513971560704e-08,1.1025654734745238e-05,0.022866079806978246
1800,3.64175056441638e-08,1.1028009787672158e-05,0.02287177170986894
1900,3.64017928090492e-08,1.102918304628284e-05,0.022855129234407086
2000,3.6396473149275626e-08,1.102887641919156e-05,0.022842381384361846
2100,3.6389576987600144e-08,1.1033571288819734e-05,0.022840456828093873
2200,3.639570415114524e-08,1.1033320520459096e-05,0.02283087371147845
2300,3.6392433245458496e-08,1.1036282937058347e-05,0.022820754354732756
2400,3.637982130820878e-08,1.1037381267279734e-05,0.022818699688146184
2500,3.6376107780536896e-08,1.1036430559806459e-05,0.022810608840463337
2600,3.636521519263889e-08,1.1038671576106126e-05,0.02279901766974749
2700,3.63665684805739e-08,1.1043086353056058e-05,0.022782737690575653
2800,3.635816632081567e-08,1.1043293863549484e-05,0.02278625462901734
2900,3.6358033195026346e-08,1.1043789048222193e-05,0.022776028889680767
3000,3.635755512796049e-08,1.1046860751836898e-05,0.022769109144107146
3100,3.6350082813108435e-08,1.1045644925638228e-05,0.02276038949082496
3200,3.634042475802392e-08,1.1048688885688041e-05,0.022741856314298838
3300,3.633139480907617e-08,1.1048320228396466e-05,0.02274082087966801
3400,3.633004645330023e-08,1.1049229399576e-05,0.022745971473508056
3500,3.632855055035271e-08,1.1054621311262334e-05,0.02273187360240747
3600,3.6329715927061964e-08,1.1054216630349199e-05,0.022729400547537144
3700,3.631498763802176e-08,1.1054091110094949e-05,0.022718611085499045
3800,3.63190811572026e-08,1.1057936744838622e-05,0.022699476684930192
3900,3.6313215385690875e-08,1.1057910755436734e-05,0.022696968229413444
4000,3.6305872833507836e-08,1.106163043370231e-05,0.022696747983412157
4100,3.629366792508838e-08,1.1062769730868647e-05,0.022686361797745493
4200,3.629297445103934e-08,1.1065067623784522e-05,0.022674931115671697
4300,3.6282140064965784e-08,1.1063924443343992e-05,0.022657892319696324
4400,3.627898097395201e-08,1.1064435708796833e-05,0.02265427065876508
4500,3.628575105839583e-08,1.1067044782469634e-05,0.022648791041438236
4600,3.626720391579113e-08,1.1070971196284255e-05,0.022654643780942924
4700,3.627087838665464e-08,1.1071162006776134e-05,0.02263450108561631
4800,3.6270704259714674e-08,1.1072098013522449e-05,0.02263807315853013
4900,3.6265435079136876e-08,1.1072133368926654e-05,0.022620495764029365
5000,3.6253228621922474e-08,1.1077357467486654e-05,0.022611404471438053
