milliseconds,m,h,c
0,3.649277796942255e-08,1.0999881838943374e-05,0.02299155682883177
100,3.6490057578507826e-08,1.1003119849720146e-05,0.0229955402200254
200,3.6483883938946044e-08,1.1004119728908926e-05,0.022991861337607566
300,3.648735226989235e-08,1.100553952660615e-05,0.02297956028615218
400,3.6480046451571556e-08,1.1004901007157857e-05,0.022961030220847566
500,3.648037068229673e-08,1.10074501833564e-05,0.022952682262643277
600,3.646968169284678e-08,1.1009386325949527e-05,0.02294423885041333
700,3.646826676702657e-08,1.1010018175235263e-05,0.022942177631472282
800,3.646034640279934e-08,1.101407050276827e-05,0.022946067012928263
900,3.645969961013989e-08,1.1015066066720481e-05,0.02293775827538891
1000,3.6452381875004205e-08,1.1015246552954148e-05,0.02293195006046606
1100,3.64519981132721e-08,1.1014680307197371e-05,0.02290454967112424
1200,3.6439811750837086e-08,1.1019380193478792e-05,0.022908961563055316
1300,3.644142219414828e-08,1.10192627494027e-05,0.022905790090951034
1400,3.642827422044882e-08,1.102337856600089e-05,0.022885501706140437
1500,3.6419375160365744e-08,1.1021126504756687e-05,0.02289364474503862
1600,3.6417403166471045e-08,1.10222511549667e-05,0.022879318156022427
1700,3.641362719571244e-08,1.1023831002066861e-05,0.02286006071478919
1800,3.640700589244406e-08,1.10293298029604e-05,0.022865856217704598
1900,3.640717166868392e-08,1.1029364004775302e-05,0.022842754321694397
2000,3.640359571256773e-08,1.1032581738588732e-05,0.02284317737404352
2100,3.6395946429378014e-08,1.1031529041188345e-05,0.022848495537547666
2200,3.6392184624072036e-08,1.1031750459455467e-05,0.0228287609810526
2300,3.638200102842433e-08,1.1033806072734984e-05,0.022812013326314176
2400,3.6388941022814866e-08,1.1034424316878342e-05,0.022819757172961506
2500,3.6384246540364936e-08,1.1038842021398922e-05,0.022816987793007695
2600,3.637369110957009e-08,1.1041099897331572e-05,0.022788546125061017
2700,3.636903955527111e-08,1.103976947680074e-05,0.02279796247774184
2800,3.636687317973391e-08,1.1044137595996854e-05,0.02277321665564119
2900,3.6359447716170316e-08,1.104414610383882e-05,0.022772965426323996
3000,3.634950895174877e-08,1.104422977952134e-05,0.022769515066418895
3100,3.635156780672109e-08,1.104628913970079e-05,0.02275733857277774
3200,3.6338651724142783e-08,1.1050349838877623e-05,0.022743653257525098
3300,3.633714816394637e-08,1.1048823004377078e-05,0.02273530207667234
3400,3.63389825778461e-08,1.105045119456761e-05,0.022733759028182116
3500,3.632834679028349e-08,1.1053212466408707e-05,0.02273733582198299
3600,3.63276774544952e-08,1.105249924374236e-05,0.022721063744982884
3700,3.631635886982779e-08,1.1053881401230743e-05,0.022705548751672654
3800,3.631049031627644e-08,1.1056946471982498e-05,0.02269961100732039
3900,3.6313566779706154e-08,1.1060076360435191e-05,0.02269094344301104
4000,3.6309033853542235e-08,1.1058603075885756e-05,0.02269773142411109
4100,3.6295798427637e-08,1.1062839525557317e-05,0.022688796609462797
4200,3.629453852913075e-08,1.1064291231718831e-05,0.02267699117993842
4300,3.628836188251078e-08,1.1065369874311998e-05,0.022675314548585224
4400,3.628304799503495e-08,1.1064456209262595e-05,0.022669609077362752
4500,3.627458701748113e-08,1.1066646082849049e-05,0.022658347846010757
4600,3.627621930059232e-08,1.1067442408639065e-05,0.02265605174749597
4700,3.6272228482816405e-08,1.1071228391561163e-05,0.022644403700736174
4800,3.6267570469393776e-08,1.1070597681547269e-05,0.022619809793224307
4900,3.6260245424215465e-08,1.107362695800491e-05,0.022630097467337795
5000,3.624774615568036e-08,1.1074753875234485e-05,0.022624086389758945
