milliseconds,m,h,c
0,3.650504248527831e-08,1.1001326872865191e-05,0.02299707943457373
100,3.6498349504431317e-08,1.1000409788461825e-05,0.02299339222876896
200,3.648550112480004e-08,1.1002036711213053e-05,0.022989868530677925
300,3.6482180499847834e-08,1.1005301746454695e-05,0.022986563858955866
400,3.647514599438964e-08,1.100435901412818e-05,0.02295897356834029
500,3.6474454976217064e-08,1.1008641236710403e-05,0.022951306633763807
600,3.646576703153703e-08,1.1009992193698936e-05,0.022961968442733682
700,3.646998416480796e-08,1.1010597366013646e-05,0.02294663529508643
800,3.646586953923476e-08,1.1010734814303065e-05,0.022942100393185325
900,3.645052192382737e-08,1.1014593171695854e-05,0.022921233046240986
1000,3.644351428000567e-08,1.10150655188266e-05,0.022929917001567036
1100,3.644548003812439e-08,1.1018886232696023e-05,0.022917044546001773
1200,3.6445230149147196e-08,1.1016632105241314e-05,0.022914511287759485
1300,3.643676050205019e-08,1.1021182595400358e-05,0.02290831313663418
1400,3.642435310300951e-08,1.1021167467444729e-05,0.02289209470374036
1500,3.6420098361075206e-08,1.1020574635169517e-05,0.022893106694910032
1600,3.642747785833108e-08,1.1025972780934446e-05,0.022864639335195693
1700,3.64091484547601e-08,1.1026028777362267e-05,0.022875125087047653
1800,3.641171488766331e-08,1.1025615208554896e-05,0.022862254609679198
1900,3.6399524934234925e-08,1.1030869299362111e-05,0.022850357417242357
2000,3.6408609580297914e-08,1.1030904940363944e-05,0.022850215657709557
2100,3.639622411463171e-08,1.103033468853072e-05,0.022832317589498437
2200,3.639019296392929e-08,1.1034288296992671e-05,0.022821827646552197
2300,3.637980336150363e-08,1.103506740131817e-05,0.02281869130983977
2400,3.638631345362497e-08,1.1036826109922022e-05,0.02281307359999758
2500,3.637148160442282e-08,1.1039167671639631e-05,0.022808742348850053
2600,3.637431929542208e-08,1.1041215440695862e-05,0.022802581886493853
2700,3.6369956826222314e-08,1.103876053903657e-05,0.02279261656982049
2800,3.636447389097449e-08,1.1040212136420757e-05,0.022777991522674113
2900,3.6359432460519916e-08,1.104391156700864e-05,0.02278089228792659
3000,3.6353998345631915e-08,1.1043219005643308e-05,0.02276430737231979
3100,3.634687633632982e-08,1.1047197299702056e-05,0.022765605345086076
3200,3.6342548415824175e-08,1.1048501093940801e-05,0.022758091002571416
3300,3.633678440866515e-08,1.1048615830574937e-05,0.022754092004411985
3400,3.632776112417255e-08,1.1050377912232892e-05,0.022740029580544795
3500,3.633477566256813e-08,1.105322327112697e-05,0.022731735968210508
3600,3.6323873714434086e-08,1.1052371642753385e-05,0.02272461018870732
3700,3.6324292294442816e-08,1.1057018138985681e-05,0.02272141210794031
3800,3.631500727397123e-08,1.1059167571675168e-05,0.022703867778318683
3900,3.6303706753439953e-08,1.106054068727459e-05,0.022701426262653198
4000,3.630985005200752e-08,1.1058230450832943e-05,0.022701160689394234
4100,3.62960220050016e-08,1.1062508247593085e-05,0.022693167735358972
4200,3.629801743368144e-08,1.1063354196376887e-05,0.02267970676738103
4300,3.6294896891139536e-08,1.1065196160766289e-05,0.022669117581473407
4400,3.628651221953188e-08,1.1067252364732304e-05,0.02266072974023805
4500,3.6279233088992095e-08,1.1066522109425198e-05,0.022660659287279308
4600,3.626936776022768e-08,1.1068445907384704e-05,0.022636346725589226
4700,3.6265292702178535e-08,1.1071490066132333e-05,0.022627128908170684
4800,3.626655511985301e-08,1.1070299978055233e-05,0.022626214610297606
4900,3.626540787946169e-08,1.1075810177188102e-05,0.022616338572962535
5000,3.624879791545136e-08,1.1076175332478681e-05,0.022617609366374247
