milliseconds,m,h,c
0,3.649401113345979e-08,1.099850357245942e-05,0.02300553570905374
100,3.650123771882696e-08,1.1000710788206625e-05,0.02300330466227561
200,3.648543378246034e-08,1.1002978155421065e-05,0.0229840490177412
300,3.647943855387887e-08,1.100652912143194e-05,0.02297463165013318
400,3.64786731848108e-08,1.1005275723538623e-05,0.022978356054340874
500,3.647477148371508e-08,1.1006663384445107e-05,0.02295447613858108
600,3.646740013949662e-08,1.1011241581396665e-05,0.022951766958444607
700,3.6460968498827544e-08,1.1008749263073349e-05,0.02294110505571369
800,3.645659702537862e-08,1.1014345282400724e-05,0.02294032232945482
900,3.644920147044957e-08,1.1013916195730146e-05,0.022928496058579956
1000,3.644533700586913e-08,1.1015220723359956e-05,0.02292519110085523
1100,3.64516429197567e-08,1.101518503136146e-05,0.022906702943273505
1200,3.6447920615904295e-08,1.1016822234668189e-05,0.022898492835953087
1300,3.643464083126778e-08,1.1019780008244076e-05,0.022906365022304462
1400,3.643335857891352e-08,1.102352544165757e-05,0.022896326523631355
1500,3.642284784444824e-08,1.1021612811611746e-05,0.02289016830819077
1600,3.642652594041889e-08,1.1024608358576676e-05,0.022875805411774947
1700,3.641235600281301e-08,1.1026613656485477e-05,0.022861372217153182
1800,3.641491927191661e-08,1.1025663471253166e-05,0.02287005297635038
1900,3.640635566054421e-08,1.1029912084875519e-05,0.022844272931475788
2000,3.640590634922991e-08,1.1032570820957964e-05,0.022847258057440978
2100,3.6402076615022585e-08,1.1029764881481763e-05,0.0228407132246516
2200,3.6396448369238325e-08,1.1031274360713288e-05,0.02283678947694694
2300,3.6382018193341504e-08,1.1036483956354523e-05,0.022820302255898414
2400,3.6387765926075934e-08,1.1035915583444112e-05,0.02282497196748242
2500,3.637953475291835e-08,1.1039419797924135e-05,0.02280105595525491
2600,3.637375401448233e-08,1.104093365305256e-05,0.022792925925879448
2700,3.637012191282584e-08,1.1040767325335061e-05,0.022797316170715884
2800,3.6364937714259115e-08,1.1043734952175652e-05,0.022773731059622476
2900,3.636242110843441e-08,1.1044846727191308e-05,0.022769830987294147
3000,3.63580008375031e-08,1.1043628397132592e-05,0.02276009903779624
3100,3.6341145807055114e-08,1.1047125080352242e-05,0.02275338101673529
3200,3.633603145922643e-08,1.1049211961680497e-05,0.02274888691026645
3300,3.6337385344875715e-08,1.1050600513195552e-05,0.022753642229474142
3400,3.6330921909618796e-08,1.105024581271782e-05,0.02274755585649264
3500,3.632482972827543e-08,1.1051544643671188e-05,0.022720089312357094
3600,3.6327839019273246e-08,1.1052775122376613e-05,0.02271070686386687
3700,3.632158371346321e-08,1.1054132421427903e-05,0.02270564582160627
3800,3.630893028178874e-08,1.1056036759190507e-05,0.022708685765249988
3900,3.630621779447248e-08,1.1061049308531865e-05,0.022690542069833928
4000,3.6308667117437956e-08,1.1062202061774548e-05,0.022689623864139925
4100,3.630231705954148e-08,1.106261001527806e-05,0.02268776486201218
4200,3.6291120075959886e-08,1.1061985344057645e-05,0.022681373892148384
4300,3.629190817767509e-08,1.1064698448931423e-05,0.022676089119970044
4400,3.628467706183475e-08,1.1066822200744326e-05,0.022672032757243103
4500,3.628038707261236e-08,1.1067941131782618e-05,0.022655111715726192
4600,3.627807453328253e-08,1.1068519605502501e-05,0.022654647226760576
4700,3.6275305515588935e-08,1.1071621782728842e-05,0.022644177741334533
4800,3.6264400645717444e-08,1.107149129314412e-05,0.022621164435811227
4900,3.6263269926803316e-08,1.1075232823668898e-05,0.022627987391101268
5000,3.625039789418173e-08,1.107721161155781e-05,0.02262021349506245
