milliseconds,m,h,c
0,3.650388696461214e-08,1.099996586033286e-05,0.023001504477748992
100,3.649223716237881e-08,1.100238333035658e-05,0.02299385196353871
200,3.6485151336346325e-08,1.1005057831680317e-05,0.022993859629993865
300,3.648787085336667e-08,1.1005400679828955e-05,0.022981236644149906
400,3.647812661912084e-08,1.1005998424086078e-05,0.022978525190142655
500,3.6478999443085577e-08,1.1009173475432111e-05,0.02296744546045169
600,3.647394382185693e-08,1.1008433642122104e-05,0.02294556186101682
700,3.6464338544848534e-08,1.1010043483780998e-05,0.022940577110221055
800,3.6461626126294994e-08,1.1012279330916115e-05,0.0229465382432235
900,3.644841483820483e-08,1.1015818819287622e-05,0.022931279786759847
1000,3.645130068640677e-08,1.1016152102980775e-05,0.022929804094741747
1100,3.644473871563022e-08,1.101621348703245e-05,0.022922331470437336
1200,3.644315172331841e-08,1.1020015268968808e-05,0.02291646540545172
1300,3.644062450806127e-08,1.1020941433095244e-05,0.022906152256045927
1400,3.642511410928743e-08,1.1019810792330467e-05,0.022898690386290416
1500,3.6421459737013436e-08,1.1024421673262127e-05,0.022892375148791902
1600,3.642081683961478e-08,1.1022269084703423e-05,0.022872696561383486
1700,3.641620058398097e-08,1.102511077018904e-05,0.022858775580739562
1800,3.640905675090166e-08,1.1027293322921045e-05,0.022870564841466347
1900,3.640448880495431e-08,1.1031029956301494e-05,0.02285223435988834
2000,3.63957640499277e-08,1.1029917290108758e-05,0.022839256711697058
2100,3.640109325082587e-08,1.1030420429447278e-05,0.022848713402915114
2200,3.6388521353646696e-08,1.1031580450350659e-05,0.022826352359802227
2300,3.638940850148162e-08,1.103669822748134e-05,0.022817930098326895
2400,3.638385270441901e-08,1.103624291369498e-05,0.022812579865406662
2500,3.6381918625676796e-08,1.1037934789312403e-05,0.022813427639909963
2600,3.6373940243981295e-08,1.1038357703009743e-05,0.022794738890657303
2700,3.636167944242634e-08,1.1038824841240307e-05,0.02278260556246707
2800,3.6356414996594744e-08,1.1042021659350076e-05,0.022793488594609414
2900,3.635310978679328e-08,1.104421144202119e-05,0.022765680178690864
3000,3.635145467865852e-08,1.1046416352480257e-05,0.022767882617670154
3100,3.634558425801182e-08,1.1045708834275528e-05,0.022767100188353012
3200,3.633962698256665e-08,1.1046572820742383e-05,0.022747119350354582
3300,3.634499426888658e-08,1.1050149733075562e-05,0.02275064643054362
3400,3.633509433618379e-08,1.1049497589938812e-05,0.022747985974515366
3500,3.6330909249240494e-08,1.1052592096182507e-05,0.022725180221521007
3600,3.63195599105091e-08,1.1052787038204589e-05,0.022711496071833523
3700,3.63154010565611e-08,1.105600097802902e-05,0.022712749338059546
3800,3.631593501809445e-08,1.1057265643191473e-05,0.02269654764848275
3900,3.63068657245488e-08,1.1061091164387416e-05,0.02270978887739625
4000,3.6306909440954867e-08,1.1062029388357018e-05,0.022685068859764786
4100,3.6300079310215497e-08,1.1063574219259463e-05,0.022683883180711625
4200,3.6297400318367967e-08,1.1065163386799185e-05,0.022674705102162174
4300,3.62836479260982e-08,1.1064757610503437e-05,0.022668401897579474
4400,3.627715304738205e-08,1.106612366678725e-05,0.022656056112700794
4500,3.627796287792724e-08,1.1066339926740666e-05,0.022657080660039942
4600,3.627768561025446e-08,1.1069565088195741e-05,0.02264156053388762
4700,3.627143295109406e-08,1.1071685103645779e-05,0.02263012434851163
4800,3.626371906956626e-08,1.1073136247287018e-05,0.022634501818983875
4900,3.6255755886000687e-08,1.1075459808156629e-05,0.0226217858496898
5000,3.6255228462654064e-08,1.1075108271024202e-05,0.022615135707766767
