miliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
0,1.072035504775643e-15,-1.447164993066154e-15,9.513160099148237e-16,-1.2965897320598596e-12,-3.177216704788452e-10,9.960079499454882e-08,0.0599999916450831,5.934073457376173e-24,6.160112520568394e-11,9.97660679087788e-24,3.8809972277437296e-16,6.102211756267044e-08,-1.702264368215695e-09,5.314758823150679e-18
100,-1.890559874051159e-15,1.072160047874819e-15,-9.830456266648439e-16,-8.854201129844098e-15,7.225646662712956e-10,3.6578384570300427e-07,0.059999861970309945,-4.241626886724651e-24,7.973098623188272e-11,5.756925401946682e-24,1.180046580047804e-15,1.585165573122104e-07,2.8500294282425105e-09,-3.094651311918284e-18
200,-1.8877328855014563e-15,-3.2584178253210887e-16,1.1876254141413994e-15,4.972242839059523e-13,7.606832953141768e-10,5.946676435634367e-07,0.059999714979531424,-1.026444072840613e-23,-1.2368872163844438e-11,2.7900341483064894e-24,9.703323505977709e-16,1.7333234179458832e-07,1.48255549412833e-09,-2.893233442908664e-18
300,2.1758330095998006e-15,-2.2098081145000147e-15,-5.572121007720317e-16,-1.2075801354983421e-12,1.5179184966819198e-10,7.388992460566707e-07,0.05999967194340418,1.0342059993159348e-23,9.670357170923253e-11,-1.1800321392828424e-23,9.785640247940976e-16,4.102762251049053e-07,-9.610270993378132e-10,2.563506460457291e-18
400,1.568337551376598e-15,1.9184416682782245e-15,-1.332899226165625e-15,-2.147677319284062e-12,2.6178961131779353e-11,9.143544025383846e-07,0.059999499230090556,5.785029571737012e-24,-2.3560934330448008e-11,-1.1384293594213935e-23,-1.2015197396845472e-15,4.07982576882496e-07,3.018904719340925e-09,-1.0464515316211874e-18
500,-1.4723648539899757e-15,-2.0223895187961026e-15,1.2138303770671843e-15,7.705624827090184e-13,3.8666769944719107e-10,1.1642819398287062e-06,0.05999936927952661,-1.7229336366524754e-24,3.947915583656716e-11,1.2994333225788244e-23,-2.1142149000443056e-16,6.396505213941687e-07,3.8431653298873985e-09,-1.1185101678476169e-18
600,-8.348291100384335e-16,1.6266663003525928e-15,-2.077860678538791e-16,1.0252355289886655e-13,3.3242364366319184e-10,1.6808354030811596e-06,0.05999919232805366,5.9784330894897255e-24,5.651552519624946e-11,8.240041969540612e-24,7.57680124369932e-16,6.48277344096637e-07,3.091944478464923e-09,-1.5099177564879553e-19
700,9.155073652816861e-16,1.7719615763819246e-15,3.921463312859232e-16,-2.0091389329203225e-12,2.294984168358309e-09,1.7141294825758626e-06,0.059999097635184406,1.0647220196450944e-23,-1.7964421891035897e-11,-6.746086988852307e-24,9.152871975049172e-16,8.862923591148943e-07,4.097672227800986e-09,1.010361069782418e-18
800,1.0081273940549527e-15,1.700153893536326e-15,-3.74445660633526e-16,2.598485541221154e-12,1.9395268735010636e-09,2.0411122352553095e-06,0.05999907042661576,-2.595126369586005e-24,1.1403393411288963e-10,-2.2809632780305696e-24,-1.2096263399092743e-15,9.100591484048165e-07,2.0211586709843827e-09,-5.3970009939313e-18
900,1.4129475880077892e-15,-5.830054537145744e-16,2.062548237313634e-17,1.7842476820084928e-12,3.4988461071529523e-09,2.3845810933429686e-06,0.05999892421674065,9.375154000749723e-24,4.4962304408684186e-11,-1.0852559918958785e-23,-1.012220972981103e-15,1.1278347819275554e-06,7.436632643571883e-09,-6.030254148428786e-18
1000,1.6090430623383924e-15,3.002602999402899e-15,1.4797726967706311e-15,2.5148190877236585e-13,2.536236781873909e-09,2.3751807108310916e-06,0.05999887482780641,-4.5577376602953114e-24,1.4144021452963156e-10,-1.2481060525547042e-23,1.184910852254446e-15,1.269420455593589e-06,6.4506459222130815e-09,5.439980534673778e-18
1100,2.6853935534648627e-15,2.7701252743300255e-15,1.5623806458265095e-15,1.1583178623986407e-12,4.756032494633713e-09,2.7982267628445986e-06,0.05999863298195325,6.673049415930394e-24,8.638912938485951e-11,1.0323637019194321e-23,5.939414501730697e-16,1.238322172058051e-06,7.4142785319089004e-09,-4.832137993186529e-18
1200,2.6981517054084394e-15,1.667368356304751e-15,-6.196776144753052e-16,7.658465781552482e-13,4.9811210386366764e-09,3.0733414525085987e-06,0.059998603431835176,-1.1132646950878147e-24,3.0243860475809755e-11,1.4778457695091462e-24,1.6912712497979997e-15,1.5151781471541652e-06,1.3067125872300953e-08,-2.1105328920266185e-18
1300,2.8088897805981564e-15,2.008062575905984e-15,1.3208146616376561e-15,2.816175931205809e-12,5.134397321558463e-09,3.387862222481512e-06,0.05999848329572965,-1.0570116408191692e-24,9.294103897515811e-11,1.2370568636257055e-23,1.0544819790112265e-15,1.569552575660961e-06,1.2346678002590238e-08,7.179237010977967e-18
1400,4.8424462515472e-15,4.6057911524655114e-15,-9.385195386670209e-17,3.552564240860751e-12,4.982826045114387e-09,3.3204654450795988e-06,0.05999834569274578,4.176258558921463e-24,8.412608291020759e-11,-6.056585504908381e-26,1.4488374314610703e-15,1.7384109051464637e-06,1.4453443231347524e-08,7.437175849095057e-18
1500,3.0509833273016286e-15,4.4684035251278285e-15,1.0346234272897078e-15,2.8475571896501615e-12,6.59740512931674e-09,3.910216184993959e-06,0.05999813546883669,-9.762679294951989e-24,2.909737079109415e-10,6.334165590726339e-26,7.104951709750182e-16,1.7383162393132983e-06,1.711560587864843e-08,1.3097672656885883e-18
1600,3.4235887483153484e-15,3.1073856112656956e-15,4.959923271384585e-16,8.645732390380955e-12,7.724251824698094e-09,4.176214844510214e-06,0.05999816668903466,-9.860852700239411e-24,2.294813837186898e-10,-6.140729821088955e-24,2.0078637872423107e-15,1.9724695031066285e-06,2.0561287022710707e-08,-1.5229677912179217e-19
1700,5.018089357029211e-15,4.030380290500774e-15,7.621028722894951e-16,9.620676631677676e-12,7.688838852270369e-09,4.421633910690197e-06,0.059998011247239774,-4.268762196141827e-24,2.903971322355746e-10,-1.3159195608473409e-24,1.4594908482473e-15,2.1117908792286645e-06,1.979707346585342e-08,-2.4262675304989577e-18
1800,8.574443821240179e-15,8.546064025454734e-15,5.371157265609099e-16,8.466860965131213e-12,8.833550349197856e-09,4.44201294848594e-06,0.05999779304323631,3.556038014250364e-24,4.244836082443017e-10,8.692260687567361e-24,9.875158326659362e-16,2.1271894680798554e-06,2.493594525975744e-08,-1.749127231774772e-18
1900,9.509747473638018e-15,9.984379953112464e-15,9.170826212705512e-16,1.2419634993982534e-11,1.0361479718910363e-08,4.780494311200927e-06,0.059997806247309333,8.53244014991261e-24,3.113406933102668e-10,-6.79341265632937e-24,1.3177217565377973e-15,2.2588319967130246e-06,2.466727910694391e-08,3.8888454862284413e-19
2000,7.816188228315001e-15,9.267370321419255e-15,2.4744711995215913e-15,1.1304877171748994e-11,1.2355879217351208e-08,5.043468141492302e-06,0.05999751236078895,-8.86469261455704e-24,4.568779759145745e-10,1.4407941269974598e-24,3.8240642212353145e-15,2.3966893151499466e-06,2.815995650010742e-08,1.281834121809909e-18
2100,1.3678360614962612e-14,1.0116642880121758e-14,2.6097669447624515e-15,1.5803798396991013e-11,1.3162377511572689e-08,5.249057451919432e-06,0.05999740713918659,-9.537073797330766e-24,5.226894570924323e-10,5.4836741697532426e-24,3.3423702969085285e-15,2.511338521280452e-06,3.561795090838541e-08,1.3366810577210877e-17
2200,1.4197388850750213e-14,1.2817594711988466e-14,3.8852961530718356e-15,1.8651977412252224e-11,1.5014929487531306e-08,5.657861268235465e-06,0.05999743012571604,5.399301264218828e-24,6.326965109372688e-10,2.268684138015439e-24,3.9929577016915944e-15,2.6472125092867755e-06,3.79492817153707e-08,1.577667648310887e-17
2300,1.3755229049396908e-14,1.3261043685500164e-14,4.80315466265654e-15,1.941652598456853e-11,1.6400158667034918e-08,5.604417654876076e-06,0.059997266332553346,-6.218378944939713e-24,6.734333625564992e-10,-6.598542841247169e-24,4.331417228462007e-15,2.7561899154613474e-06,4.109644948352174e-08,9.89656735639758e-18
2400,1.6576367352214266e-14,1.6665740446169192e-14,5.91153331682037e-15,2.0745075733375794e-11,1.7966496619427233e-08,5.879770077346619e-06,0.059997202376000355,-2.6599105777021576e-24,8.795126548650242e-10,-2.8449794911531772e-24,6.2123177023939944e-15,2.936785888519984e-06,4.3388803580542e-08,1.3900700167984943e-17
