miliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
0,-2.2490195161143604e-15,1.3025957993181324e-15,-3.1560467959254145e-16,-2.614583863748227e-12,8.292153991498777e-10,1.7653888524180196e-07,0.05999991688593267,-1.2198093368183845e-24,8.191059965914243e-11,8.80826710282699e-24,9.758989526935836e-16,4.01942257913294e-08,-2.6234662506020335e-09,3.668170671464864e-19
100,-4.340596068045949e-16,-2.0645219160178443e-15,1.504524905956807e-16,4.4803714676876863e-13,5.407568373190552e-10,8.185210324406885e-08,0.059999947973635885,-1.0954603619889072e-23,-2.719265792709516e-11,3.677366235592361e-24,8.442710662539355e-17,8.29136247553337e-08,1.7627182571716983e-09,-4.682900272068877e-18
200,-1.5949227362208758e-15,-2.5295977277176194e-17,1.3297103764350457e-15,2.098716602215448e-12,-7.664054717339502e-10,6.460311662835365e-07,0.05999980366901843,5.203124561001806e-24,3.8279201199979534e-11,-1.0560168433155896e-23,1.2662997868908784e-15,1.8112032695731313e-07,-4.4074216944816074e-10,5.588745912827497e-18
300,8.868364958834519e-16,-1.7926724558763144e-15,-2.130567107070165e-17,2.16858842333239e-13,-3.2362057788228473e-10,5.741645303762551e-07,0.05999970383418759,-7.170255052198717e-24,4.140066832780204e-11,-8.526852510743037e-24,-3.764500475827873e-16,4.053776045724839e-07,1.6509521592851084e-09,3.6921405172710796e-18
400,-1.1853059407955318e-15,-6.186046333461769e-16,6.101654521656202e-17,6.715575340801262e-13,2.819932926107744e-10,9.232619488204623e-07,0.05999948099640973,2.24161359559466e-24,2.77492668671059e-11,-2.1678132376508897e-24,1.3637285271244965e-15,5.595610646071996e-07,-1.587503123252171e-09,2.672341312597696e-18
500,2.398259794385556e-15,1.5687828904737763e-15,1.164088283407732e-15,2.2929284505060026e-12,5.482244937014875e-10,1.0929958144282974e-06,0.059999450240143325,-5.345444003395335e-24,1.1162245782626452e-11,1.98073846653263e-24,7.713012991482211e-16,5.61123339217014e-07,4.5171152390339785e-09,-2.6160683702451387e-18
600,-1.2071764911199092e-15,1.2405870393731286e-15,8.516322638694832e-16,1.7047552100765169e-12,7.875160109968587e-10,1.6767558584023317e-06,0.05999923154120097,-1.2282616216488946e-23,9.175800351409928e-11,2.150845305366182e-24,-7.591840145946611e-16,7.120591276572282e-07,1.0249349641909007e-09,6.0205772383103e-18
700,2.6342276235499504e-15,2.6851288137841063e-15,9.125625645199713e-16,2.3753776621076924e-12,7.700868377607193e-10,1.8474802468087816e-06,0.059999129047431245,2.3948703002439674e-25,-1.9148054152663702e-11,-3.9390832631448004e-25,-1.1020020830560844e-15,7.532210783150494e-07,4.7913642763537485e-09,-5.419803030953474e-18
800,2.567145571231164e-15,2.6108949074036702e-15,-1.847314062058913e-16,-7.493806911563834e-13,1.0619092539745897e-09,1.955420015730487e-06,0.05999898352769995,9.923185275763927e-24,2.3451843791373445e-11,-1.0620326683537335e-24,1.286804623113373e-15,8.771669248876962e-07,3.5155852259478042e-09,2.6130203627188202e-18
900,2.712576416170581e-16,2.49639424281505e-15,-7.078847777340242e-17,1.033645772723931e-12,2.864592994514789e-09,2.3034630926588663e-06,0.059998977959092134,4.501728041975359e-24,9.318607424129167e-11,1.0375911770069497e-23,9.688093122576416e-16,1.1335785848542927e-06,4.698669784743183e-09,-6.11885526986651e-18
1000,1.576535482365373e-15,1.4087946572385278e-15,9.680668932330263e-16,2.4325930685412223e-12,3.943296579297736e-09,2.5172939241513987e-06,0.05999876949599723,4.971762716929081e-24,7.585769766962773e-11,6.16015727320705e-24,1.5036532169325289e-15,1.1826397964071965e-06,9.363200728471724e-09,2.883401338416659e-18
1100,3.814887882406163e-15,4.196929265177441e-16,6.209650359739476e-16,1.8148018209869483e-12,3.3931148671656884e-09,2.842695384120848e-06,0.0599987379142936,-6.56590319933945e-24,7.011340591937885e-11,-1.117486182950268e-23,1.0296467820994624e-15,1.2417707306011372e-06,9.230493478880563e-09,-5.340280094249778e-18
1200,3.020142178536603e-15,1.4547448408993513e-15,1.3441413827047155e-15,4.787309388951173e-13,3.774038652431305e-09,3.145842806416436e-06,0.05999851449244908,-7.529041865758312e-24,7.698995920108118e-11,-3.1124115946198e-24,1.3308435467526713e-15,1.4307393257142662e-06,1.09796958151082e-08,-2.821139644916975e-18
1300,3.9736914814682285e-15,2.3358421016296235e-15,1.789293335213299e-15,5.911412228286053e-12,5.071634833367201e-09,3.318339922323024e-06,0.05999836513630255,-6.972506375658637e-24,2.1660976983147058e-10,-2.340769369326779e-24,1.27296521983158e-15,1.6137621930530385e-06,1.4284334780997216e-08,-2.319444564820445e-18
1400,4.7273537184499324e-15,4.100317231475994e-15,7.969764383800032e-16,6.847425445597872e-12,4.9288529577303876e-09,3.4252088819888235e-06,0.059998406213803535,-1.18696286012925e-23,1.6468127135633404e-10,3.8424515909366166e-24,-3.5110038201601397e-16,1.7396209374544193e-06,1.6427381863762104e-08,2.494601027375104e-18
1500,4.7711626348831274e-15,6.111078542543786e-15,1.6642598797053849e-15,4.467109974695448e-12,7.00532627487762e-09,3.6134075915936453e-06,0.059998250871160994,-9.015840188407524e-24,1.075474967993582e-10,1.0895545724230427e-23,-4.99467243830046e-16,1.81892142216154e-06,1.632633299952252e-08,-4.890667356091643e-18
1600,3.613259957025297e-15,6.9839020123401916e-15,2.2816129987857623e-15,7.758511238506204e-12,8.39806773062381e-09,4.0545161779862754e-06,0.05999812993939128,-7.766544202300456e-24,3.133331234064208e-10,-1.232385006965424e-23,1.0061335626078809e-15,1.9324921538685242e-06,2.0232352094112823e-08,5.766264670903431e-18
1700,8.1166317406194e-15,8.112226319536758e-15,2.6425749938058426e-15,6.526531665669617e-12,9.126709782790438e-09,4.337574662468394e-06,0.059998015879017055,-7.205533306045753e-25,3.2932059037256944e-10,5.8973969720435206e-24,8.651088802813963e-16,1.9612820327216854e-06,2.3028587436714443e-08,1.3361315292156271e-18
1800,6.689130401086583e-15,5.232144918232275e-15,5.919781432983299e-16,7.219296928939936e-12,1.070877527678307e-08,4.63906944414597e-06,0.05999791109827437,-8.041776746798591e-24,4.2187402995193975e-10,3.2693130508274196e-25,2.560227160230387e-15,2.165775987158233e-06,2.5846481839926238e-08,6.4079002429407425e-18
1900,1.057175459409344e-14,6.494766107514528e-15,1.4821680621248173e-15,1.1105977848049215e-11,1.042438225638664e-08,4.6947851819219215e-06,0.05999776560428704,1.190805834498754e-23,3.7055919466368423e-10,-2.483608807777995e-24,2.7585332906813475e-15,2.31964240291307e-06,2.671792126130736e-08,9.126531093166405e-18
2000,9.607357399294115e-15,7.88598814802636e-15,3.978803370930375e-15,1.3890178718616817e-11,1.1578376189409642e-08,4.931244181717511e-06,0.05999751848278399,1.5792069830313935e-24,3.9332722755090044e-10,-9.804188493427944e-24,3.3733980051424986e-15,2.3613929178210002e-06,2.9244825456381536e-08,8.725975651238669e-18
2100,1.010010514850555e-14,1.3780274425276423e-14,3.91235441811761e-15,1.6096976111203655e-11,1.305587001904056e-08,5.055405906593124e-06,0.059997418184715934,-4.308789967400931e-24,4.862401000537035e-10,-1.5837854695903249e-24,2.321561245466566e-15,2.5326998930799085e-06,3.286828315171432e-08,2.6581267226660422e-18
2200,1.3279354727944863e-14,1.2466909697771932e-14,4.9271202430011805e-15,1.493112277424436e-11,1.3543361185287681e-08,5.497166366936207e-06,0.05999744221812384,-7.006647497844124e-24,5.296422974290541e-10,-4.116299119205877e-24,3.994608432563494e-15,2.660932095369544e-06,3.495660960701152e-08,1.513420176999115e-17
2300,1.6397446012001267e-14,1.6967284529354817e-14,3.821251340418694e-15,1.6688933453052192e-11,1.5191454941125284e-08,5.630352666622931e-06,0.05999730759014835,-5.32168571231965e-24,6.613454277838401e-10,-5.831182288879549e-24,3.875356348422444e-15,2.7000192703951788e-06,3.95961769406682e-08,1.6191945908981216e-17
2400,1.6013641100864964e-14,1.5871503958199192e-14,5.2161474125674794e-15,2.0408927611677533e-11,1.724697544790823e-08,6.032219890646388e-06,0.059997066406735154,1.6094065986874367e-23,7.671011953416673e-10,-6.563368105397034e-24,6.077757795485742e-15,2.8076077940940216e-06,4.503186319058297e-08,7.98715114748879e-18
2500,1.7514008699182403e-14,1.934761164862665e-14,5.426689662452003e-15,2.3491844015964692e-11,1.758677712061748e-08,6.368706390562452e-06,0.05999694028676558,1.7229086439786808e-23,8.31004316398351e-10,1.6342037383674925e-23,7.350364501206999e-15,2.9412082045738614e-06,4.923114716981378e-08,2.1812289766024365e-17
2600,2.334487699312634e-14,2.229270018086373e-14,6.591692579325412e-15,2.8048326903516852e-11,1.9743517496693645e-08,6.33658474458335e-06,0.059996814386430085,1.9615426989181005e-23,1.0840940673760436e-09,2.079935721610028e-23,6.460191006157509e-15,3.1318423296632018e-06,5.022136896530641e-08,1.5713242910296666e-17
2700,2.5986455594092712e-14,2.5552678994246736e-14,9.23884816745753e-15,3.012266445695097e-11,2.1773543416653442e-08,6.866126036039509e-06,0.059996767634330025,1.1035910504673007e-23,1.0408374023926407e-09,1.7846190339257518e-23,7.55523737289726e-15,3.274389118196476e-06,5.232429102117582e-08,2.744666610144339e-17
2800,2.5459991489221444e-14,2.765992757196303e-14,9.718106970346334e-15,3.3426187600556063e-11,2.239868515119327e-08,6.868073591933079e-06,0.059996668967558564,1.6592734040878184e-23,1.231817867083925e-09,2.1854794780912282e-23,1.112449557075003e-14,3.426617172306062e-06,5.6982009623059966e-08,3.184667428351281e-17
2900,3.2427194352430767e-14,2.888186494738383e-14,1.1592061943055286e-14,3.7729935669380895e-11,2.497621508538689e-08,7.172048026217316e-06,0.05999650330807097,3.149019512464242e-23,1.3802457177796595e-09,1.2130158662800522e-23,1.1932351033412752e-14,3.5543304247517627e-06,6.559864691599014e-08,2.9104507498039073e-17
3000,3.16631177524536e-14,3.3183153558128794e-14,1.1702958166283985e-14,3.9736195708942896e-11,2.6963554208838156e-08,7.574876934855254e-06,0.05999640716116951,4.6261136934157986e-23,1.5060343626340973e-09,1.1769805482034345e-23,1.4207918043042925e-14,3.6061675311190115e-06,6.971365080535543e-08,3.782158296917749e-17
3100,3.76461173447988e-14,3.9312987429988576e-14,1.458104324960531e-14,4.435966600117715e-11,2.763236963253374e-08,7.5522680289464985e-06,0.05999622779967195,3.417545170689554e-23,1.6540932809010362e-09,4.1495544067224146e-23,1.3638271969386922e-14,3.7214575136572084e-06,7.18125006953163e-08,4.2605590996407383e-17
3200,4.0392625261391364e-14,4.2816810046649385e-14,1.7450468501962984e-14,4.9002403921716025e-11,2.984304379843938e-08,7.996355359302363e-06,0.05999611768697631,4.2257059499918026e-23,1.779067778283038e-09,4.677777960223374e-23,1.6648799960655602e-14,3.908916903897651e-06,7.391054595211835e-08,6.187146384568489e-17
3300,4.4735290124116714e-14,4.463839253964898e-14,2.0113582508314737e-14,5.5392905938058085e-11,3.114019190274809e-08,8.318266967161033e-06,0.059995988761775816,6.104486937375624e-23,2.0225066447451102e-09,5.605407513013256e-23,2.0200684664173315e-14,3.884103203455048e-06,8.424300701740139e-08,6.474877382220061e-17
3400,5.0985106483462086e-14,5.110543999620067e-14,2.2002041959940065e-14,6.105726599167845e-11,3.400795389276779e-08,8.46412948033571e-06,0.05999586941247174,8.33370129111209e-23,2.0617829091145894e-09,4.9651828852651774e-23,2.1253858855780958e-14,4.029893479860573e-06,8.69058236885099e-08,8.106617706140767e-17
3500,5.34277587136566e-14,5.498009592117005e-14,2.3332442756875573e-14,6.426361910046965e-11,3.684002309573699e-08,8.76430113521883e-06,0.05999572872049305,9.938932932690015e-23,2.2599591091032536e-09,8.95480373393061e-23,2.4679912159396e-14,4.143625284600433e-06,9.13945645291234e-08,8.201991477130889e-17
3600,5.804180055245703e-14,5.824909548814667e-14,2.751623485756821e-14,6.945634647877384e-11,3.871846432189231e-08,8.943876200971391e-06,0.0599956829944088,1.2607499977922828e-22,2.550515622285185e-09,9.046249469996366e-23,2.624204207131222e-14,4.322055541962017e-06,9.555756179186852e-08,9.842460761736878e-17
3700,6.453456810160257e-14,6.24828791324537e-14,3.013320569844886e-14,7.489545933839197e-11,3.970679217643379e-08,9.328049188729312e-06,0.059995619069639676,1.3237238446466524e-22,2.771183112134174e-09,1.160718218770389e-22,3.07303958788614e-14,4.458340785743261e-06,1.0197782193682286e-07,1.1612519103073365e-16
3800,6.923650634360952e-14,6.850202498156067e-14,3.3432732655203757e-14,7.876058689807865e-11,4.1666600356931535e-08,9.518603995341253e-06,0.059995413220040275,1.5365575271061444e-22,2.902626519551871e-09,1.3528397505770076e-22,3.17965240760819e-14,4.5717567564687085e-06,1.0928015919487669e-07,1.299048132864963e-16
3900,7.382745777355138e-14,7.59031386940004e-14,3.7820360078557396e-14,8.527706079262586e-11,4.3209310361602216e-08,9.652307937999922e-06,0.05999539869475324,1.9196328290322034e-22,3.1680954825364683e-09,1.6971327297306893e-22,3.636747337050819e-14,4.7312729468567084e-06,1.1089088145215224e-07,1.5132716338276807e-16
4000,8.082958450136987e-14,8.170564146743204e-14,4.166691999708251e-14,9.684215930099633e-11,4.5421307236127225e-08,1.0001605895000536e-05,0.059995214116671414,2.167728055492776e-22,3.4080839888246432e-09,1.9936498930568033e-22,4.048391799277229e-14,4.742102298439349e-06,1.1777647287022208e-07,1.643442444822786e-16
4100,8.46423544835272e-14,8.634273858082036e-14,4.40809645444282e-14,1.037023222108312e-10,4.90377493563972e-08,1.0051587128066614e-05,0.05999503675888022,2.6912059497062854e-22,3.743565652580068e-09,2.348903632936648e-22,4.4139331328101667e-14,4.858509550802147e-06,1.245107731190531e-07,1.8695612750394925e-16
4200,9.242887190317589e-14,9.15919117697664e-14,5.042829891681624e-14,1.1011710666942278e-10,5.1692985674732453e-08,1.0500783946438586e-05,0.059995002173407586,3.0984131934007003e-22,3.858838168162254e-09,2.871725251373596e-22,4.8130089391708746e-14,4.990084506907536e-06,1.331855338393708e-07,2.1374063524030178e-16
4300,9.86400789382353e-14,1.0084607099497993e-13,5.329805633115166e-14,1.1467010742467057e-10,5.3939634230292794e-08,1.0524510225738119e-05,0.05999487814414193,3.5795812315522237e-22,4.266544480858916e-09,3.5049767666909623e-22,5.4903369903253364e-14,5.2191121046474885e-06,1.3964670590412868e-07,2.440794135496582e-16
4400,1.074494542133349e-13,1.0580120904972606e-13,6.019630626034313e-14,1.229506084232383e-10,5.658704881254896e-08,1.075242832874537e-05,0.05999471782904443,4.250511213044813e-22,4.475849480978374e-09,4.305152901013114e-22,6.055147259816512e-14,5.255248070360586e-06,1.4444212560474883e-07,2.6594244909612356e-16
4500,1.1153087642706708e-13,1.1331269376899623e-13,6.449743963011574e-14,1.3432322551427287e-10,5.8130821264751925e-08,1.1008934899906308e-05,0.059994632804575905,5.0604825570636215e-22,4.808451448827812e-09,5.101419891616987e-22,6.347418755502011e-14,5.395113921648005e-06,1.4984573370466263e-07,3.0712819882893816e-16
4600,1.214577170595394e-13,1.2188325696341937e-13,7.116310023038783e-14,1.3976151869871137e-10,6.13014383942129e-08,1.1375753856947102e-05,0.05999451960889751,5.747461200646634e-22,5.1724775433793365e-09,5.944461741613221e-22,7.094563028786631e-14,5.454248839617701e-06,1.5671332569911037e-07,3.4136111459728255e-16
4700,1.2866254700422262e-13,1.271998943237629e-13,7.784786138431703e-14,1.5277900084896866e-10,6.420704362264019e-08,1.1722698898289308e-05,0.05999441604101739,6.711429068389499e-22,5.482117063410627e-09,7.000096747907794e-22,7.634954300810789e-14,5.68294450249974e-06,1.649253178236798e-07,3.6828614058300323e-16
4800,1.3957263874896744e-13,1.3686213991025548e-13,8.39638892070392e-14,1.634156851681752e-10,6.490956772888054e-08,1.183771053418919e-05,0.05999424099843323,7.524522831519521e-22,5.80537741500994e-09,8.094724683136293e-22,8.28252713540476e-14,5.701585525804277e-06,1.71465538855682e-07,4.179703449332199e-16
