miliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
0,-1.4623187541408507e-15,-7.823863755308144e-16,-1.1183135085638509e-15,-3.816227357530635e-13,4.980879329300301e-10,-1.7065311738015682e-07,0.06000003252713623,8.785059424374947e-24,-3.320081652132021e-11,3.314933280712642e-25,-8.585549240406098e-17,5.626210401026512e-08,-3.2731092393886894e-10,-5.0571602546645924e-18
100,-2.0116940684764392e-15,1.8999507595414706e-15,1.2353592635537962e-15,6.14598690891948e-13,-6.29305753048361e-10,1.606753240574667e-07,0.059999944214773525,-1.9336556139864493e-24,-3.928820681693056e-11,8.754191180174559e-24,-1.0718924260350855e-16,1.234320325240566e-07,-1.877691951237064e-09,2.9193336729857486e-18
200,1.5017761615654926e-16,-2.2269969811204825e-15,1.0930853302957784e-16,-7.195388457625072e-13,1.2014235092181074e-09,3.499665390964942e-07,0.059999746476359535,-5.896873245599147e-24,7.9851454467818e-11,-6.943155221143669e-24,-8.750501152125628e-16,3.279659593860734e-07,1.6133575542017495e-09,-4.0703647843553024e-18
300,1.6856132632642542e-15,4.813025383060933e-16,7.485968761028925e-16,9.780874744816371e-13,4.095945465963523e-10,6.815022198114793e-07,0.05999971125245766,-1.7523789063658778e-24,-7.143414700960127e-11,1.0720218137072174e-23,2.613630964498144e-16,3.15150962932503e-07,3.7074956367969025e-10,-9.19921843939559e-20
400,6.927744116746888e-16,7.277195932905347e-16,6.528596375459123e-16,2.361072484695417e-13,1.5935586557563557e-09,8.696995169811965e-07,0.05999953573981653,-1.1038884983135242e-23,-5.950022775605934e-11,5.253601325146681e-24,1.1128958251443333e-15,4.769877256570145e-07,8.518966235017814e-10,-4.6665253341913336e-18
500,-1.6365099662692826e-15,-6.255068561652799e-16,1.2992991553784708e-15,2.881090117501756e-12,-1.4078721950537485e-10,1.113466708036112e-06,0.059999482971699034,-9.506122944965912e-24,6.677589522545917e-11,-1.250789493642115e-23,-3.80502815600243e-16,6.590004854808442e-07,2.2476841960724297e-09,-5.673033962543835e-18
600,-2.845103308553098e-16,2.3114883557160667e-15,4.514054627729179e-16,2.489162792590544e-12,6.299134668553381e-10,1.6342422350608912e-06,0.05999929164909784,-8.136125932126533e-24,-1.8835050993200423e-11,6.063163534390387e-24,-9.52229293110084e-16,6.687241640809736e-07,4.272637265169267e-09,2.6877943227489666e-18
700,3.204626226889518e-16,2.1903630558457056e-15,-3.9404887965471525e-16,-2.0218095358787555e-12,1.8428525102281008e-09,1.6839659720321738e-06,0.059999181205476565,-2.4954433907066795e-24,-3.221690485740886e-11,2.472753508481668e-24,-1.1080957562852974e-15,8.3480309780841e-07,1.3813261196117974e-09,2.086525440104321e-18
800,-1.4120814120144938e-15,-1.0892391826477149e-15,-5.615073138184237e-16,3.527248916662922e-13,2.7796956450049417e-09,1.9957375147949334e-06,0.05999904866910496,-3.2904419272333533e-25,9.185953403951161e-11,1.2110501565633725e-23,-5.189371179612254e-16,9.700964767256001e-07,5.536521453504454e-09,6.02046184564896e-18
900,-1.309651108561156e-15,2.800329181004777e-15,1.4644696397955539e-15,1.370091378086976e-12,2.7017239471226693e-09,2.4319217084312346e-06,0.05999897449136083,1.0352707369254185e-23,-5.899053444141062e-12,1.1257245990726019e-23,1.2160714114291432e-15,1.055720830436005e-06,4.790946312287037e-09,-4.916862188308908e-18
1000,1.89685654581065e-15,-6.557954041817376e-16,-1.0530461053727537e-15,5.398133517491364e-13,2.478720332756152e-09,2.543611905838829e-06,0.05999875597099512,-7.08188723398637e-24,5.7285776251031875e-11,1.0351054410140346e-23,1.1547250382493954e-15,1.269209060633804e-06,4.949591186684415e-09,3.3057938507337198e-18
1100,1.5698652010155437e-15,2.3871687365412795e-15,1.3682099514919082e-15,-3.0764148637971365e-13,4.6930594767994385e-09,2.747583339163836e-06,0.05999868649100247,-6.4980426944018414e-24,1.2381272141833535e-10,8.105695299690309e-24,-3.29884727458882e-16,1.2361436258124192e-06,1.1496423530749604e-08,2.052355675358594e-18
1200,3.2035539346746882e-15,1.6620918360982039e-15,6.91051487767243e-16,4.587343750065902e-12,3.952017417362048e-09,2.8642576055509163e-06,0.05999859564908519,2.499823470726224e-24,1.5813690511215287e-10,1.0711201832561112e-24,-1.9864938295823066e-16,1.5169009672588715e-06,1.0355181006088033e-08,-3.495136952835943e-18
1300,1.5815864989623789e-15,1.2249320611431943e-15,-2.3958586053558545e-16,5.514934699505661e-12,5.280584886470108e-09,3.3467039602121466e-06,0.05999851252444484,1.0832856398212032e-23,1.8553135288680287e-10,-1.085914540872494e-23,7.007204058665673e-16,1.4984129619019696e-06,1.544016572189169e-08,-4.2360302747696884e-18
1400,2.0848187125458526e-15,3.3787365676207004e-15,1.5414424207766892e-16,3.392333028973438e-12,5.743811084128278e-09,3.3170137503395796e-06,0.05999832494468653,2.3201528936342027e-24,1.334491340327724e-10,-3.918724015832027e-24,3.9867488212211895e-16,1.618009763219875e-06,1.5712428550384932e-08,1.4898637259252275e-18
1500,3.843323177857348e-15,4.558192322946283e-15,7.149688164730438e-16,4.807745699934966e-12,5.7695261739931645e-09,3.914132978630553e-06,0.05999823843608392,-3.2507054354409613e-24,2.6892586136921184e-10,2.525436789654626e-24,4.0419503461379367e-16,1.7443646544137236e-06,1.4537315779533577e-08,-3.8230332532227625e-18
1600,5.834750647048893e-15,4.649967523970847e-15,3.294488825691086e-19,7.066342505762173e-12,7.802148155952558e-09,3.85315681421959e-06,0.05999806559540166,-6.466263197590792e-24,1.5364390044406333e-10,4.422028368764696e-24,-2.6267344511482714e-17,1.8695750734338625e-06,1.8840044150855045e-08,3.480373353119962e-18
1700,7.434743168892513e-15,5.4668833040008726e-15,2.6381161855646456e-15,7.227935080700961e-12,9.415286690388284e-09,4.278769059897449e-06,0.05999799533448855,7.67299381421908e-24,2.340585844656659e-10,5.660855027474359e-24,2.5956221908803646e-15,2.121931103695795e-06,1.9556889015301252e-08,4.0313196257634965e-20
1800,6.538251635446511e-15,6.771102856274587e-15,2.4412129931637546e-15,1.0612149924520614e-11,1.0566051649007162e-08,4.484463268717941e-06,0.059997770129478545,9.220823290149372e-25,3.25076281757146e-10,-5.0229877449236064e-26,1.0831504771625318e-15,2.07964195991522e-06,2.3967074899305232e-08,-1.6848927746209045e-18
1900,6.414561650632706e-15,7.494879491717185e-15,1.632226931621611e-15,1.0706567079260023e-11,1.1829280482933508e-08,4.872377289580593e-06,0.05999767646557077,-6.304015450018601e-24,4.555152364994443e-10,1.2577399737561418e-23,2.2732927095495934e-15,2.2078898961848233e-06,2.6977313392793577e-08,-1.2268880627595955e-18
2000,1.0709789573303967e-14,8.70148345882497e-15,3.4042319462289263e-15,1.3402211855366923e-11,1.1611699515847014e-08,4.974810197604649e-06,0.05999751453180608,-3.2111731238252496e-24,5.333896352604019e-10,-1.2790222131208327e-24,3.4782428257291976e-15,2.339218885627644e-06,2.9079088993958055e-08,2.6104858510954633e-18
2100,1.3699666217233163e-14,1.2666752932243504e-14,4.267173428519917e-15,1.6135564870225593e-11,1.2795762648303777e-08,5.210068669957706e-06,0.059997429324603356,1.3814008960745482e-23,5.419089501577214e-10,-3.046175980100753e-24,4.267521109490937e-15,2.5470637480957905e-06,3.212686456833765e-08,1.2505869931682915e-17
2200,1.2282504359626147e-14,1.4226380066543517e-14,4.729973208490894e-15,1.4786302858561153e-11,1.5144317957922452e-08,5.471130245407317e-06,0.05999729709634354,1.5780528400812226e-23,5.473515088597739e-10,5.314088460787736e-24,2.754728521617934e-15,2.580396486834103e-06,3.686401665519256e-08,4.586653237434371e-18
2300,1.6397406313597994e-14,1.3495001164082302e-14,3.42032534199923e-15,1.922439333191082e-11,1.5054638795082215e-08,5.6434270949842145e-06,0.05999724876022088,-4.083441734940564e-24,6.077479436234585e-10,-1.5743769918744626e-24,4.328828373495838e-15,2.7542283601088562e-06,4.012978869709327e-08,1.6578203258924432e-17
2400,1.6068497503291513e-14,1.923300334114584e-14,5.965789557454055e-15,2.1066387046811937e-11,1.8005857222803838e-08,6.0882856677276085e-06,0.05999709015039077,-2.599888124848249e-24,6.944831321123529e-10,5.371192340400829e-24,6.627952273762578e-15,2.8185552891403054e-06,4.3114950709825716e-08,7.87523624488568e-18
2500,1.886028902869203e-14,2.1806288944702617e-14,7.28763852341499e-15,2.2064812079853753e-11,1.7989610450277857e-08,6.065994933611855e-06,0.059997016706545545,4.831269869321432e-25,8.673247324153644e-10,1.155208160150619e-23,5.658678583258891e-15,2.9710895167651984e-06,4.8064713784392484e-08,2.3394042014587417e-17
2600,2.269217332154187e-14,1.9951523763486535e-14,8.104041563047163e-15,2.616445974998451e-11,2.109013407594417e-08,6.423423257412354e-06,0.059996924775803914,1.3633734509363825e-23,9.26467198910375e-10,1.8726522804515015e-23,6.607267888732038e-15,3.030351223934538e-06,4.846739335546027e-08,2.1724813074018324e-17
2700,2.530967118956605e-14,2.2490070457429955e-14,9.623005092539871e-15,3.007270278300703e-11,2.2316567507985946e-08,6.661177943248363e-06,0.05999684668607113,2.667772900310322e-23,1.1219650001170978e-09,1.6949603001675887e-23,7.611812191703181e-15,3.3085279943581563e-06,5.7023051710315537e-08,2.5398500433627024e-17
2800,2.925441593285125e-14,2.8923796505772145e-14,9.955753244761647e-15,3.4210761733447786e-11,2.2231733059741758e-08,6.8680899664084975e-06,0.05999670969974255,1.0308693804128643e-23,1.1387217013094018e-09,1.575569067509501e-23,8.613513603110902e-15,3.3853122007056803e-06,6.010458836113982e-08,2.669083961770554e-17
2900,2.9291989969500147e-14,3.017788087021141e-14,1.0733478555455624e-14,3.42644795176458e-11,2.386891674522018e-08,7.355393631347309e-06,0.059996605105787845,1.751153771914038e-23,1.3084054848330901e-09,3.0540152544014634e-23,1.1747232983836197e-14,3.412342793661208e-06,6.116164599434113e-08,3.8240339017982515e-17
3000,3.46229302000121e-14,3.490454406048388e-14,1.3699046353445349e-14,3.9683092262635254e-11,2.604868584538663e-08,7.334687822907767e-06,0.05999632304964175,2.6050343657903268e-23,1.5503602009867595e-09,1.1677128513347583e-23,1.2464583494717905e-14,3.509005298775123e-06,6.974619604209544e-08,4.755841185042821e-17
3100,3.5900163836823414e-14,3.6755050367263826e-14,1.3899820459864646e-14,4.3052411945568574e-11,2.7516276805534446e-08,7.701521539047422e-06,0.05999633221311623,3.938464221133336e-23,1.5822992197676113e-09,3.685031564626432e-23,1.491464164338131e-14,3.6796162108272247e-06,7.015433016469902e-08,5.226304614644981e-17
3200,4.259385956208336e-14,4.215116621971785e-14,1.6023219108849033e-14,4.815274781325233e-11,2.9563046429975003e-08,7.838056691084996e-06,0.05999611175642117,5.959298139252093e-23,1.8555431776934818e-09,4.416362665268253e-23,1.576621102810444e-14,3.739572671559128e-06,7.412477911842999e-08,6.228088828766736e-17
3300,4.450937987267795e-14,4.502933218326232e-14,1.9901147537498233e-14,5.2132838602494934e-11,3.1237983794448946e-08,8.324811440972802e-06,0.059995968852251794,6.389878626008538e-23,2.017492354424286e-09,5.413672793324247e-23,1.7750584694790844e-14,3.979104194384237e-06,8.117736766015787e-08,6.743723042723865e-17
3400,4.804802573205993e-14,4.743951070956836e-14,2.0377233027449946e-14,5.771299608725487e-11,3.438041979936898e-08,8.371703659883841e-06,0.059995890153300147,6.78192382693639e-23,2.064117313202567e-09,6.557852154884941e-23,2.0250138871205364e-14,4.07095452916473e-06,8.531313004633604e-08,7.273635607041844e-17
3500,5.4930923231729535e-14,5.498109024024564e-14,2.4258744504161684e-14,6.159661278364269e-11,3.508801297514222e-08,8.706760056594926e-06,0.05999571741313553,9.510624900511709e-23,2.2765984977029762e-09,8.476137820466106e-23,2.2846471219527308e-14,4.195415045368346e-06,9.08467055784164e-08,8.330587357017735e-17
