milliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
0,1.991210796698252e-15,-1.5017835310617126e-15,-4.3241965981567865e-16,1.3989085251390147e-12,9.148613562287938e-10,-1.6936888231339627e-07,0.06000006032037887,5.844263657641828e-24,-3.2670165587157466e-11,1.2270040589165629e-23,1.2970928152553172e-15,5.4500648356853994e-08,1.558370384411849e-09,5.967035875062996e-18
100,5.178052931390471e-16,2.0041945136378635e-15,1.17581913576353e-15,2.3378070790629286e-12,-9.281222968345481e-10,2.2180861528147488e-07,0.05999984940694249,-8.179931290024302e-24,7.368431052469619e-12,-9.17102441579658e-24,1.0039390368305408e-15,8.255053024530405e-08,-2.7370681279537434e-09,5.561133208684736e-18
200,-8.794233253063818e-16,-2.2265419222127203e-15,6.153314936074728e-16,-1.3528094798397314e-12,1.089983518343333e-09,3.4928138465347407e-07,0.059999771061536804,1.181411022506112e-23,-1.4343171132759318e-11,-1.6000376306028138e-24,3.323795491391419e-16,2.2118464176360632e-07,2.788076806711833e-09,5.239766641532336e-18
300,-3.3729092082595925e-16,1.1462768608459229e-15,1.2225640972552016e-15,1.904138253437997e-12,-5.38326760956538e-10,7.329969098802533e-07,0.05999962846814104,-1.0221423676745567e-23,-8.73103675903482e-11,8.900186814951541e-24,5.906890534954871e-17,3.8267271144116913e-07,-1.878048649877052e-09,1.5484047460175062e-18
400,5.115287506504049e-16,1.9663276800373547e-15,2.361640977173242e-16,2.0527455727755465e-12,-3.338596375841942e-11,8.501673393661741e-07,0.059999561070105324,-9.848098603743596e-24,5.137733705422422e-11,-4.00956963168274e-24,-2.190148262537759e-16,5.304416179945023e-07,1.9837144118854473e-09,4.337267656006178e-18
500,-2.968742810001815e-16,2.0190462713534587e-15,6.837883782894116e-17,1.1033928893453126e-12,1.742562042862769e-09,1.3062371702267107e-06,0.059999446376410366,8.365564780828734e-24,-3.2452024951610736e-11,-9.349956088864698e-24,5.761138060174132e-16,5.930170323674511e-07,4.617458041468584e-09,-5.765453030845509e-18
600,2.463632687175494e-15,-1.8319175852076337e-15,-7.249357529573837e-16,-1.995185546958639e-12,3.314353852303523e-10,1.5190545796539809e-06,0.0599993060781646,8.803024067470791e-24,-4.6101196854613734e-11,1.1978484152877802e-23,6.39598721163754e-16,6.802446283057522e-07,2.8643118463284627e-09,5.449900719551848e-18
700,2.485031785773372e-15,7.542274539855489e-16,1.053929456163078e-15,2.185517089669622e-12,1.1353714296334963e-09,1.926981470701138e-06,0.059999139915181396,3.939843008201554e-25,-1.4807454452564917e-11,-6.186098514263583e-25,5.608822251343406e-16,8.841607323614632e-07,9.740146790532171e-10,-3.940656924810251e-18
800,-7.074745769816716e-17,2.414002502623457e-15,-2.929355104648209e-16,1.0817521486482727e-12,9.928165107334183e-10,1.833748069812061e-06,0.05999911452133241,-1.205534464989247e-23,4.324383082959586e-11,-1.2410385932487091e-23,-4.231056864105294e-16,9.910465691159245e-07,5.271655843457941e-09,2.2476515883849363e-19
900,1.8996275747323865e-15,1.6958098383932137e-15,6.624380124026785e-16,3.971011312717231e-13,2.2053009626177123e-09,2.4047568358355536e-06,0.05999890035349246,-3.1954730447704274e-24,-1.847638447420679e-11,-9.544390991665334e-24,-5.315241052530826e-16,1.1639149442826816e-06,4.947910598477978e-09,2.672643219304392e-18
1000,5.844584526416449e-16,1.018471498967312e-15,-1.984730857221949e-16,1.2968460963005917e-12,3.243267572487175e-09,2.4889271751182564e-06,0.05999873571711944,-3.326414228196927e-24,1.4491885650456478e-10,2.175155873745416e-24,6.812748423862056e-16,1.1212962248061287e-06,5.258798329891565e-09,-3.083609040952702e-18
1100,3.746220709216246e-15,2.8779436150023734e-15,-6.093524483233538e-16,4.302069503967586e-12,4.354320197227241e-09,2.6965976662615146e-06,0.059998640802417416,7.361957420548197e-25,6.415748576354799e-11,2.0602284528793515e-24,1.3034509330057874e-15,1.2955554438258516e-06,9.87111048976634e-09,-3.232600345173672e-18
1200,1.3106597284849695e-15,4.404641714822527e-15,1.4552341550757086e-15,3.5783601102074275e-12,4.690434538901453e-09,3.1706845151200155e-06,0.05999862365518137,-4.2740783550269274e-24,1.4408668600719257e-10,7.96369369385173e-24,-8.62855513729836e-16,1.5140588898471012e-06,1.201840304464801e-08,1.1996302527576798e-18
1300,9.515372780492422e-16,1.576735262118393e-15,-7.535223351087169e-16,2.080415760334348e-12,5.327920729547935e-09,3.3401986792323536e-06,0.059998435818520615,2.1862220508922637e-24,1.3873976551264083e-10,-1.0249665620677259e-23,1.862102291811897e-15,1.490373591356616e-06,1.1790644714354875e-08,2.539779726115699e-18
1400,4.759182204207462e-15,3.31175517984998e-15,8.099023120000001e-16,6.163573906816834e-12,6.400503333170751e-09,3.6486648006020504e-06,0.05999823784817655,1.1265093548067548e-23,2.5940087024133284e-10,1.207962170236157e-23,1.7365799137531498e-15,1.5922373799875345e-06,1.6748832413349007e-08,1.693507618999888e-18
1500,2.1292105533821382e-15,5.20933756876268e-15,2.1405593134773288e-17,6.8082121429017464e-12,5.921190768641425e-09,3.6332424050431358e-06,0.059998135533630634,2.3862789825776886e-24,2.5052265584209816e-10,-5.4190557969242655e-24,8.765715318839705e-16,1.729385865239087e-06,1.565484301892049e-08,4.175222174498758e-18
1600,4.4737525196281366e-15,5.716304591624189e-15,1.1079899751931381e-16,8.63102610293376e-12,6.756376121267399e-09,4.1756651623029025e-06,0.059998021845308926,-8.073225925590601e-24,1.7771493024045876e-10,5.987152525385525e-24,1.6896989587699312e-15,1.9994591112398083e-06,2.1292847928377086e-08,3.6187042797676976e-18
1700,4.526485966702436e-15,5.671575748585936e-15,1.5266080875454665e-16,9.449677058657203e-12,9.126078940890245e-09,4.269484800999509e-06,0.05999801550520779,9.518480259123045e-25,3.443032609637291e-10,2.0681306862991026e-24,1.9141179125648795e-16,2.0667572945843813e-06,2.218496206476536e-08,7.783744057413216e-18
1800,8.900125868141595e-15,8.785457178360022e-15,5.323864666286481e-16,6.718826251078209e-12,9.289454168983401e-09,4.663739894589057e-06,0.05999779125152991,-8.552683069162013e-25,3.1337950349071806e-10,-1.0087986223756145e-23,1.7797141066022873e-15,2.208841455613898e-06,2.2892587116214078e-08,4.7240354169594e-18
1900,7.699705991116456e-15,1.0394677856983644e-14,1.9258990704685256e-15,8.836554548488315e-12,1.1411003543051755e-08,4.844735133700853e-06,0.05999771818941959,-1.4178730974522211e-24,3.6681689361699114e-10,5.355119714822036e-24,2.133158289222228e-15,2.2031232558571405e-06,2.9410312349338245e-08,2.391129119640589e-18
2000,9.075531256975475e-15,1.1359528949185397e-14,3.276898421593157e-15,1.146153870286814e-11,1.2389075075589285e-08,4.953299660264876e-06,0.05999762696359324,3.0345535770539014e-24,4.154431452478585e-10,-3.624272725883868e-24,3.0666275872349478e-15,2.435700687317319e-06,3.030784567079146e-08,4.909848804766872e-18
2100,9.691444821271457e-15,9.779313654265632e-15,2.014161192704469e-15,1.5777056679163805e-11,1.3456624119594528e-08,5.127811865594556e-06,0.059997532616277445,-3.691309204083171e-24,6.104352525555356e-10,-8.68084236614244e-24,4.335483158224712e-15,2.480056641816727e-06,3.052871545593532e-08,7.855135584217878e-18
2200,1.4808738234759388e-14,1.4402952215226605e-14,4.205102767063515e-15,1.427066790309697e-11,1.42671632786368e-08,5.514486781087633e-06,0.059997428865793775,-2.214391997449288e-24,6.174071666307655e-10,-2.6130447388918725e-24,3.3015505430787743e-15,2.719410830198814e-06,3.599021140930391e-08,1.2332231756084055e-17
2300,1.7007021419102054e-14,1.3701644944629611e-14,4.472343266345519e-15,1.7346140519635286e-11,1.6642728099425808e-08,5.899885441485062e-06,0.05999721193688127,1.778873091939066e-23,7.736082087467548e-10,3.024642636499765e-24,3.379874851416179e-15,2.74051875926211e-06,3.7426984663348694e-08,1.7050848204837132e-17
