milliseconds,Sic1,Cdk1_Clb5or6,Cdk1_Clb5or6_Sic1,Clb5or6_degraded,Cdk1_Clb3or4,Cdk1_Clb3or4_Sic1,Clb3or4_degraded,Cdk1_Clb1or2,Cdk1_Clb1or2_Sic1,Clb1or2_degraded,Sic1_degraded_re14,Sic1_degraded_re18,Sic1_degraded_re5
0,4.996166508640994,0.0001439223002699396,-0.00404050348911297,0.00014809335205389425,1.973565703841316e-06,-0.0007912365209222491,-5.738878772406841e-05,-6.744319160113539e-06,0.00015676301263902785,3.064254097768119e-06,1.1603670919569635e-06,0.00012829725537950054,0.00022950514049518625
100,4.993428221143855,0.003513825568760099,0.0006368166274965418,0.0004703240599810727,0.00046116298099315665,0.0005088971400631679,6.937726017432457e-05,6.853269207753666e-05,4.242570617434621e-05,1.3537721135353397e-06,-1.0568060238994609e-05,0.00011991202168948898,0.000833731077192413
200,4.987223247025161,0.00408985630500581,0.02165003007039255,0.0003790358982650017,0.0005866728198298521,0.001976273841385675,0.00011048729265865714,8.448336023172438e-05,0.00030247938289299794,1.7889529560687657e-05,-1.0276860839987709e-05,4.272147725990502e-05,-0.00021164960083061492
300,4.9721951360237755,0.004330818412440521,0.024446836324221972,0.0011040017662623958,0.0006002282013762003,0.0031620711037681102,0.00011552570008455068,9.116038771505779e-05,0.0006036411748387741,5.333092265330773e-06,-5.326854221544998e-06,-2.3603061712288695e-05,0.0007578047217145611
400,4.955638297247538,0.004583704133316454,0.04032900721072605,0.0006165170472834865,0.0006181147822912791,0.0051971190127331045,8.096077560617214e-05,9.404937648299014e-05,0.0004480353549395816,2.3955930170044806e-05,-4.709757931770012e-06,0.00011290566718233411,-0.00018150585881758518
500,4.954022619911641,0.004880824123158126,0.04164798392927338,0.001495956621977013,0.000664207017082681,0.006761860185074223,0.00019398673170288247,9.290766851361935e-05,0.0009497901648732466,3.7309384121446746e-05,9.194786103719827e-06,0.00014596510660223655,0.0011747391137725545
600,4.927123277030192,0.004898145936845606,0.05631208081031961,0.0014675531954707584,0.0007148189851770462,0.006531644401487293,0.00018045372338823117,0.00011190710559624126,0.0010232336651110078,2.8513593126168422e-05,3.0543792895430996e-05,0.00023641282174332288,-7.977327221292451e-05
700,4.923811877328889,0.005217915709193547,0.05892658745103811,0.0024851644414366804,0.0007409544060884994,0.008812943094114534,0.00021793576185401726,0.0001065731351011494,0.001179822186383214,3.821409812231661e-05,3.7004450757488e-05,0.00024494152101327385,0.0010853568522585357
800,4.90916140064737,0.005424658882969953,0.06895896428293465,0.002748479550017965,0.0008064963941347838,0.009435292389129447,0.00040478669266408367,0.00012201068649710239,0.0014164365934061442,7.109849674640377e-05,1.917014183260194e-05,0.00010849650454759476,0.0016640619789724418
900,4.90592018102033,0.005690699656076328,0.08730638121170617,0.003251839615204325,0.0008006563803044447,0.011842473843353546,0.0003933056692293388,0.00013314335929549666,0.0017015141322723215,8.06306957234576e-05,4.457369391653012e-05,0.00022120052327876668,0.0018820236539483807
1000,4.886248857424075,0.005831423743410911,0.09116030183916227,0.003988727968105984,0.0008749403770910252,0.012889106455742438,0.0005177431094676501,0.00013599188077708377,0.0020869172007377925,8.212284973724043e-05,6.386274130615334e-05,0.00039934340765547456,0.0021688194170411236
