miliseconds,Sic1,Cdk1_Clb5or6,Cdk1_Clb5or6_Sic1,Clb5or6_degraded,Cdk1_Clb3or4,Cdk1_Clb3or4_Sic1,Clb3or4_degraded,Cdk1_Clb1or2,Cdk1_Clb1or2_Sic1,Clb1or2_degraded,Sic1_degraded_re14,Sic1_degraded_re18,Sic1_degraded_re5
0,4.992805387715863,-0.00010407589992158642,0.0027936524474872423,-0.00020876445256693947,-2.2727744306304202e-06,-0.0006759450593968767,-8.494188170829451e-05,-2.781598508544492e-06,-5.7070361947794985e-06,5.372028987581708e-06,7.876067609687257e-06,-0.00011404695377990157,-0.000704038421468274
100,5.000248464544815,0.0035982759899770016,0.010907964220132273,0.0005695755534378631,0.00046903847322151413,0.0013352267815485452,0.00010002202485176427,6.710058673552875e-05,-6.438091081748054e-05,4.010968699561514e-06,1.7324711530128262e-05,1.8747622843845993e-05,0.0008160948343008478
200,4.983900307457195,0.004181131597045699,0.013637284600518183,-6.586008349863996e-05,0.000582415434904281,0.0011621924930310967,6.105350851800711e-05,7.330129326884303e-05,5.550945507563432e-05,8.927549411684477e-06,1.322101429798392e-05,2.480697266772156e-05,0.0008310401334383657
300,4.974288727814467,0.004219830010904656,0.030143735180658552,0.0005221011624462748,0.0005940168665427621,0.0025407062564945736,0.0001024249138627664,8.818527251733905e-05,0.0005080166928994756,2.2982539552922934e-05,-7.536370507044775e-06,6.649670791448614e-05,-0.00011951920630101206
400,4.96192908311141,0.004687578892440411,0.03128317810889641,0.001156829501218058,0.0006488888246186601,0.004572378692844191,0.0001168138856218026,8.812119744451803e-05,0.000680939957801941,1.6224188694212422e-05,2.3450050730964088e-05,-5.968105415303443e-05,-0.00010035226865632755
500,4.943611944897717,0.004754139876727055,0.04985717942056952,0.0020447183409405927,0.000715298991392703,0.007169238390251862,0.00011883099178975465,9.794660335759991e-05,0.0006415986900903664,1.9093013196875723e-05,1.2903982444399859e-05,5.288739443235387e-05,0.0005695599540907896
600,4.9281065347323425,0.0050758305645827225,0.04883699811221453,0.0017928642030376274,0.0007335205061593272,0.008066043417918209,0.00018179406567741494,0.00011144988125109245,0.0011876666663780961,4.019892931888833e-05,2.091489136872989e-06,5.884305845955472e-05,0.0004400319276195396
700,4.928463092405612,0.005057372795442762,0.060687057312693284,0.002273748359549429,0.0007822678524004447,0.00895924102767787,0.0002710465102566938,0.00011738092939763512,0.0014525972920953654,3.852446103832248e-05,2.4931464240566503e-05,0.0001138423368264076,0.0018080834558259766
800,4.913335542171852,0.005580982995957546,0.06764049099493304,0.0028548343543613472,0.0007963179228938215,0.011078747373298295,0.00036944200963974516,0.00011751175484712088,0.0016507641964637577,6.572979892102381e-05,8.140622806594437e-06,0.00010997074979891426,0.00125669326100527
900,4.9044604985577935,0.005546890197988564,0.07614263707373073,0.0028091862841003673,0.0008495139695656012,0.01265976871955926,0.00047914293196498685,0.0001292381358175883,0.0017111746790380018,4.712503375822586e-05,3.267435724887797e-05,0.00038047730325049334,0.0017234669418660373
