milliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,-3.2373808768895338e-09,7.411084254484548e-09,-1.0656607213912867e-09,4.4549164604098064e-12,4.652498590240735e-08,1.669395614446264e-05,-5.773083738449156e-07,-3.988824514263227e-12,2.8382310937094e-07,-5.359954131728606e-10,-1.8487940977284645e-12,1.7369561289344657e-08
100,8.803064724298991e-08,2.1881217248114872e-08,4.401594958564162e-08,1.42577607742555e-10,1.03235478734306e-06,2.973143668698016e-06,7.144025905897465e-07,-4.4768085766219515e-12,4.5512345563615485e-06,-7.332308375046742e-10,2.196142863940878e-11,3.428218888980749e-06
200,5.038249376868433e-08,1.9937274584426767e-08,2.9546071934149844e-08,8.210988597865294e-11,6.406167977749488e-07,1.56482170736301e-06,-3.42300888105824e-07,-4.485264613433223e-12,4.318621747342831e-06,2.3086382817444546e-09,1.751706200217131e-11,2.165936809378856e-06
300,2.079011182266639e-08,-4.291891280109357e-09,1.2246796599924364e-08,3.090930760545111e-11,1.961716652564189e-07,4.799949644675379e-07,1.0907727481279714e-07,4.706062547272789e-12,2.0649531333281167e-06,2.4350005403401804e-09,-1.080618625474269e-11,8.577656241133502e-07
400,-4.8381381783264115e-09,1.4191136592500724e-08,-1.9633021340156283e-09,-5.2017978830278455e-12,-9.549032402449482e-08,-5.3737392049598483e-08,1.168064428998655e-06,2.498770161765646e-13,2.125268456863201e-06,6.148294227481233e-09,1.933225148067168e-11,-1.7590369324918305e-07
500,1.7677332091918366e-09,1.80976544850807e-08,-2.996364268834541e-10,3.420388400600959e-13,-4.171453751767377e-08,-2.9524974202399286e-07,7.164098221599225e-07,3.0097214972177436e-12,2.169312028458819e-06,-1.7454545813850103e-09,2.557101465202106e-11,6.592780423944381e-08
600,3.910401911128306e-09,4.091232732348886e-08,8.005954933759965e-11,1.853078492006657e-12,4.39855584081968e-08,2.4735301172835867e-07,1.4058394365301072e-06,5.1541345012941905e-12,8.182786912233929e-06,3.7046283165378676e-09,6.887326126494745e-11,1.7533473478963237e-07
700,5.488444429895607e-09,5.1440978079640675e-08,3.5929523008098673e-09,4.893617558710992e-12,7.308369552382267e-08,3.622561395878682e-08,1.9734091021368515e-06,1.149847093243121e-11,1.3393317973689146e-05,7.189295428286408e-09,5.605035101011213e-11,2.0189932325648566e-07
800,1.3888097615168586e-08,7.59951809685812e-08,3.6463119785985572e-09,9.25733718313146e-12,1.5345124002972343e-07,3.6328231163476975e-07,1.5500576892461934e-06,8.347320297703685e-12,1.0065684745302299e-05,1.691408190232305e-08,9.793367480187317e-11,4.017916845781252e-07
900,1.3636040040208917e-08,1.0313323666039954e-07,6.5005086270012434e-09,2.544309830357048e-11,1.3278380282389386e-07,5.393137065301374e-07,1.6842849663756182e-06,1.8538087936824138e-11,1.3527521709041242e-05,1.0558896644572575e-08,9.717662513999818e-11,7.98929150085747e-07
1000,2.020309730279348e-08,1.1393895305346754e-07,9.99072735078404e-09,2.9597864261076194e-11,1.5576710860334855e-07,4.1309251934788854e-07,4.0827776378262385e-06,2.186384604363677e-11,2.194294163720477e-05,2.1852571610303136e-08,1.4721142353954127e-10,7.505433025153107e-07
1100,2.5845640698194385e-08,1.1420911190952347e-07,9.850534303035963e-09,2.7031227983622393e-11,2.757786340662405e-07,6.576153316309088e-07,3.6498878291568495e-06,1.863051819931299e-11,2.355754558743749e-05,2.266748831997703e-08,1.7036707426473203e-10,9.798316382317466e-07
1200,2.6811744026390612e-08,1.488536561780024e-07,1.5894457573775073e-08,3.293045901068453e-11,2.571735566194617e-07,9.598154620998108e-07,3.3338040408061268e-06,2.5537539311716737e-11,2.6857787937796285e-05,1.829839586716521e-08,1.687390050741938e-10,1.1814672476719e-06
1300,3.216735157094131e-08,1.3812308343395317e-07,1.767962364572586e-08,5.0306568493327565e-11,3.3165658803430775e-07,9.752496835329306e-07,3.874777679036218e-06,3.916608309796235e-11,2.583989570301504e-05,1.912557265161343e-08,2.1080741104709776e-10,1.436961183863495e-06
1400,3.2719550809082814e-08,1.6669666181090126e-07,1.967321363485395e-08,5.630812984638745e-11,3.522004896610068e-07,8.073067584718764e-07,5.753706740682086e-06,4.0038773730495226e-11,2.8082717107834373e-05,3.228916524967142e-08,1.991694771207424e-10,1.6278836932329202e-06
1500,4.195478964318238e-08,1.6763595765937582e-07,2.2157659684226074e-08,5.293125535608697e-11,4.5366365102240737e-07,1.164546620378412e-06,5.780870774959155e-06,3.2832992091197225e-11,3.5223647631500163e-05,3.185740562285774e-08,2.5077586773178535e-10,1.8109913454855186e-06
1600,4.471202664064525e-08,1.9867718776282074e-07,2.1786028119853253e-08,5.784841892741252e-11,5.10959449775417e-07,1.1405703086789935e-06,6.977189386625223e-06,3.9057713941571565e-11,3.922159102200296e-05,2.748977395976527e-08,2.7645064785580394e-10,1.8043741121987511e-06
1700,4.448992051239642e-08,2.031915238837657e-07,2.4496180195883017e-08,6.768709910189141e-11,5.595167174683465e-07,1.4159141809859267e-06,6.8233451861943845e-06,4.9392392148186946e-11,3.993537454197131e-05,3.880983396760681e-08,2.584244584561588e-10,1.946304557157669e-06
1800,4.8918635502141145e-08,2.185706695800411e-07,2.6208345890974985e-08,7.420628620993674e-11,5.673664252353575e-07,1.7382193630880586e-06,6.271767436708764e-06,5.601269386986477e-11,4.3896318865053564e-05,4.3438860834548844e-08,3.0494512616834956e-10,2.176888567488567e-06
1900,5.436794100920706e-08,2.555165886189053e-07,2.9421758906159893e-08,8.253136112950938e-11,5.643894478552686e-07,1.5055693538284712e-06,8.395431104643013e-06,5.402093933236978e-11,4.4551351336356066e-05,4.3939643125569726e-08,3.4016488621975126e-10,2.4317785333494093e-06
