milliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,-1.1275892939008485e-09,7.039442690934716e-09,8.208057985429283e-10,2.5145901171357683e-12,-3.0072969252498795e-08,1.669754329481376e-05,1.1734794204922386e-07,-7.663264510052018e-12,-1.995707503204254e-06,-2.4146185542328607e-09,1.9642017040808764e-12,3.093482771600675e-08
100,8.868448864002483e-08,2.0462399297383004e-08,4.5112840610113494e-08,1.3652061380381772e-10,1.0544886618998028e-06,3.0534212027785494e-06,-7.320465102304486e-08,3.560465749870465e-12,-2.6029018601360636e-08,-1.911392585039393e-09,5.888841038366189e-13,3.4669417214652954e-06
200,5.2861391200348076e-08,-1.1363980780989148e-10,2.9056733651285576e-08,8.796483074379345e-11,6.393593401754105e-07,1.6257386028677272e-06,3.3140369752279814e-07,-5.708405259990409e-12,7.443739064094907e-07,-4.458202275162863e-09,-6.900016811914997e-12,2.253719180678947e-06
300,2.1051843738864436e-08,1.874195080997991e-08,1.1879325570978283e-08,2.7408758549271423e-11,2.7091677087309417e-07,5.26840902837886e-07,-2.922447594934091e-07,7.441192909654768e-14,-1.099401051011021e-06,-1.7511011577330448e-09,1.9332289249473287e-11,6.457529393215046e-07
400,-7.4105034254961225e-09,2.0270464435232214e-08,-3.410756621657817e-09,-9.988780035791386e-12,-4.117078643210726e-08,-1.0773044408031798e-07,6.238362835567824e-07,5.768995425480533e-14,2.7338097981297775e-06,5.48585286032801e-09,1.9817562259053727e-12,-6.519221779344433e-08
500,-5.803077960644998e-09,3.114688800370828e-08,2.618700482877329e-11,2.243040824789581e-12,-1.782875880133337e-08,-3.164567023582489e-08,1.364264748961304e-06,3.81742023555074e-12,1.3787072429869893e-06,2.7737233678055785e-09,1.4207039383471541e-11,-1.033891130635692e-07
600,7.429774075656154e-10,2.7294848006986975e-08,8.553615824419148e-10,5.145759642784759e-12,4.029972864043055e-08,2.2337946252627093e-07,6.554592235903651e-07,5.450726214366551e-13,6.011655505985244e-06,8.8148844570786e-09,3.697761686639299e-11,2.0548042667907631e-07
700,4.630429034392511e-09,5.51624682134212e-08,1.2794308530992628e-09,7.591213153543904e-12,2.142248614508504e-08,2.3777306112434653e-07,1.9529798184814404e-06,7.093490851596895e-12,1.0162933948415221e-05,9.203665700053646e-09,9.44782058218423e-11,3.277473249383518e-07
800,9.390695629600615e-09,7.718611080547319e-08,6.0399468635421695e-09,1.9081800271959387e-11,8.698105095686976e-08,3.460903928529963e-07,2.761114192862561e-06,8.923432436527211e-12,1.4877189909981165e-05,6.643457071892168e-09,8.419107241756046e-11,6.580519228646305e-07
900,1.3576918744549518e-08,6.993148730142685e-08,8.89273122520981e-09,2.105647546514309e-11,1.8633300187463712e-07,3.935647041929866e-07,2.134047337557725e-06,2.344146089201596e-11,1.54400747216416e-05,1.756607004340658e-08,1.0589795853162618e-10,7.764469507370874e-07
