milliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,5.489129014236629e-10,4.050423251540905e-09,-9.81995126170134e-10,1.1792713964313757e-12,-4.549008332681887e-08,1.6489317389466547e-05,8.066533856790148e-07,-5.019848161042152e-12,2.0545598492116262e-06,-6.457593376825421e-10,3.873828450837873e-12,-1.5295457871402147e-07
100,8.812592430573982e-08,2.9375940598997423e-08,4.5164612574723544e-08,1.3867036850524988e-10,1.0048724003135885e-06,2.9051790967948758e-06,-6.853302749292497e-07,-3.5967567542372907e-12,4.52467553434258e-06,-4.1877116342522355e-09,3.10581057093566e-11,3.5225293834186966e-06
200,5.09099195257948e-08,1.8970845458286956e-08,2.609617278787906e-08,9.1239047258572e-11,6.624365601697162e-07,1.773278283763857e-06,8.657677256039323e-07,-3.6397686344449505e-12,3.809802599977469e-07,8.182526856138197e-10,-1.727777131151098e-12,2.1119352948261913e-06
300,1.8682558800259008e-08,1.8255341711861017e-08,1.097669555471976e-08,3.3485999291138724e-11,2.2382240972368198e-07,6.944183636385222e-07,-4.2201242693454163e-07,-5.5234163454559554e-12,-8.809765168358681e-07,-1.5305098277240512e-09,-1.2927560563278005e-11,8.640207114802859e-07
400,-7.108865870069644e-09,8.822016438524162e-09,-4.458292548738344e-09,-1.5299570536080826e-11,-4.1581975730741216e-08,7.881916032146678e-09,-6.576548579537236e-07,-4.1558406545890265e-12,4.330119604705519e-06,3.6866487083652973e-09,7.98591919710294e-12,-2.690803268949787e-08
500,-4.709891903090069e-10,1.01043082822183e-08,-5.768418959184549e-10,4.172037125549873e-13,-3.9387880472329536e-08,-5.825295946691084e-08,7.871886289469645e-07,3.495409124159837e-12,5.236511733347477e-06,2.806405236562269e-09,1.528709355043155e-11,-2.1756750437644985e-07
600,2.786642742046444e-09,3.115475498477013e-08,8.891855126996925e-10,8.847519254697492e-12,1.9009771543849954e-08,-6.293184562611239e-08,1.7128107899652699e-06,1.2376027324452537e-11,6.688213981508356e-06,1.1523973470473602e-08,6.389555808396002e-11,3.2384372889440686e-07
700,7.2760651748081725e-09,4.938563149755536e-08,3.439750656698035e-09,4.1622664949189686e-12,3.477258059226121e-08,3.248330815649554e-07,2.6275189674605425e-06,4.907488756605505e-12,1.3449209416308431e-05,8.403753815322116e-09,8.669245729161087e-11,3.8955019838502266e-07
800,1.2667357548510154e-08,8.45165523526063e-08,3.3777168306636784e-09,1.403452576797319e-11,1.177531390852094e-07,5.078055910511276e-07,1.8442568862600249e-06,8.451956345416816e-12,1.2554579845329584e-05,1.2533477378398427e-08,8.87981507353953e-11,6.154942374214718e-07
900,1.8102711269313686e-08,8.804474599104612e-08,6.110420399554483e-09,2.1429373864697425e-11,1.1375343541916552e-07,2.0155283272319141e-07,1.851440738265354e-06,1.723906164206274e-11,1.8505332093525493e-05,1.54931290979743e-08,1.0251378317255001e-10,8.007149903259278e-07
1000,1.97918222504267e-08,1.0475137639961519e-07,1.0806213370825104e-08,3.085324076601277e-11,2.139009559807495e-07,7.682209514199801e-07,2.354182890745378e-06,2.7673212722639613e-11,1.8702546717298046e-05,1.716267750912612e-08,1.4553098541025794e-10,7.930499086091245e-07
1100,2.2381466272336412e-08,1.3112410334041154e-07,1.2625671433276124e-08,3.1966999636397815e-11,2.4163377401396324e-07,6.1905881173763e-07,3.4106377215422416e-06,2.919484446167754e-11,2.0980231382639332e-05,2.3501913837202253e-08,1.46813531634076e-10,1.1995743309448578e-06
1200,2.645632140125446e-08,1.3318371395685855e-07,1.263909588715499e-08,4.448439893448321e-11,3.153463855735725e-07,8.197615237970298e-07,5.1599416992668434e-06,3.010344416148148e-11,2.1866816530884126e-05,2.1503046431499113e-08,1.5936184018343961e-10,1.1483998982639242e-06
1300,3.516241151654437e-08,1.5995682190097798e-07,1.7545430471327745e-08,4.704221929702619e-11,3.177265583125924e-07,8.664358412212776e-07,4.1797193533438236e-06,3.5901246615358065e-11,2.5587476007412446e-05,2.4576462307155028e-08,1.8127157204054699e-10,1.3488147323217217e-06
1400,3.772842650695717e-08,1.7514681458684294e-07,1.652651310641581e-08,5.5673800222407654e-11,3.6764942420437885e-07,1.052447868868453e-06,5.309626494769875e-06,3.546969477167834e-11,2.7763654067759045e-05,3.2860521018707466e-08,2.1777766619722434e-10,1.5903496431080338e-06
1500,4.033950311566786e-08,1.9652770120249048e-07,1.918569512833467e-08,5.66242596568549e-11,4.682895536852016e-07,1.3616766556600542e-06,5.54501781671783e-06,4.403925614075347e-11,3.359641392994474e-05,3.2954246500440873e-08,2.5002807193572686e-10,1.883953104684815e-06
1600,4.458999347281758e-08,1.8286993923436582e-07,2.176724928867325e-08,6.507540314420623e-11,4.298671828739806e-07,1.1176419248904264e-06,5.959254080223108e-06,4.9813642364914465e-11,3.55602530744595e-05,3.753417592214465e-08,2.624695709622951e-10,1.8835077703333372e-06
1700,5.0219984138003164e-08,1.9434760610940446e-07,2.3367507809955658e-08,7.47982166551722e-11,4.759128339583691e-07,1.4527366244437546e-06,6.502337555876734e-06,5.4409930620427466e-11,4.055885920616359e-05,3.980171590867889e-08,2.669615200738073e-10,1.963446680827165e-06
1800,5.134629293009901e-08,2.3056976527719892e-07,2.5545019957339227e-08,7.818959740947712e-11,5.384216134819567e-07,1.734173091266628e-06,6.602422279884342e-06,5.432740540803148e-11,4.4445370918348206e-05,3.4720364065149274e-08,3.2248276740023714e-10,2.326481481212572e-06
1900,6.000304220880914e-08,2.572755419551143e-07,3.0287992499598075e-08,7.602763980206685e-11,6.344712528845142e-07,1.4486767191641215e-06,6.675174090730982e-06,5.57839374616985e-11,4.356878459331809e-05,3.712830640445313e-08,3.186016425406237e-10,2.3370623335836007e-06
2000,5.971991514455091e-08,2.60650173710446e-07,3.0594675785132814e-08,8.763170370330107e-11,6.362844099483744e-07,1.7779188902529055e-06,7.113501849272717e-06,5.372476229049595e-11,4.676851039328854e-05,4.275412505656394e-08,3.374489488919226e-10,2.5958174216233063e-06
2100,6.471006996194907e-08,2.629461510228199e-07,3.3914822604416743e-08,9.523887468397764e-11,7.389032908029921e-07,1.9802014427448436e-06,8.690444266512794e-06,5.572699645579355e-11,5.2392709931147854e-05,4.5241039886443985e-08,3.8114691786791245e-10,2.9474845103900643e-06
2200,6.783195322667847e-08,2.974017413462875e-07,3.4882326204068745e-08,1.0220628444317126e-10,7.018084126742258e-07,1.843869731902264e-06,8.798963410629828e-06,7.198890193076679e-11,5.3740050561825747e-05,5.3408119715786865e-08,3.851510965143171e-10,2.8099358284372184e-06
2300,7.568994385090292e-08,3.0127408713464854e-07,3.8506031410888034e-08,1.0544468873847089e-10,7.935987183160907e-07,2.097862771083231e-06,9.36433348674261e-06,6.870526176490026e-11,5.8336842130340646e-05,5.48535873345154e-08,3.870946528276794e-10,3.299685957944534e-06
2400,8.104803202027009e-08,3.1699400493123776e-07,3.807983691377237e-08,1.1379638892845494e-10,8.413197203628759e-07,2.0815398426186396e-06,1.0851691193106461e-05,7.981861266516254e-11,6.0687210599755134e-05,5.7067328412929306e-08,4.2036664288955296e-10,3.34315527507745e-06
2500,8.353563846373939e-08,3.398136988946733e-07,4.1790460527447066e-08,1.1702206629629684e-10,9.233311599209958e-07,2.3850123035459355e-06,1.055842975477497e-05,7.235519622404343e-11,6.067580135007933e-05,5.23492984250769e-08,4.699442581101267e-10,3.564402712498288e-06
2600,8.304875809766876e-08,3.624508863168516e-07,4.149767638620256e-08,1.2528946481402435e-10,9.079004510208975e-07,2.2976228481102775e-06,1.1753779558842225e-05,8.164998760163737e-11,6.278569854996413e-05,6.457270017971738e-08,4.846968430124617e-10,3.771063766535065e-06
2700,8.717883111152824e-08,3.505723376154076e-07,4.684518131031958e-08,1.2894404278741232e-10,9.67300795037509e-07,2.8091242305886866e-06,1.213690125069561e-05,8.575699601781182e-11,7.074916699506537e-05,5.7722136961330577e-08,4.979562727613435e-10,3.97926275556445e-06
2800,9.476652387931531e-08,3.707054316589344e-07,4.9044224120481395e-08,1.3084463431393046e-10,9.768768590137994e-07,2.7287476807106047e-06,1.1832549200448886e-05,8.575549845585666e-11,7.124107068982974e-05,6.898127561256918e-08,5.067411559146517e-10,3.937286053648368e-06
