milliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,-2.749216434098594e-09,-1.4708949215786069e-08,2.139073495759155e-09,-4.424506787576655e-12,-1.494354672126639e-09,1.6680849836950882e-05,-8.166365280500216e-07,7.408959956333679e-12,3.771998519229913e-07,-4.201564732295893e-09,-8.133865213745545e-12,-1.837329515803347e-07
100,8.328160709546819e-08,1.4611630136102147e-08,4.718256775248498e-08,1.367227793669397e-10,1.0419791199141577e-06,2.727725132936391e-06,-2.0023610617159702e-07,-1.5489202788950125e-12,1.4286174219373552e-06,-5.695796725904607e-09,2.7576255329838508e-11,3.342931884939883e-06
200,5.451618170994461e-08,1.132824346805513e-08,2.7906533937927024e-08,9.060966578144881e-11,6.682079849758659e-07,1.7660906727986807e-06,8.696971299933004e-07,5.6096581988120534e-12,1.0831755705851013e-06,-4.928522140798107e-09,2.902476226593501e-11,2.164657054159124e-06
300,1.9723200232157452e-08,1.2016029301107467e-08,9.487603740140024e-09,3.006153534651152e-11,2.0328016336694866e-07,8.713416471863466e-07,4.782731221278408e-07,1.9335098539968756e-12,4.3800231907213596e-06,3.297117664962595e-09,1.6110118370988605e-12,8.016896601239033e-07
400,-2.0771060301825757e-09,2.532006399542825e-08,-1.075132007310959e-09,-2.7188776398284788e-12,-7.592384709720415e-08,-9.890364957730337e-08,-6.063728369229684e-07,-4.2919825137189596e-12,4.2780232218481085e-06,5.405342509736464e-09,3.070929856321465e-11,-3.2723877534183456e-07
500,-2.5887306943812303e-09,1.4961089684894002e-08,-5.894175143468235e-10,-4.80671239878064e-12,1.3160630073910926e-08,-1.3092233361764584e-07,1.2488594936240879e-06,6.2286216519642146e-12,3.129193274188595e-06,7.608848091684305e-09,1.7742466287670075e-11,1.1681474108677907e-07
600,9.978749616462478e-10,2.469849859778379e-08,3.933541554371754e-11,5.5723583204719795e-12,-1.5711308035523576e-08,-1.0910444104719564e-07,1.4991606044620516e-07,1.5247004937949462e-11,5.126571852419435e-06,1.0320151118491835e-08,5.1381419508136985e-11,3.258739217881692e-07
700,8.974299134867166e-09,4.512104238055891e-08,3.1018998931406567e-09,9.83065169597593e-12,6.048852577094208e-08,3.618815521782697e-07,1.5375197223475385e-06,1.2692577977259993e-11,8.898595189099698e-06,3.2809620658463296e-09,8.528341110820218e-11,4.035013861690738e-07
800,1.113557692806281e-08,8.20997217764244e-08,3.501015929654458e-09,1.1636589852346521e-11,1.3010145660049013e-07,3.5983296022231386e-07,1.314895974432503e-06,1.0130966443436337e-11,1.2746657473044684e-05,1.033834875686443e-08,9.151985130019861e-11,5.235872743540967e-07
900,1.476598318639487e-08,9.135041332644574e-08,6.998824641748473e-09,2.0757393059159326e-11,1.4121941184999007e-07,1.939220067441454e-07,2.299276473759261e-06,2.6068045719630896e-11,1.5859684165949285e-05,1.0990443831489856e-08,1.0631256470892691e-10,4.995629975590434e-07
1000,1.9808356787545594e-08,9.852277026240931e-08,8.43031652677257e-09,3.086360921189099e-11,2.3665090322310296e-07,5.703956944669475e-07,4.0758111724293266e-06,2.3982488106899842e-11,1.680982083284897e-05,1.5278831394716794e-08,1.3259730338144595e-10,7.930274766108215e-07
1100,2.1980203403765923e-08,1.0679061841811546e-07,1.1773689757028959e-08,2.9920195596388156e-11,2.878997097303804e-07,5.145241257037113e-07,3.023721493347774e-06,2.838647047784705e-11,2.168948425278787e-05,2.0889471664713864e-08,1.5143743085092354e-10,8.585686438628883e-07
1200,2.6418053809877753e-08,1.4357003540020872e-07,1.1935060435099995e-08,3.8789339256338996e-11,2.692916163055636e-07,8.540184995613299e-07,3.6932730244332614e-06,2.4327392494080995e-11,2.6635266563466214e-05,2.449858564495902e-08,1.57982870134546e-10,1.2151460685661177e-06
1300,2.8268940875745098e-08,1.5903810083550662e-07,1.7836824665414548e-08,4.0833685989725555e-11,3.2684339448836676e-07,1.0731581758523455e-06,4.150383528720399e-06,4.054309185827482e-11,2.841567700855364e-05,2.5651786137633495e-08,2.0173775159731324e-10,1.3276814777651524e-06
1400,3.68203404492807e-08,1.8079771621297175e-07,1.9373261789268372e-08,4.773594183373408e-11,4.186714732474202e-07,1.0586778020261005e-06,5.079604864563269e-06,3.064675680145727e-11,3.037832683386518e-05,2.2234911229266737e-08,2.33895433172647e-10,1.66632836980113e-06
1500,4.2940844406921944e-08,1.871135726524148e-07,1.9178698346024254e-08,5.2367280732189914e-11,3.8938861583179395e-07,1.3766493197891668e-06,6.032844157280163e-06,3.689634939447421e-11,3.482717162181801e-05,3.128853116468387e-08,2.3486959817909026e-10,1.7355568979034144e-06
1600,4.002162799360171e-08,1.973628583286914e-07,2.3150759140062376e-08,5.765528464431916e-11,4.797732816019077e-07,1.1766885365362756e-06,6.739976306454612e-06,4.173745510048529e-11,3.467992015062743e-05,3.461894219425865e-08,2.6238179388678877e-10,1.7253809052577584e-06
1700,4.6352664050590926e-08,2.1107006156501437e-07,2.3658781864742732e-08,6.650689702668064e-11,5.223067465335498e-07,1.47747899608203e-06,6.6075556154613235e-06,4.4246638640155593e-11,3.910509177250283e-05,3.849268480520674e-08,3.018094603019705e-10,2.0514783132452857e-06
