milliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,1.5873708975219672e-09,1.7140036695192466e-08,2.5745926900955933e-10,1.0688284999991453e-12,-1.7264262510524673e-08,1.6725013852743588e-05,-5.71309188859888e-07,-3.4354352728235326e-12,2.1712227135235457e-06,5.175758944836027e-09,-7.629253964193247e-12,6.973220279808606e-08
100,8.970055627570684e-08,2.8083819975081446e-08,4.757957085686023e-08,1.3945919547120505e-10,9.94966299367094e-07,2.9606918166625033e-06,-2.395317471920516e-07,6.368836516968906e-12,1.4401149348536984e-06,-4.4081678264334046e-09,2.76485714694753e-11,3.327899181615268e-06
200,5.379668444772318e-08,1.7039473444729547e-08,2.844519174585402e-08,9.220439410135296e-11,6.407596912386779e-07,1.998796333818032e-06,9.107841181215967e-07,7.059802954683236e-12,2.08253850608261e-07,-4.186405835111195e-09,1.4899700181250284e-11,2.0075706780966966e-06
300,1.8208502636416347e-08,6.171793648521927e-09,1.0622798005623738e-08,2.6918587486660764e-11,2.0058356203883145e-07,7.930807419750692e-07,-6.326214447448563e-07,6.698587694248538e-12,1.5893299843484163e-06,3.040632207020808e-09,2.326313285263769e-11,7.064100025045366e-07
400,-3.7489311618513365e-09,9.461379609011497e-09,-3.784053597916145e-09,-8.963806605792058e-12,-1.0899061082269993e-07,-1.8801248581942586e-07,-8.740175236500847e-09,-1.4199398921503254e-13,6.606200232422412e-07,1.2854774219044602e-09,8.260017639458163e-12,-2.46921887875649e-07
500,-2.6062951883939224e-09,1.4245048236697742e-08,-1.8622920758618304e-09,-1.5546075610633585e-12,-5.341039142631687e-08,2.4323838216459105e-08,3.2979491847939734e-07,1.203375636948522e-11,6.209753537275225e-06,4.273810693095857e-09,4.620560840112713e-11,2.686869239495543e-08
600,-1.9771823327772612e-10,2.445491815513195e-08,1.687783318917118e-09,6.403789605858439e-12,3.3096408253447423e-08,2.0743513504365295e-07,1.5053805711561676e-06,4.993115548891606e-12,1.0627302080537244e-05,2.92071453181799e-09,4.589121541700258e-11,4.380316361170347e-08
700,6.560364863870479e-09,4.185673993029947e-08,4.7407650233272076e-09,1.388238449830652e-11,3.075246755168746e-08,1.7272901726136381e-07,2.5082313087230655e-06,1.9350160497809266e-11,1.024387366304271e-05,3.45042234715756e-09,7.961727585788652e-11,4.708041289204895e-07
800,1.4615526935177285e-08,6.876023519439629e-08,6.40678105719622e-09,2.1249809983374097e-11,1.5860621664410154e-07,4.2072790675794336e-07,2.505186047126927e-06,1.177740582567695e-11,1.0154351857551689e-05,9.779784449005154e-09,1.142976015707716e-10,4.778461702643256e-07
900,1.4749356890356306e-08,8.670019453601859e-08,5.522453727837915e-09,1.578154647416238e-11,1.3013452138950797e-07,6.164645929999875e-07,2.138675250375246e-06,2.0943781466833204e-11,1.4527290866616586e-05,8.696840924237886e-09,1.1645458242797848e-10,5.846671426961956e-07
