milliseconds,P,D,I
0,0.01,0.0,0.0
100,0.014338741592548344,0.00061387449420637,0.0
200,0.020497513539390125,0.0014920662678153229,0.0
300,0.02921171599634526,0.0027448099027379273,0.0
400,0.04150087152502301,0.00452657019453443,0.0
500,0.05876733862058104,0.007052936976290935,0.0
600,0.08291642092722247,0.010623035635422112,0.0
700,0.11649061373995093,0.015648479584011978,0.0
800,0.16279479328144414,0.02268904652348335,0.0
900,0.22596188646875587,0.03249347890216745,0.0
1000,0.3108671492500627,0.04604022346009736,0.0
1100,0.4227519218549749,0.06456702921904571,0.0
1200,0.5663968796541234,0.0895704943386116,0.0
1300,0.7447570700283657,0.12274975264433365,0.0
1400,0.9572199914686299,0.16586954041356916,0.0
1500,1.1980677600941039,0.22053637130274778,0.0
1600,1.4560713699587895,0.2879212547840151,0.0
1700,1.715962712216436,0.36850815850099744,0.0
1800,1.9616023413550754,0.4619644101331247,0.0
1900,2.179550935012106,0.5671900854240272,0.0
2000,2.3614624855851747,0.6825250039599596,0.0
2100,2.504535721768521,0.8060286170664848,0.0
2200,2.610396130470457,0.935738874200385,0.0
2300,2.6833496407795674,1.0698551545719088,0.0
2400,2.7287707867117295,1.2068311695360656,0.0
2500,2.7520057949975034,1.3453984101585137,0.0
2600,2.7577934876338657,1.484548296088301,0.0
2700,2.750045627392382,1.6234942760129405,0.0
2800,2.7318448371538477,1.7616288092708512,0.0
2900,2.705565652643959,1.8984827794423849,7.684315118265611e-17
3000,2.672972766968632,2.033693095712025,7.420717977927202e-16
3100,2.635368079778879,2.1669747611948593,6.1833191460501204e-15
3200,2.5937001108121476,2.2980995201652785,4.693951879649777e-14
3300,2.548643995868866,2.4268802029842025,3.3582016635776163e-13
3400,2.5006629226873285,2.5531590915638427,2.388483295610009e-12
3500,2.450062859429799,2.6767981718836924,1.6398209795255935e-11
3600,2.3970299537460282,2.797671724158934,1.0153407421430648e-10
3700,2.3416507915840943,2.9156610646284586,6.189944440910189e-10
3800,2.2839293314279243,3.0306499954756525,3.6737771216142364e-09
3900,2.223797912779575,3.1425206692902834,2.09789342213795e-08
4000,2.1611202793405435,3.251150175048491,1.1445521466834627e-07
4100,2.0956909057280697,3.356407024176631,5.942202506855621e-07
4200,2.0272290829902877,3.4581475023130546,2.92886419452192e-06
4300,1.955367506415256,3.5562115838200126,1.367344992661772e-05
4400,1.879634118075556,3.65041810343485,6.031511081105844e-05
4500,1.7994250253674244,3.740558791515602,0.00025068079680196044
4600,1.7139648998877899,3.8263906348351413,0.0009783733219269233
4700,1.6222490057813703,3.907625789383438,0.003570159412218615
4800,1.522957246188567,3.9839178867066987,0.012103512198977031
4900,1.4143240911427364,4.054842935491631,0.037726361947738624
5000,1.2939365317842166,4.11987193264876,0.10622347968827975
