milliseconds,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,z_i
0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
100,1.9027532649303278,0.013960556143296839,6.287197681006146e-06,0.06828279791304086,0.9048376143034809,0.999841117976418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1007623843905383
200,2.759175590556556,0.03464582649368488,2.960637911084406e-05,0.16617473504704666,0.8187324844075377,1.0271350136481223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10366481787838111
300,3.57949219897947,0.060525218863235426,7.526859611356316e-05,0.28499478282395385,0.740824608605408,1.0942015613357532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10964833265758966
400,4.3717409780717995,0.09033785938708694,0.00014699187862433796,0.41796275599260907,0.670336241864872,1.2173529511014853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11986208175819815
500,5.142265416957504,0.12300468205273737,0.0002470832288091209,0.5597711294231844,0.6065639142413866,1.4219354930920056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359395918350419
600,5.896084965186107,0.15754809475812212,0.0003764721708939559,0.7062627928973442,0.5488712662268891,1.750232831165082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16038507756391795
700,6.637175031034728,0.19300640317160317,0.0005345564883623187,0.8541870884900603,0.49668251256376766,2.275229757421939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19717014087038015
800,7.368681413101526,0.2283265218526641,0.000718773513745053,1.0010127025117264,0.44947651297125457,3.1257754802415953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252698758791574
900,8.093086113170692,0.2622137833192588,0.0009237429463077796,1.144782808271487,0.40678134972320823,4.533136087950852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33736876798239124
1000,8.812336880678455,0.29291538130607,0.0011397582094632007,1.2840017674373598,0.36816930746970056,6.915744657275099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4679941568642102
1100,9.527949579346123,0.31793195367196087,0.0013504370590901738,1.417545543392889,0.33325214903733275,11.02404138115718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711415134324612
1200,10.24109008678214,0.33373665938761876,0.001529819648595283,1.5445900053300938,0.3016765828743693,18.152588632871122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9864144088244436
1300,10.952640861198342,0.33582143096408623,0.0016408920950464,1.6645526903328802,0.27311992744510183,30.333856581225053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4658173262265484
1400,11.663255947500286,0.3197964628756476,0.001641025951464525,1.7770447533649087,0.2472863236798514,50.17260462897289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1604143547253454
