milliseconds,ROS,alpha_syn
0,1.0000007432161413,1.0000016271510488
100,1.0028500880612532,1.0000003674975384
200,1.0028970705844102,1.0001072390418402
300,1.0028542953541109,1.0001518642194769
400,1.002871152350877,1.0002170132361374
500,1.0029142740071886,1.000200262740695
600,1.0028845706285392,1.000230223988959
700,1.002859844790217,1.0003406376325694
800,1.0028614820518693,1.0003491847913155
900,1.0029008129541472,1.0004122291348314
1000,1.0028822900079641,1.000429926898915
1100,1.0028729051325436,1.0004743358230277
1200,1.002876900622221,1.0005354615394173
1300,1.0028889920048243,1.0005465100924686
1400,1.0028743001089802,1.0006504228904345
1500,1.0029172417193468,1.0005947558925101
1600,1.0029121593195105,1.0006557047425353
1700,1.0029007363644316,1.000713692377448
1800,1.0028542930686384,1.0007970996281108
1900,1.0028987616623406,1.0008113108564831
2000,1.0028427583358859,1.0008005712175776
2100,1.0029010932410098,1.000884714502248
2200,1.0028810487105104,1.000935762932739
2300,1.0028783392919343,1.0009416997521985
2400,1.002867048715468,1.000949872079706
2500,1.0029096724247013,1.0009739083156999
2600,1.0028913283257954,1.000996152954695
2700,1.0029027659763512,1.0010105826277458
2800,1.0029230810670002,1.0011033848387545
2900,1.0028658806753907,1.0010745854082812
3000,1.0028521476237475,1.00116497988424
3100,1.002926827177197,1.0011370572921292
3200,1.0029220384354904,1.0011691653041406
3300,1.002895501313622,1.001274961842401
3400,1.0028658728483135,1.0012176334701255
3500,1.002917506861124,1.0012479900727216
3600,1.0028601154811863,1.0013258368722464
3700,1.0028716015485017,1.0013261539978475
3800,1.0028627277581963,1.001391021944698
3900,1.0029019649305313,1.0014252386234765
4000,1.002898168721672,1.0014138614740997
4100,1.0028605090624567,1.0014356708188408
4200,1.0029293402361064,1.0014139949562968
4300,1.0028602881957434,1.0014913451490806
4400,1.002899677232791,1.0015135769018817
4500,1.0029237542701637,1.001503946621109
4600,1.0029066661077826,1.0015715561174154
4700,1.0028928497468184,1.0015529287628073
4800,1.002911066924424,1.0015845294704784
4900,1.0029230635919364,1.0015922516397824
5000,1.0028962155175174,1.0016534203423362
