milliseconds,ROS,alpha_syn
0,0.9999919339676561,0.9999871421073502
100,1.0029071500453637,1.0000456448168877
200,1.0029097042733843,1.000140652107167
300,1.0028746686286458,1.000104453679244
400,1.00285319535177,1.0001794671449917
500,1.0028615574395479,1.0002153734107706
600,1.0029108838590652,1.0003229560114524
700,1.0028612917345872,1.0002918011049606
800,1.0028771136599524,1.0003911789743751
900,1.0028915774662954,1.0003680863969402
1000,1.002859656921103,1.0004888628330684
1100,1.0028569445072204,1.0004466631701632
1200,1.0029008729450708,1.0005695432877637
1300,1.002854984028778,1.0005828728617596
1400,1.002899999501928,1.0005662673641365
1500,1.0028510148889294,1.0006684156376915
1600,1.0028533363722412,1.0007229154685822
1700,1.0029057255700522,1.0007418819658171
1800,1.0028557636420374,1.0007727294517281
1900,1.0029220920197817,1.000752454201529
2000,1.0028424347529208,1.0008369200425091
2100,1.002873197878613,1.0008520200076372
2200,1.0028960426793814,1.0008552453879842
2300,1.002911010922895,1.0009516340157758
2400,1.0029224299200328,1.0009990963698432
2500,1.0029034418148721,1.0009675811185246
2600,1.0029205683149942,1.0009743053584137
2700,1.0029072101877825,1.0010915339109727
2800,1.002877569026293,1.0010392908109398
2900,1.0028471501062064,1.0011335905655916
3000,1.002898713165972,1.0011681597947997
3100,1.002914177318912,1.0011903109232407
3200,1.0029173891716114,1.0012042525729856
3300,1.0028530937019442,1.0012360894683008
3400,1.002914824223035,1.0012423564064763
3500,1.0029080210783319,1.0012514514504696
3600,1.0028496844266364,1.0013433988656015
3700,1.0029193034118313,1.0013145087895565
3800,1.0029129739976355,1.0013592484334537
3900,1.002895957237734,1.0013729017354087
4000,1.0029267911809496,1.0014380849081073
4100,1.0029173527698019,1.0013942904032866
4200,1.0028792486567684,1.0014361613126523
4300,1.0029296973592718,1.0015212402589015
4400,1.0028844834953945,1.0014652062988316
4500,1.0029107529139771,1.001572033719517
4600,1.002865477213273,1.001538949168482
4700,1.002876178981511,1.0015999546303898
4800,1.002902117897501,1.0015735082055652
4900,1.0029035378431939,1.0015887867110465
5000,1.00288237929518,1.0016377609537408
