milliseconds,S,I,Z,R
0,500.0,0.0,1.0,0.0
100,499.6328197909006,0.40931821238616967,0.7418633122722571,0.22099675706712865
200,499.3602013814303,0.7112004120625053,0.5522141304909389,0.38637704664976225
300,499.15697952955844,0.9342205798942373,0.4128488940125265,0.5109365038319023
400,499.0047125170836,1.0993236010839813,0.31042003907130683,0.6055201223611781
500,498.8898705399826,1.221878505875033,0.2351310349672362,0.6780856451946575
600,498.8025287253833,1.3131609798351662,0.17979322789290467,0.7344712353296893
700,498.73538904824693,1.381462973909807,0.13911959743997374,0.7789702240443638
800,498.6830929491513,1.432873406443949,0.10922737364225502,0.8147351962472476
900,498.64170302006454,1.4718665247965932,0.08726324734535225,0.8440827494873663
1000,498.6083240559546,1.5017323990024436,0.07112897348707305,0.8687163576831057
1100,498.5808281754483,1.524889197530552,0.05928230023144422,0.8898880544893895
1200,498.5576503940019,1.5431154086427457,0.050588927236171595,0.9085186871388338
1300,498.53764000825527,1.557718739831256,0.044214794724088874,0.925285348408133
1400,498.5199507592217,1.569660905930006,0.039546515211076674,0.9406859971597092
1500,498.5039602343026,1.5796492288129276,0.03613295337847125,0.955086879376937
1600,498.48921067358674,1.588203899977008,0.033642330677370616,0.9687573566038984
1700,498.4753653645776,1.5957075409848676,0.03183061429562358,0.9818955632266294
1800,498.46217663858204,1.6024415734049198,0.030518320697360542,0.9946472376464662
1900,498.449462306618,1.6086129982899111,0.02957343551841348,1.0071195877651062
2000,498.43708834008027,1.614374080632754,0.02889885788681631,1.0193914821061891
2100,498.42495613318965,1.6198368253590885,0.028423167260660537,1.0315209449506813
2200,498.412993132556,1.625083627319686,0.028093830297082643,1.043550670216996
2300,498.40114594767164,1.6301751014443637,0.027872206389480313,1.0555120755010803
2400,498.38937528239666,1.6351558433190951,0.027729873253855668,1.0674282845925085
2500,498.3776522129421,1.6400586594742006,0.027645928584691417,1.079316317668451
2600,498.36595544605325,1.6449076835962564,0.027605002340888012,1.0911887047017461
2700,498.3542692726068,1.6497207023912437,0.02759577315282434,1.1030546896602105
2800,498.3425820982604,1.6545108256011565,0.027609903065154,1.114921095145431
2900,498.3308854006537,1.6592876712197353,0.027641281516628393,1.1267929360301816
3000,498.3191728906944,1.6640583187429439,0.02768541729004591,1.1386739129993073
3100,498.3074399017752,1.6688280033717227,0.027738995693921548,1.1505667719682031
3200,498.2956829766464,1.6736005855681133,0.027799579038307043,1.1624735471916259
3300,498.2838995544845,1.6783789067260737,0.027865379759216987,1.1743957454100924
3400,498.2720877293804,1.6831650636685698,0.027935085322045836,1.1863344879691653
3500,498.2602460751874,1.6879606077249611,0.02800773123083135,1.1982906138903415
3600,498.2483734943733,1.6927667165209497,0.02808259144769948,1.2102647688144426
3700,498.23646915509136,1.6975842655054416,0.028159132764784146,1.222257442034117
3800,498.2245324333284,1.7024138937104012,0.028236972851315312,1.2342690005403683
3900,498.2125628504748,1.7072560747028067,0.028315834998760253,1.2462997257580324
4000,498.2005600293229,1.71211116659452,0.02839551622083166,1.2583498394383412
4100,498.1885236751084,1.7169794335930837,0.02847587350419258,1.2704195148167738
4200,498.1764535190369,1.721861110185132,0.02855678286966596,1.2825089098440592
4300,498.16434936754683,1.7267563451522856,0.028638175077104346,1.2946181382005437
4400,498.15221099877124,1.7316653192407019,0.028719960574138087,1.3067473302197095
4500,498.1400382728658,1.7365881197694755,0.02880210947651438,1.3188965679674256
4600,498.12783102140503,1.7415248663447527,0.028884571374360887,1.3310659503296156
4700,498.1155891303524,1.746475616562289,0.028967335477961913,1.343255544190298
4800,498.1033124756371,1.751440439215094,0.029050383932253163,1.3554654223355502
4900,498.09100095158567,1.7564193819863696,0.029133712417813273,1.3676956467264745
5000,498.078654448013,1.7614124974787189,0.029217313554398845,1.3799462819764747
