miliseconds,C,M,X,MI,XI
0,0.011324827936677035,0.00995694355056239,0.010028986026670949,0.9900491568368323,0.9899318683084417
100,0.014152430247184584,0.00029401073960506365,3.484866172008287e-05,0.9998115079322848,1.000035115398898
200,0.01362721665431505,0.0002649390612344318,-3.1016947521440495e-05,0.9996952140914224,1.0000076600810317
300,0.017709008789104072,0.00030558618170777854,-3.727073487026466e-05,0.9995802089576196,1.000060549468997
400,0.02152230361501746,0.00040263594103921247,-3.677445046798645e-05,0.9995764572023789,1.0000477136762658
500,0.023272956504214518,0.0004997811142289945,2.9000908422016782e-05,0.9994992214861798,0.9999440198000954
600,0.025527751922562326,0.0005446761925763324,5.40837445546465e-05,0.9994775241061093,1.000033769762623
700,0.02564016554748775,0.0006088827694657404,-5.368578212918604e-05,0.9994501676770939,0.999931714602688
800,0.02906712545973091,0.0006566176644903588,4.887209941396647e-05,0.9994338221723199,1.0000464238992661
900,0.03214860209047571,0.0007562550428747205,-7.3676868763008644e-06,0.9992429193056384,1.0000326594979159
1000,0.03395094584861412,0.0007520564456573515,-5.206517499142927e-05,0.9992975261677466,1.0000079539998816
1100,0.03707805852655678,0.0007376181439029569,-2.5179907216794927e-05,0.999274316505225,0.9999922896821173
1200,0.037960475277023495,0.0008057579455147696,-9.274199279673487e-06,0.9991397189641634,1.0000606517387989
1300,0.04064855182653487,0.0008814221927305982,5.953383586140001e-05,0.9990716342304712,1.00003046805622
1400,0.045964747024061996,0.001028636907832392,2.4616951715944195e-05,0.9990075523401619,1.0000516169705318
1500,0.04855306356567973,0.0010234989809097695,-4.1374962634826304e-05,0.999039757639997,1.000004676092478
1600,0.04895451414900052,0.00111166258732571,7.959334054134407e-05,0.9988422100267003,1.0000509168099558
1700,0.05187625501956331,0.001220798410123257,4.518743281151631e-05,0.9988963933970632,0.9999190711916636
1800,0.05507201301549299,0.0011808878932249279,-2.04463345621956e-05,0.998755820852298,0.9999993566796688
1900,0.055496138449219905,0.0012883251907865793,-4.102650891371565e-05,0.9987907653840777,0.9999591750791887
2000,0.05884321880673912,0.0013049100197138346,4.3813150557312056e-05,0.9986152913689295,0.9999896627227514
2100,0.06166272950164505,0.0013705509427817681,9.288737012756536e-06,0.9985576929747043,1.0000522697869376
2200,0.06397041153278044,0.0014222857885380703,1.6047229402267284e-05,0.9985448482999721,0.999941474723611
2300,0.06480743934333445,0.0015120253358908407,1.9583590443390915e-05,0.9984889117245582,0.9999830590480976
2400,0.06724501454725691,0.0016507425930349993,-3.803335094598719e-05,0.9984020994100216,0.9999882240203645
2500,0.07262383234529442,0.0016424136948484506,-2.7535122416879544e-05,0.9983399305815347,0.9999569220541084
2600,0.07287122306962465,0.0016977584441705928,5.3576552732611664e-05,0.9982593075810587,0.9999671973175013
2700,0.0751302486098488,0.0018231019120291334,-1.83414006610895e-05,0.9982810815315762,0.9999673955014545
2800,0.07914013791113465,0.0018350356196340566,-2.1778134389156955e-05,0.998127980676653,0.9999623600950285
2900,0.08283679339746865,0.001971438843717905,-1.0014651487625677e-05,0.9981301234055026,0.9999809655601477
3000,0.08304563358304244,0.0019732001113611564,3.967508496206359e-05,0.9979846444770759,0.9999240642654228
3100,0.08757816040549768,0.0020834040845104703,2.2844975731904575e-05,0.9979655337441654,0.9999570187111212
3200,0.08925852173615195,0.002158238204076069,7.894119064527928e-05,0.9978398180611758,0.9999162874380327
3300,0.09048967580196356,0.0022588836515241625,5.3071788364289995e-05,0.9977818363778191,1.0000274773741409
3400,0.09425766900847303,0.002311932559852099,2.5899832680391026e-05,0.9977763580497502,1.0000174164098188
3500,0.09564598541928379,0.0023994406956670718,-3.753844585500034e-06,0.9977315251067221,1.0000111082070293
3600,0.09655804210627726,0.002407547279082336,2.1648928726144024e-05,0.9976303893673792,1.000017346996776
3700,0.09869510623623472,0.002560030587557853,2.1136067506285357e-05,0.9974445584480408,0.9999136766099574
3800,0.10230789197440802,0.0025619284306415183,8.898521528183308e-05,0.9974630650613876,1.000029199518609
3900,0.10346814792879636,0.002664765308604782,-3.488748127064697e-05,0.9973668274340035,0.9999518213809674
4000,0.10853281325952942,0.0027294574935841157,-4.1237185599028115e-05,0.997221858188421,0.9999320096623968
4100,0.11146220629563973,0.0028253283447015045,2.8204147406607634e-06,0.9971598364524011,0.9999106188923226
4200,0.11336410573061521,0.0029239364860623707,6.40813858154273e-05,0.9971657652578274,0.9999570191364967
4300,0.1144860280591303,0.002995641011561503,-2.5597412792420392e-05,0.9969877883901347,1.0000165676602375
4400,0.11803008492753252,0.0029731638043404285,-9.398294364982785e-06,0.9969937945137544,0.9999041046060356
4500,0.12053848389588948,0.0031794712030542437,3.982506855190229e-05,0.9968946452777477,0.9999272177142072
4600,0.12084170452023836,0.0031595278570117585,-3.364208618052988e-05,0.996760621508562,0.9999966128635321
4700,0.12418222954771048,0.003278337729609355,2.6395986510213597e-05,0.9967503879336042,1.0000320207758795
4800,0.127341989726847,0.00329612245456927,8.190578235910802e-05,0.9966263158134424,1.0000342733956378
4900,0.1304280036984009,0.0034238613914411077,9.61528928246442e-05,0.9965983940895038,0.9999668507271279
5000,0.13042299284190365,0.003543545398211156,-3.178474621155037e-05,0.996431976267704,1.0000007841930583
