miliseconds,CaI,IP3,g,mwaf195932_a72c_4552_8cf2_b349b15d39c4,mw0ebc76ad_49d7_4845_8f88_04d443fbe7f3,mw7cb2644a_384a_4bbb_93fd_fd686e01d7cb,mwd6b792d8_c983_42c1_b3bc_2494d6a3363e,mw013a7c64_a9ec_483c_b3b8_ed658337ee95,CaS
0,0.060733991057598746,-0.0033170682170431958,-0.006252752281774519,0.013000000437809528,0.26599996593367,0.019999999933757038,1000.0,-0.00015259841795353885,1.98755985211889
100,0.036128514498858864,0.010425426184186503,-0.002015262991677843,0.013000002100370098,0.2660000159617024,0.020000000288562816,1000.0,0.00018214660621357687,1.983839069592232
200,0.057718243581568046,0.003173646940464402,0.006033856273340139,0.013000002344898374,0.26599996918698826,0.019999999775401102,1000.0,0.0005556813820874961,2.00421172090438
300,0.06585365272654621,0.008034078844329164,0.004721481570153679,0.012999996431493173,0.2659999882725738,0.01999999980387652,1000.0,0.00019388280522135887,2.0056582979694677
400,0.06480976353879209,0.014747425984868319,-0.0037715487901178735,0.01300000088604054,0.26600000702817567,0.020000000451040213,1000.0,-0.0005758559231865829,1.9820892320558618
500,0.03502537872093715,0.011784087954032454,-0.00011884440456005462,0.012999999515561316,0.2660000394500931,0.020000000274174215,1000.0,-3.738895178376434e-05,2.002178540554785
600,0.056491683149894965,0.02073279999013608,-0.003619367677594161,0.012999996532572663,0.2659999596165252,0.02000000032146233,1000.0,-1.5094310659440394e-05,2.017167301728338
700,0.048598404248317954,0.014083792243913701,0.004091320961509331,0.01299999834456547,0.2660000114674293,0.01999999992979315,1000.0,0.0011158177637845199,1.9998457439575767
800,0.058930053263826554,0.021532787771651955,-0.0033106560166092105,0.01300000209300195,0.26599999978469296,0.020000000076677286,1000.0,0.001156073906251193,1.9780665975822396
900,0.04686634532235654,0.024658393677196393,-0.005844944210330967,0.013000001686702732,0.26599996243233903,0.01999999950742754,1000.0,0.0007614124447742421,1.991811985135729
1000,0.04096421087620668,0.02811237886730343,0.00836637245416073,0.013000003205877563,0.26599996460986924,0.019999998628286057,1000.0,0.0014459294057534897,2.0078982935120515
1100,0.04167722253124386,0.018439390472426934,-0.003946348344794475,0.013000002819607176,0.26599999370820093,0.019999999094377503,1000.0,-2.0657291890761116e-05,1.990325028307461
1200,0.04797350626111844,0.024416486841002893,0.004353693893455069,0.013000001141459891,0.26599999542556385,0.019999999130800236,1000.0,0.00048611808269364795,2.007650415198238
1300,0.04508277632321309,0.02467645792972835,0.002361813667271262,0.013000005912250909,0.26599997645832807,0.019999997721530327,1000.0,0.0012074747554020162,1.9996331080065517
