milliseconds,C,A_T,R,RC
0,3961.87033686565,0.0,53.244354833706474,0.16298713480173718
100,3617.536513684857,0.0,0.17414009243008322,53.11966735965056
200,3277.058344830812,0.0,0.30201476774223185,53.065374984874396
300,2926.4471449100593,0.0,-0.03994927663292194,52.54387163422047
400,2654.8491648608792,0.0,0.27167428966677365,53.14839906283945
500,2386.2148103013283,0.0,0.3608155675039562,52.69899392415925
600,2151.8835286039816,0.0,0.3800698599537762,53.10401792881107
700,1935.7570154550936,0.0,0.08662251346219309,53.189545005050874
800,1722.9195334990843,0.0,-0.23990476511278785,52.90449826867942
900,1647.3036794084294,0.0,-0.1813867686335065,52.58910026472361
1000,1409.0009342444223,0.0,-0.04216688405656162,53.10524254135738
1100,1343.210687132654,0.0,-0.24420602360088964,52.81384172537463
1200,1204.3171963396221,0.0,0.2600760379727773,52.56797968851986
1300,1056.6460231127537,0.0,0.1887407411128137,52.946198721210514
1400,945.1682994116055,0.0,-0.19707619721892783,52.91492080525312
1500,848.553876359142,0.0,-0.17788183222512743,52.607867948850235
1600,823.0615332673603,0.0,0.19632263649108783,52.59635738062765
1700,687.3964680079903,0.0,0.2054832075298903,52.50531869970832
1800,619.0392074085022,0.0,-0.02583855763397365,53.00410572613551
1900,571.9792141119821,0.0,0.06759827035645763,53.10657603209822
2000,547.1243153740594,0.0,0.18011349151223505,52.482159909309175
2100,467.9214066790981,0.0,0.15768620477370054,52.96865447609015
2200,468.44128541301814,0.0,-0.06027262617755802,52.99135645607248
2300,445.1855511136625,0.0,-0.22739247976905735,52.90029770273445
2400,357.32818034181577,0.0,0.34206279756516406,52.80581752675074
2500,349.26594214064596,0.0,0.4112777697267629,52.33560233198569
2600,327.66726530261985,0.0,-0.07052379733513275,52.725117434690155
2700,291.3800587431516,0.0,0.30930447971399166,52.40972374529528
2800,238.20883015161846,0.0,-0.07293768999298358,52.90055588710189
2900,206.48322938345075,0.0,-0.07007720266255796,52.428462635577304
3000,234.85794991580462,0.0,0.07782348780528078,52.403167998792945
3100,225.40571072084367,0.0,0.4268220658501999,52.295462088071694
3200,120.11407375306291,0.0,-0.04536116878606111,52.17807665380319
3300,130.9123863685614,0.0,0.06525199590290565,52.239858934953695
3400,93.95909790660701,0.0,0.5103608564903447,52.69824529436678
3500,69.51721174860697,0.0,0.5278491405156561,52.47141194199286
3600,70.08477800392906,0.0,0.32721625126502973,52.3320146399125
3700,97.60565360114465,0.0,0.7946436999112758,51.89501248525874
3800,93.00480198780262,0.0,0.22548952440333325,52.01798074461121
3900,93.57794574750643,0.0,0.6093662245566195,52.030993660875225
4000,88.81105791449218,0.0,0.7316002786626575,51.97056799458333
4100,41.383145859234745,0.0,0.5108862853476489,51.56730800996607
4200,92.76312510360637,0.0,0.6840946979908671,51.819493123302536
4300,5.494700397586591,0.0,1.0666077097748572,51.33187969976517
4400,85.64548527257035,0.0,1.1308110761185255,51.76341969822925
4500,14.623426321598139,0.0,0.6640077126129897,51.349332196696984
4600,15.614515763598579,0.0,0.9205066394593041,51.060536415997106
4700,50.08184257101461,0.0,1.3893459931212717,51.06946834189984
4800,2.9888550846673247,0.0,0.7500423009453006,50.93202520538975
4900,37.098635269180186,0.0,1.5389380434671143,51.04218132872832
5000,-1.582632575025805,0.0,0.9752374898544597,51.064454090672804
